# Relevant parameters to reproduce this network:
# node_nr=1001	 k_max=500
# initial_seed=10	 delta_t=0.5	 max_steps=20	 in_between=2
# fg_m=1	 fg_alpha=5.1	 fg_t_min=0	 fg_t_max=3	 fg_t_number=3003	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=20	 fg_weff_in_between=2
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001998 0.0262294 0.01381 0
0.000999001 0.001998 0.0251274 0.0079439 0
0.001998 0.001998 0.0273472 0.0118456 0
0.002997 0.001998 0.0279952 0.0138575 0
0.003996 0.001998 0.0274249 0.0137743 0
0.004995 0.001998 0.0206533 0.00866627 0
0.00599401 0.001998 0.0356528 0.0154616 0
0.00699301 0.001998 0.0323365 0.0188395 0
0.00799201 0.001998 0.0352048 0.00978195 0
0.00899101 0.001998 0.0228858 0.00923886 0
0.00999001 0.001998 0.0255502 0.00812404 0
0.010989 0.001998 0.0254565 0.0177538 0
0.011988 0.001998 0.0319254 0.0167254 0
0.012987 0.001998 0.0289021 0.0163534 0
0.013986 0.001998 0.031971 0.0142234 0
0.014985 0.001998 0.0346928 0.0179637 0
0.015984 0.001998 0.0306916 0.0106372 0
0.016983 0.001998 0.0236868 0.00776093 0
0.017982 0.001998 0.0353581 0.0184908 0
0.018981 0.001998 0.0278747 0.0189071 0
0.01998 0.001998 0.032542 0.0150671 0
0.020979 0.001998 0.0190322 0.00908276 0
0.021978 0.001998 0.0253309 0.0149787 0
0.022977 0.001998 0.0299198 0.0129922 0
0.023976 0.001998 0.0209889 0.00860975 0
0.024975 0.001998 0.0319769 0.00732877 0
0.025974 0.001998 0.0359631 0.0174143 0
0.026973 0.002997 0.0236479 0.0105106 0
0.027972 0.002997 0.0287937 0.0115128 0
0.028971 0.002997 0.0301566 0.0189008 0
0.02997 0.002997 0.0208212 0.00867375 0
0.030969 0.002997 0.0237657 0.0141561 0
0.031968 0.002997 0.0223016 0.0102395 0
0.032967 0.002997 0.0221247 0.0103727 0
0.033966 0.002997 0.0304056 0.0150797 0
0.034965 0.002997 0.0214971 0.0136028 0
0.035964 0.002997 0.0210463 0.00948422 0
0.036963 0.002997 0.0265961 0.013019 0
0.037962 0.002997 0.0292774 0.0128223 0
0.038961 0.002997 0.0334525 0.0228138 0
0.03996 0.002997 0.024754 0.0193924 0
0.040959 0.002997 0.0319017 0.0122252 0
0.041958 0.003996 0.0455208 0.0182847 0
0.042957 0.003996 0.0268476 0.00960868 0
0.043956 0.003996 0.023936 0.0147543 0
0.044955 0.003996 0.0333679 0.00628078 0
0.045954 0.003996 0.0359634 0.0131514 0
0.046953 0.003996 0.0205158 0.00696703 0
0.047952 0.003996 0.0263846 0.0161094 0
0.048951 0.003996 0.0296596 0.0137297 0
0.04995 0.003996 0.0348439 0.0109838 0
0.0509491 0.003996 0.0181596 0.0079071 0
0.0519481 0.003996 0.0241157 0.0104874 0
0.0529471 0.003996 0.0176279 0.00503024 0
0.0539461 0.003996 0.0341626 0.0118214 0
0.0549451 0.003996 0.0349495 0.0138652 0
