# Relevant parameters to reproduce this network:
# node_nr=100	 k_max=500
# initial_seed=10	 delta_t=0.1	 max_steps=50	 in_between=10
# fg_m=1	 fg_alpha=-19.7	 fg_t_min=0	 fg_t_max=249	 fg_t_number=24900	 fg_achlioptas_k=2	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=50	 fg_weff_in_between=10
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.02 0.0912859 0.0420756 0
0.01 0.02 0.0826297 0.039024 0
0.02 0.02 0.088072 0.0519104 0
0.03 0.03 0.0760711 0.0468989 0
0.04 0.03 0.0882419 0.041084 0
0.05 0.04 0.0932453 0.0473466 0
0.06 0.04 0.0814955 0.0400946 0
0.07 0.04 0.0847124 0.0391305 0
0.08 0.04 0.0835122 0.025315 0
0.09 0.05 0.0972617 0.0471396 0
0.1 0.05 0.0945596 0.0676671 0
0.11 0.05 0.080335 0.037255 0
0.12 0.06 0.109569 0.0499336 0
0.13 0.06 0.113287 0.048767 0
0.14 0.06 0.11441 0.0578989 0
0.15 0.08 0.108774 0.0411597 0
0.16 0.08 0.111672 0.0496086 0
0.17 0.08 0.115867 0.0550339 0
0.18 0.09 0.0967556 0.0470692 0
0.19 0.1 0.0622826 0.0371261 0
0.2 0.11 0.120498 0.0409673 0
0.21 0.11 0.0998622 0.0593284 0
0.22 0.14 0.0740069 0.0383067 0
0.23 0.14 0.127597 0.0523555 0
0.24 0.14 0.0988236 0.0506618 0
0.25 0.15 0.115886 0.0583532 0
0.26 0.24 0.0972023 0.0438944 0
0.27 0.24 0.084913 0.0422608 0
0.28 0.24 0.119187 0.0590805 0
0.29 0.24 0.0804568 0.0498701 0
0.3 0.25 0.106038 0.0525504 0
0.31 0.25 0.103188 0.0400504 0
0.32 0.25 0.124284 0.0502491 0
0.33 0.25 0.115865 0.068371 0
0.34 0.25 0.118232 0.0522007 0
0.35 0.25 0.106633 0.0395443 0
0.36 0.25 0.11662 0.0582751 0
0.37 0.25 0.126743 0.0617565 0
0.38 0.25 0.107901 0.0551331 0
0.39 0.26 0.123802 0.0375362 0
0.4 0.26 0.105284 0.060972 0
0.41 0.26 0.127337 0.0539077 0
