# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=-20	 fg_t_min=0	 fg_t_max=1.5	 fg_t_number=3000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0159512 0.00879109 0
0.0005 0.001 0.0223549 0.0111385 0
0.001 0.001 0.0194859 0.0105854 0
0.0015 0.001 0.0178596 0.0123245 0
0.002 0.001 0.0237888 0.0125804 0
0.0025 0.001 0.0182349 0.0103216 0
0.003 0.001 0.0189474 0.0107735 0
0.0035 0.001 0.0197149 0.0117964 0
0.004 0.001 0.0165148 0.0094738 0
0.0045 0.001 0.022362 0.0123487 0
0.005 0.001 0.0213414 0.0104787 0
0.0055 0.001 0.0198136 0.0103223 0
0.006 0.001 0.0174045 0.0123229 0
0.0065 0.001 0.0204367 0.0109405 0
0.007 0.001 0.0236043 0.0133007 0
0.0075 0.001 0.0172903 0.0104588 0
0.008 0.001 0.0224549 0.0110313 0
0.0085 0.001 0.0215854 0.0106219 0
0.009 0.001 0.0185314 0.00830243 0
0.0095 0.001 0.0188683 0.00831154 0
0.01 0.001 0.022083 0.0118649 0
0.0105 0.001 0.0216421 0.0129889 0
0.011 0.001 0.0173737 0.00981549 0
0.0115 0.001 0.0178586 0.0084688 0
0.012 0.001 0.0163177 0.00837022 0
0.0125 0.001 0.0208982 0.0108454 0
0.013 0.001 0.0224306 0.0111521 0
0.0135 0.001 0.0166136 0.0105542 0
0.014 0.001 0.018367 0.0111125 0
0.0145 0.001 0.0247724 0.0107386 0
0.015 0.001 0.0214538 0.00951131 0
0.0155 0.001 0.0195787 0.0112254 0
0.016 0.001 0.0186515 0.00971441 0
0.0165 0.0015 0.021366 0.0121227 0
0.017 0.0015 0.0175462 0.0112116 0
0.0175 0.0015 0.0197774 0.0107827 0
0.018 0.0015 0.0215748 0.00831616 0
