# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=-5	 fg_t_min=0	 fg_t_max=4	 fg_t_number=8000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0159512 0.00879109 0
0.0005 0.001 0.0222049 0.0104168 0
0.001 0.001 0.0189352 0.0102596 0
0.0015 0.001 0.0183892 0.0123168 0
0.002 0.001 0.0240744 0.0121097 0
0.0025 0.001 0.0177835 0.0101132 0
0.003 0.001 0.0190087 0.0114682 0
0.0035 0.001 0.0190325 0.01137 0
0.004 0.001 0.0169244 0.00918681 0
0.0045 0.001 0.0221525 0.0116562 0
0.005 0.001 0.0214404 0.010421 0
0.0055 0.001 0.0208729 0.0100646 0
0.006 0.001 0.0190126 0.0115896 0
0.0065 0.001 0.0207083 0.00980975 0
0.007 0.001 0.0226071 0.0134488 0
0.0075 0.001 0.0172661 0.00928773 0
0.008 0.001 0.0230521 0.00937113 0
0.0085 0.001 0.0224562 0.0100476 0
0.009 0.001 0.0202334 0.0091512 0
0.0095 0.001 0.0190532 0.00746555 0
0.01 0.001 0.0214927 0.0102218 0
0.0105 0.001 0.0203377 0.0128318 0
0.011 0.001 0.0178343 0.00957446 0
0.0115 0.001 0.0174354 0.00926445 0
0.012 0.001 0.0180328 0.00842329 0
0.0125 0.001 0.0206255 0.0115194 0
0.013 0.001 0.0211352 0.00968024 0
0.0135 0.001 0.0143934 0.0083271 0
0.014 0.001 0.0186939 0.0120671 0
0.0145 0.001 0.0257317 0.0111052 0
0.015 0.001 0.0174049 0.00965972 0
0.0155 0.001 0.019133 0.00994791 0
0.016 0.001 0.0172314 0.0100057 0
0.0165 0.001 0.0211443 0.0116974 0
0.017 0.001 0.0202278 0.00847339 0
0.0175 0.001 0.0184223 0.00825627 0
0.018 0.001 0.0203031 0.00809155 0
0.0185 0.001 0.0192186 0.00886437 0
0.019 0.001 0.0205537 0.011097 0
0.0195 0.001 0.0190916 0.00955683 0
0.02 0.001 0.0199089 0.00849992 0
0.0205 0.001 0.0185215 0.0114639 0
0.021 0.001 0.0178912 0.0105304 0
0.0215 0.001 0.0169729 0.00918351 0
0.022 0.001 0.0217124 0.0100624 0
0.0225 0.001 0.0203988 0.0084244 0
0.023 0.001 0.0207121 0.00927618 0
0.0235 0.001 0.0205681 0.0116947 0
0.024 0.001 0.018708 0.00939174 0
0.0245 0.001 0.0231438 0.0105823 0
0.025 0.001 0.0168625 0.0117315 0
0.0255 0.001 0.0216189 0.0113941 0
0.026 0.001 0.0181011 0.00895583 0
0.0265 0.001 0.0205744 0.00958739 0
0.027 0.001 0.0183574 0.00999238 0
0.0275 0.001 0.0207956 0.00720703 0
0.028 0.001 0.0179104 0.00822738 0
0.0285 0.001 0.0182204 0.0087698 0
0.029 0.0015 0.0163717 0.010351 0
0.0295 0.0015 0.0218392 0.00969231 0
0.03 0.0015 0.0226297 0.0109552 0
0.0305 0.0015 0.0158806 0.0082621 0
0.031 0.0015 0.0174704 0.00732075 0
0.0315 0.0015 0.0215388 0.00829545 0
0.032 0.0015 0.0170022 0.00784014 0
0.0325 0.0015 0.019361 0.00950528 0
0.033 0.0015 0.0186682 0.0109422 0
0.0335 0.0015 0.0168893 0.00825979 0
0.034 0.0015 0.0123962 0.00602605 0
