# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=0	 fg_t_min=0	 fg_t_max=1.5	 fg_t_number=3000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0159512 0.00879109 0
0.0005 0.001 0.0222661 0.0106592 0
0.001 0.001 0.0191587 0.0106705 0
0.0015 0.001 0.0181155 0.012375 0
0.002 0.001 0.02337 0.0123387 0
0.0025 0.001 0.0182616 0.00984261 0
0.003 0.001 0.0182992 0.0107016 0
0.0035 0.001 0.0197232 0.0122955 0
0.004 0.001 0.017809 0.00911187 0
0.0045 0.001 0.0213875 0.011038 0
0.005 0.001 0.0212342 0.0114954 0
0.0055 0.001 0.0201999 0.0099255 0
0.006 0.001 0.0175246 0.0134568 0
0.0065 0.001 0.020243 0.0101721 0
0.007 0.001 0.0254432 0.012824 0
0.0075 0.001 0.0169323 0.00940958 0
0.008 0.001 0.0238801 0.00984411 0
0.0085 0.001 0.0221908 0.0110437 0
0.009 0.001 0.0205855 0.00773547 0
0.0095 0.001 0.0184738 0.00880383 0
0.01 0.001 0.0206862 0.0109579 0
0.0105 0.001 0.0216311 0.0140937 0
0.011 0.001 0.0184222 0.00994516 0
0.0115 0.001 0.01744 0.00891244 0
0.012 0.001 0.0170362 0.00737067 0
0.0125 0.001 0.0227601 0.0106509 0
0.013 0.001 0.0213085 0.00959221 0
0.0135 0.001 0.0147895 0.00738536 0
0.014 0.001 0.0176833 0.0120686 0
0.0145 0.001 0.0254691 0.0112862 0
0.015 0.001 0.0189555 0.00885923 0
0.0155 0.001 0.0205682 0.0110461 0
0.016 0.001 0.0180604 0.0100246 0
0.0165 0.001 0.0229909 0.011519 0
0.017 0.001 0.0177109 0.00857871 0
0.0175 0.001 0.018676 0.0102443 0
0.018 0.001 0.0209552 0.00987712 0
0.0185 0.001 0.0193312 0.0112633 0
0.019 0.001 0.0206683 0.00918278 0
0.0195 0.001 0.0194869 0.00842101 0
0.02 0.001 0.0197526 0.00954888 0
0.0205 0.001 0.0228539 0.0096547 0
0.021 0.001 0.0178815 0.0104673 0
0.0215 0.001 0.0237459 0.0115287 0
0.022 0.001 0.0174937 0.00830635 0
0.0225 0.001 0.019344 0.00881608 0
0.023 0.001 0.0203307 0.0094128 0
0.0235 0.001 0.0222162 0.0113259 0
0.024 0.001 0.0198839 0.00862886 0
0.0245 0.001 0.0205276 0.0113309 0
0.025 0.001 0.0172176 0.0111372 0
0.0255 0.001 0.0185428 0.010737 0
0.026 0.001 0.0179651 0.00997803 0
0.0265 0.001 0.0216653 0.0125024 0
0.027 0.001 0.0200961 0.0116434 0
0.0275 0.001 0.0206873 0.0079283 0
0.028 0.001 0.0158634 0.00728577 0
0.0285 0.001 0.0208265 0.0106149 0
0.029 0.001 0.0221363 0.0105752 0
0.0295 0.001 0.0223568 0.0106687 0
0.03 0.001 0.0240199 0.0117833 0
0.0305 0.001 0.018474 0.00878031 0
0.031 0.001 0.0164296 0.00807701 0
0.0315 0.001 0.0217293 0.0100921 0
0.032 0.001 0.0194206 0.00836211 0
0.0325 0.001 0.0194605 0.012091 0
0.033 0.001 0.0174305 0.0112355 0
0.0335 0.001 0.0228381 0.00960663 0
0.034 0.001 0.0139887 0.00475587 0
0.0345 0.001 0.0223367 0.0105665 0
0.035 0.001 0.0236079 0.0139428 0
0.0355 0.001 0.0195015 0.0126944 0
0.036 0.001 0.0194489 0.00768757 0
0.0365 0.001 0.018606 0.00837879 0
0.037 0.001 0.0197853 0.0102715 0
0.0375 0.001 0.0200148 0.0103555 0
0.038 0.001 0.0212368 0.00776907 0
0.0385 0.001 0.0230041 0.0120449 0
0.039 0.001 0.0185292 0.00960003 0
0.0395 0.001 0.0205376 0.0103575 0
0.04 0.001 0.0221049 0.00972325 0
0.0405 0.001 0.0215708 0.0119305 0
0.041 0.001 0.0234087 0.00918747 0
0.0415 0.001 0.0278468 0.0128473 0
0.042 0.001 0.0145636 0.0081584 0
0.0425 0.001 0.0175395 0.010957 0
0.043 0.001 0.0188548 0.00959321 0
0.0435 0.001 0.02324 0.0104985 0
0.044 0.001 0.0221534 0.0069904 0
0.0445 0.001 0.0250267 0.00953664 0
0.045 0.0015 0.0201745 0.0132894 0
0.0455 0.0015 0.0193506 0.010066 0
0.046 0.0015 0.0198129 0.00996435 0
0.0465 0.0015 0.0170491 0.00984799 0
0.047 0.0015 0.0224141 0.0129632 0
0.0475 0.0015 0.0208577 0.0115179 0
0.048 0.0015 0.0205601 0.00848956 0
0.0485 0.0015 0.017841 0.00750486 0
0.049 0.0015 0.0199679 0.00784963 0
0.0495 0.0015 0.0232907 0.0101092 0
0.05 0.0015 0.0183415 0.00575986 0
0.0505 0.0015 0.0195311 0.0111939 0
0.051 0.0015 0.0212707 0.0113496 0
0.0515 0.0015 0.0186748 0.00821676 0
0.052 0.0015 0.0209115 0.00822729 0
0.0525 0.0015 0.0283206 0.0170741 0
0.053 0.0015 0.020099 0.0113458 0
0.0535 0.0015 0.022089 0.00900214 0
0.054 0.0015 0.0232416 0.00834822 0
0.0545 0.0015 0.0220486 0.00887941 0
0.055 0.0015 0.0243796 0.0127129 0
0.0555 0.0015 0.0160806 0.00857232 0
0.056 0.0015 0.0198218 0.0106043 0
0.0565 0.0015 0.0228072 0.0134308 0
0.057 0.0015 0.0200887 0.00879803 0
0.0575 0.0015 0.0218087 0.0117724 0
0.058 0.0015 0.0194484 0.0112096 0
0.0585 0.0015 0.0189092 0.00927695 0
0.059 0.0015 0.0258341 0.0121143 0
0.0595 0.0015 0.021511 0.0119867 0
0.06 0.0015 0.0195604 0.00987612 0
0.0605 0.0015 0.0239845 0.011575 0
0.061 0.0015 0.0276763 0.0131604 0
0.0615 0.0015 0.019822 0.0117348 0
0.062 0.0015 0.0202867 0.00974436 0
0.0625 0.0015 0.0219361 0.00897634 0
0.063 0.0015 0.0193007 0.00857408 0
0.0635 0.0015 0.0200588 0.00842094 0
0.064 0.0015 0.0247043 0.0133175 0
0.0645 0.0015 0.025585 0.0116271 0
0.065 0.0015 0.0237359 0.0128882 0
0.0655 0.0015 0.0207036 0.0123573 0
0.066 0.0015 0.0145382 0.0072226 0
0.0665 0.0015 0.0202668 0.0126284 0
0.067 0.0015 0.0201663 0.0104909 0
0.0675 0.0015 0.0203823 0.0114 0
0.068 0.0015 0.0138056 0.00789473 0
0.0685 0.0015 0.0175532 0.00931338 0
0.069 0.0015 0.0205266 0.00960367 0
0.0695 0.0015 0.0208277 0.0119173 0
0.07 0.0015 0.0175274 0.00681866 0
0.0705 0.0015 0.0232388 0.0125572 0
0.071 0.0015 0.0228205 0.0138108 0
0.0715 0.0015 0.0180795 0.009522 0
0.072 0.0015 0.0178497 0.00940475 0
0.0725 0.0015 0.0153784 0.00699602 0
0.073 0.0015 0.0208463 0.010032 0
0.0735 0.0015 0.0169009 0.00826818 0
0.074 0.0015 0.0209312 0.0080494 0
0.0745 0.0015 0.026666 0.0113446 0
0.075 0.0015 0.0231298 0.0094435 0
0.0755 0.0015 0.0214451 0.0112308 0
0.076 0.0015 0.0186262 0.0110774 0
0.0765 0.0015 0.0243552 0.0118198 0
0.077 0.0015 0.0213396 0.00834032 0
0.0775 0.0015 0.0235514 0.0128531 0
0.078 0.0015 0.0250943 0.0126229 0
0.0785 0.0015 0.0224636 0.0127244 0
0.079 0.0015 0.0206111 0.0117745 0
0.0795 0.0015 0.0249857 0.011372 0
0.08 0.0015 0.017706 0.00878804 0
0.0805 0.0015 0.0187789 0.0105949 0
0.081 0.0015 0.0209572 0.00764451 0
0.0815 0.0015 0.0235521 0.0126395 0
0.082 0.0015 0.0235079 0.010444 0
0.0825 0.0015 0.0232696 0.00985112 0
0.083 0.0015 0.0242907 0.0112165 0
0.0835 0.0015 0.0256077 0.00988085 0
0.084 0.0015 0.0169754 0.00702374 0
0.0845 0.0015 0.0233792 0.00949283 0
0.085 0.0015 0.0195911 0.0116874 0
0.0855 0.0015 0.0191045 0.0111855 0
