# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=0	 fg_t_min=0	 fg_t_max=1.5	 fg_t_number=3000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0159512 0.00879109 0
0.0005 0.001 0.0222668 0.0106592 0
0.001 0.001 0.0191432 0.0106661 0
0.0015 0.001 0.0181156 0.0123716 0
0.002 0.001 0.0233605 0.0123416 0
0.0025 0.001 0.0182744 0.00984614 0
0.003 0.001 0.0182931 0.0107056 0
0.0035 0.001 0.0197251 0.0123043 0
0.004 0.001 0.0178231 0.00912098 0
0.0045 0.001 0.0213867 0.0110396 0
0.005 0.001 0.0212321 0.0114907 0
0.0055 0.001 0.0202048 0.00992097 0
0.006 0.001 0.0175091 0.0134672 0
0.0065 0.001 0.0202538 0.0101725 0
0.007 0.001 0.0254552 0.0128249 0
0.0075 0.001 0.0169414 0.00943293 0
0.008 0.001 0.0238982 0.00984319 0
0.0085 0.001 0.0221872 0.0110476 0
0.009 0.001 0.020579 0.00772289 0
0.0095 0.001 0.0184895 0.00881108 0
0.01 0.001 0.020672 0.0109634 0
0.0105 0.001 0.0216556 0.0141597 0
0.011 0.001 0.0185283 0.00999405 0
0.0115 0.001 0.0174331 0.00891997 0
0.012 0.001 0.0170135 0.00734234 0
0.0125 0.001 0.0228513 0.0106545 0
0.013 0.001 0.0213063 0.00956403 0
0.0135 0.001 0.0148938 0.00741421 0
0.014 0.001 0.0177092 0.0120301 0
0.0145 0.001 0.0254548 0.0113036 0
0.015 0.001 0.0190383 0.00889501 0
0.0155 0.001 0.0205534 0.0110537 0
0.016 0.001 0.0180682 0.0100598 0
0.0165 0.001 0.0230905 0.0115461 0
0.017 0.001 0.0176353 0.00849812 0
0.0175 0.001 0.0186043 0.010305 0
0.018 0.001 0.0215178 0.0100317 0
0.0185 0.001 0.0189426 0.0106766 0
0.019 0.001 0.0209831 0.00931543 0
0.0195 0.001 0.0191267 0.00819565 0
0.02 0.001 0.0199133 0.00929808 0
0.0205 0.001 0.0223288 0.00974239 0
