# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=5000	 in_between=0
# fg_m=1	 fg_alpha=10	 fg_t_min=0	 fg_t_max=4	 fg_t_number=8000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=5000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0197076 0.0112855 0
0.0005 0.001 0.0191988 0.010673 0
0.001 0.001 0.0210721 0.0119775 0
0.0015 0.001 0.0204466 0.00989152 0
0.002 0.001 0.0188584 0.0108943 0
0.0025 0.001 0.0202921 0.0112477 0
0.003 0.001 0.0188131 0.0103895 0
0.0035 0.001 0.0186032 0.00909296 0
0.004 0.001 0.0197528 0.00978354 0
0.0045 0.001 0.0206751 0.0103638 0
0.005 0.001 0.018975 0.0109562 0
0.0055 0.001 0.0188316 0.0096585 0
0.006 0.001 0.0200335 0.00952649 0
0.0065 0.001 0.0175647 0.00891578 0
0.007 0.001 0.0194987 0.00992878 0
0.0075 0.001 0.0186069 0.00984089 0
0.008 0.001 0.0208232 0.0105794 0
0.0085 0.001 0.0199794 0.009141 0
0.009 0.001 0.0204613 0.0116355 0
0.0095 0.001 0.0187944 0.00967691 0
0.01 0.001 0.0199666 0.0106302 0
0.0105 0.001 0.0218121 0.0117032 0
0.011 0.001 0.0205565 0.0109715 0
0.0115 0.001 0.0192882 0.0100119 0
0.012 0.001 0.0205835 0.0100696 0
0.0125 0.001 0.0208504 0.0102881 0
0.013 0.001 0.0195144 0.011368 0
0.0135 0.001 0.0194419 0.00925953 0
0.014 0.001 0.0203628 0.0100269 0
0.0145 0.001 0.0180738 0.00943188 0
0.015 0.001 0.0211314 0.0114853 0
0.0155 0.001 0.0223521 0.0119156 0
0.016 0.001 0.0183185 0.00958526 0
0.0165 0.001 0.0203333 0.00995323 0
0.017 0.001 0.0207523 0.0111156 0
0.0175 0.001 0.0185913 0.00890327 0
0.018 0.001 0.020982 0.0104964 0
0.0185 0.001 0.020175 0.0101134 0
0.019 0.001 0.0200602 0.0106287 0
0.0195 0.001 0.0204606 0.00999055 0
0.02 0.001 0.0189302 0.0100817 0
0.0205 0.001 0.0212987 0.0106216 0
0.021 0.001 0.0200414 0.00993986 0
0.0215 0.001 0.0199013 0.0106281 0
0.022 0.001 0.0204182 0.010163 0
0.0225 0.001 0.0216642 0.0107959 0
0.023 0.001 0.0205837 0.0112298 0
0.0235 0.001 0.0215744 0.0107682 0
0.024 0.001 0.0195213 0.0102896 0
0.0245 0.001 0.0199879 0.0109693 0
0.025 0.001 0.0193332 0.00995643 0
0.0255 0.001 0.0197987 0.00996675 0
0.026 0.001 0.021357 0.011344 0
0.0265 0.001 0.0196864 0.00991966 0
0.027 0.001 0.0207058 0.0110445 0
0.0275 0.001 0.0198707 0.0103204 0
0.028 0.001 0.0224963 0.0111108 0
0.0285 0.001 0.021479 0.0118797 0
0.029 0.001 0.0199055 0.00958379 0
0.0295 0.001 0.0187581 0.0106897 0
0.03 0.001 0.0188485 0.00856466 0
0.0305 0.001 0.0207191 0.0109965 0
0.031 0.001 0.0177886 0.00888992 0
0.0315 0.001 0.018806 0.00957547 0
0.032 0.001 0.0215105 0.0120123 0
0.0325 0.001 0.018928 0.00909755 0
0.033 0.001 0.0189177 0.00973277 0
0.0335 0.001 0.0188027 0.0092844 0
0.034 0.001 0.0209828 0.0111732 0
0.0345 0.001 0.0201507 0.010419 0
0.035 0.001 0.0215208 0.0109489 0
0.0355 0.001 0.0192916 0.0102288 0
0.036 0.001 0.0213965 0.011056 0
0.0365 0.001 0.0230745 0.0110958 0
0.037 0.001 0.0207522 0.0113931 0
0.0375 0.001 0.0215338 0.0121655 0
0.038 0.001 0.0209398 0.0106388 0
0.0385 0.001 0.021621 0.0107167 0
0.039 0.001 0.020756 0.0109025 0
0.0395 0.001 0.0189694 0.0101754 0
0.04 0.001 0.0203935 0.0106208 0
0.0405 0.001 0.0211201 0.0119532 0
0.041 0.001 0.0194736 0.0109108 0
0.0415 0.001 0.0219099 0.0113798 0
0.042 0.001 0.0200995 0.010131 0
0.0425 0.001 0.0218439 0.0111144 0
0.043 0.001 0.0218877 0.0111759 0
0.0435 0.001 0.0233315 0.0128628 0
0.044 0.001 0.0185522 0.0111443 0
0.0445 0.001 0.022766 0.0123709 0
0.045 0.001 0.0204461 0.0101139 0
0.0455 0.001 0.0197046 0.0108606 0
0.046 0.001 0.0194378 0.0101646 0
0.0465 0.001 0.0200101 0.0116323 0
0.047 0.001 0.0210876 0.0100696 0
0.0475 0.001 0.0212966 0.0114523 0
0.048 0.001 0.0205072 0.0100138 0
0.0485 0.001 0.0198027 0.0111424 0
0.049 0.001 0.0233294 0.0117238 0
0.0495 0.001 0.0200232 0.0103953 0
0.05 0.001 0.0204053 0.010342 0
0.0505 0.001 0.0194277 0.00936884 0
0.051 0.001 0.0203208 0.0106324 0
0.0515 0.001 0.0201023 0.0109012 0
0.052 0.001 0.0204914 0.0113093 0
0.0525 0.001 0.0201719 0.0105158 0
0.053 0.001 0.0206721 0.0104452 0
0.0535 0.001 0.0192867 0.0108395 0
0.054 0.001 0.0201879 0.0100704 0
0.0545 0.001 0.0201786 0.0122859 0
0.055 0.001 0.0218171 0.0101497 0
0.0555 0.001 0.0215922 0.0110265 0
0.056 0.001 0.0195072 0.0101903 0
0.0565 0.001 0.0188541 0.00930158 0
0.057 0.001 0.017869 0.0100437 0
0.0575 0.001 0.0216588 0.0111322 0
0.058 0.001 0.019802 0.0114305 0
0.0585 0.001 0.0215585 0.00970355 0
0.059 0.001 0.0232953 0.0101429 0
0.0595 0.001 0.0233625 0.0104153 0
0.06 0.001 0.0211427 0.0107103 0
0.0605 0.001 0.021613 0.00941004 0
0.061 0.001 0.0216052 0.0120763 0
0.0615 0.001 0.0208795 0.011827 0
0.062 0.001 0.0224505 0.0119293 0
0.0625 0.001 0.0223018 0.0103527 0
0.063 0.001 0.0213241 0.00879658 0
0.0635 0.001 0.0191766 0.0091268 0
0.064 0.001 0.0202511 0.00947601 0
0.0645 0.001 0.0221247 0.0119882 0
0.065 0.001 0.0193719 0.0098548 0
0.0655 0.001 0.0204748 0.0101456 0
0.066 0.001 0.0238086 0.011319 0
0.0665 0.001 0.0198742 0.0100069 0
0.067 0.001 0.0201915 0.0102022 0
0.0675 0.001 0.0223591 0.0116038 0
0.068 0.001 0.0206799 0.0100869 0
0.0685 0.001 0.0200717 0.01007 0
0.069 0.001 0.0195273 0.0111021 0
0.0695 0.001 0.0208875 0.0115884 0
0.07 0.001 0.0221929 0.0113558 0
0.0705 0.001 0.0193149 0.00953442 0
0.071 0.001 0.0195987 0.0100921 0
0.0715 0.001 0.0244673 0.0120297 0
0.072 0.001 0.0204263 0.0101609 0
0.0725 0.001 0.0186642 0.00944549 0
0.073 0.001 0.020652 0.00996088 0
0.0735 0.001 0.0218136 0.0115109 0
0.074 0.001 0.0200101 0.0100138 0
0.0745 0.001 0.0209769 0.0114094 0
0.075 0.001 0.0210389 0.00995282 0
0.0755 0.001 0.0225777 0.0112031 0
0.076 0.001 0.0204781 0.0115682 0
0.0765 0.001 0.0249902 0.0129966 0
0.077 0.001 0.0204489 0.010706 0
0.0775 0.001 0.0193629 0.0107654 0
0.078 0.001 0.0214119 0.010505 0
0.0785 0.001 0.0226954 0.0111686 0
0.079 0.001 0.0200988 0.00959066 0
0.0795 0.001 0.0196915 0.0117863 0
0.08 0.001 0.0243042 0.0113367 0
0.0805 0.001 0.0213657 0.0108068 0
0.081 0.001 0.0199817 0.0100447 0
0.0815 0.001 0.0226251 0.0114658 0
0.082 0.001 0.0197895 0.0103707 0
0.0825 0.001 0.0210697 0.011164 0
0.083 0.001 0.0217692 0.0103298 0
0.0835 0.001 0.0216952 0.0110576 0
0.084 0.001 0.0229914 0.011908 0
0.0845 0.001 0.0213238 0.0118647 0
0.085 0.001 0.0199503 0.0103709 0
0.0855 0.001 0.0206397 0.0100259 0
0.086 0.001 0.0231158 0.0123574 0
0.0865 0.001 0.0185499 0.0098282 0
0.087 0.001 0.0235976 0.0127053 0
0.0875 0.001 0.019546 0.00998066 0
0.088 0.001 0.0225409 0.0111009 0
0.0885 0.001 0.0237174 0.0110828 0
0.089 0.001 0.0187881 0.0104462 0
0.0895 0.001 0.0203609 0.0106736 0
0.09 0.001 0.0174308 0.00923401 0
0.0905 0.001 0.022821 0.0117325 0
0.091 0.001 0.0211652 0.00972929 0
0.0915 0.001 0.0210958 0.0110015 0
0.092 0.001 0.0224136 0.0116305 0
0.0925 0.001 0.0183519 0.00851354 0
0.093 0.001 0.0205154 0.0109753 0
0.0935 0.001 0.0226589 0.011385 0
0.094 0.001 0.01948 0.0109639 0
0.0945 0.001 0.0187331 0.0105661 0
0.095 0.001 0.0209383 0.0110017 0
0.0955 0.001 0.020531 0.0103489 0
0.096 0.001 0.021604 0.0122623 0
0.0965 0.001 0.022547 0.0106074 0
0.097 0.001 0.0224593 0.0134263 0
0.0975 0.001 0.0220212 0.0102255 0
0.098 0.001 0.0203338 0.0109476 0
0.0985 0.001 0.021597 0.010099 0
0.099 0.001 0.0201458 0.0105527 0
0.0995 0.001 0.0204574 0.0109619 0
0.1 0.001 0.0196865 0.0099196 0
0.1005 0.001 0.0196661 0.0104331 0
0.101 0.001 0.0229919 0.0120287 0
0.1015 0.001 0.0249392 0.0120686 0
0.102 0.001 0.0228297 0.0111378 0
0.1025 0.001 0.0217647 0.0103006 0
0.103 0.001 0.023368 0.0125938 0
0.1035 0.001 0.01989 0.0111847 0
0.104 0.001 0.020894 0.0117967 0
0.1045 0.001 0.0218029 0.0123823 0
0.105 0.001 0.0200764 0.00891313 0
0.1055 0.001 0.0202482 0.0101246 0
0.106 0.001 0.0247793 0.0121929 0
0.1065 0.001 0.0215377 0.0110018 0
0.107 0.001 0.0207908 0.0112447 0
0.1075 0.001 0.0265497 0.0136229 0
0.108 0.001 0.02081 0.0107104 0
0.1085 0.001 0.0212366 0.0104151 0
0.109 0.001 0.0194106 0.0107516 0
0.1095 0.001 0.0226276 0.0117597 0
0.11 0.001 0.0224366 0.0120476 0
0.1105 0.001 0.0209443 0.0108103 0
0.111 0.001 0.0227104 0.0111954 0
0.1115 0.001 0.020113 0.0102965 0
0.112 0.001 0.0192751 0.00923841 0
0.1125 0.001 0.0206282 0.0110391 0
0.113 0.001 0.0169609 0.00886781 0
0.1135 0.001 0.0226293 0.0113165 0
0.114 0.001 0.0198937 0.0116228 0
0.1145 0.001 0.0231897 0.011521 0
0.115 0.001 0.0197258 0.0102324 0
0.1155 0.001 0.0189092 0.00855595 0
0.116 0.001 0.0211684 0.0112985 0
0.1165 0.001 0.0226505 0.0107929 0
0.117 0.001 0.0231995 0.0140701 0
0.1175 0.001 0.0223819 0.0109869 0
0.118 0.001 0.0202209 0.010486 0
0.1185 0.001 0.0228527 0.0111287 0
0.119 0.001 0.0207011 0.012039 0
0.1195 0.001 0.0213741 0.0110099 0
0.12 0.001 0.0221751 0.00980052 0
0.1205 0.001 0.0223069 0.0126766 0
0.121 0.001 0.0223045 0.0111367 0
0.1215 0.001 0.0177022 0.0104103 0
0.122 0.001 0.0215785 0.01111 0
0.1225 0.001 0.0189782 0.00960934 0
0.123 0.001 0.0203552 0.011259 0
0.1235 0.001 0.0218178 0.0105211 0
0.124 0.001 0.0207368 0.0108414 0
0.1245 0.001 0.020157 0.0108148 0
0.125 0.001 0.022601 0.011092 0
0.1255 0.001 0.0199907 0.0101539 0
0.126 0.001 0.0215151 0.0107113 0
0.1265 0.001 0.0230785 0.0119606 0
0.127 0.001 0.0200038 0.0111361 0
0.1275 0.001 0.0217912 0.0108486 0
0.128 0.001 0.0250958 0.0152691 0
0.1285 0.001 0.0216118 0.0100055 0
0.129 0.001 0.0223079 0.0112648 0
0.1295 0.001 0.0219278 0.00987678 0
0.13 0.001 0.0219162 0.0108087 0
0.1305 0.001 0.0208848 0.0120983 0
0.131 0.001 0.022275 0.0107296 0
0.1315 0.001 0.0226748 0.0111929 0
0.132 0.001 0.0216968 0.0111025 0
0.1325 0.001 0.0238325 0.0124147 0
0.133 0.001 0.0217728 0.0108298 0
0.1335 0.0015 0.0207572 0.0115677 0
0.134 0.0015 0.0215633 0.00976247 0
0.1345 0.0015 0.0226426 0.0123159 0
0.135 0.0015 0.0221455 0.0122716 0
0.1355 0.0015 0.0217477 0.0128403 0
0.136 0.0015 0.0229364 0.0106097 0
0.1365 0.0015 0.0232316 0.00961837 0
0.137 0.0015 0.023089 0.0115012 0
0.1375 0.0015 0.0221263 0.0123762 0
0.138 0.0015 0.021688 0.0105131 0
0.1385 0.0015 0.0246272 0.0121993 0
0.139 0.0015 0.0220947 0.0112022 0
0.1395 0.0015 0.0214869 0.0114575 0
0.14 0.0015 0.0218209 0.0114896 0
0.1405 0.0015 0.0217196 0.011859 0
0.141 0.0015 0.025222 0.0120869 0
0.1415 0.0015 0.0228136 0.0119719 0
0.142 0.0015 0.019617 0.0104627 0
0.1425 0.0015 0.0205848 0.0113756 0
0.143 0.0015 0.0214013 0.0113254 0
0.1435 0.0015 0.023118 0.0102057 0
0.144 0.0015 0.0184453 0.0107873 0
0.1445 0.0015 0.0238514 0.0142922 0
0.145 0.0015 0.0211399 0.0124829 0
0.1455 0.0015 0.0218468 0.0123853 0
0.146 0.0015 0.0222757 0.0106178 0
0.1465 0.0015 0.0235353 0.0110026 0
0.147 0.0015 0.022726 0.0115254 0
0.1475 0.0015 0.0219862 0.0104825 0
0.148 0.0015 0.0227164 0.0111048 0
0.1485 0.0015 0.0248376 0.0125658 0
0.149 0.0015 0.0241154 0.013118 0
0.1495 0.0015 0.0222002 0.0113177 0
0.15 0.0015 0.0228282 0.0123958 0
0.1505 0.0015 0.0237077 0.011226 0
0.151 0.0015 0.0221033 0.0111315 0
