# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=1	 fg_t_min=0	 fg_t_max=4	 fg_t_number=8000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0159512 0.00879109 0
0.0005 0.001 0.0220555 0.0105613 0
0.001 0.001 0.018862 0.0105374 0
0.0015 0.001 0.0178764 0.0119659 0
0.002 0.001 0.0234089 0.0121017 0
0.0025 0.001 0.0176777 0.00993414 0
0.003 0.001 0.0195167 0.01128 0
0.0035 0.001 0.0197117 0.0113545 0
0.004 0.001 0.0172206 0.00879847 0
0.0045 0.001 0.021512 0.0113935 0
0.005 0.001 0.020986 0.011581 0
0.0055 0.001 0.0203106 0.0100356 0
0.006 0.001 0.0195668 0.0134061 0
0.0065 0.001 0.0218883 0.00961832 0
0.007 0.001 0.0236969 0.0139718 0
0.0075 0.001 0.0169317 0.00858661 0
0.008 0.001 0.024479 0.011206 0
0.0085 0.001 0.0221201 0.0108348 0
0.009 0.001 0.0208327 0.00829956 0
0.0095 0.001 0.0193006 0.00808035 0
0.01 0.001 0.0217082 0.0109508 0
0.0105 0.001 0.0215806 0.0141077 0
0.011 0.001 0.0178735 0.0092171 0
0.0115 0.001 0.0179184 0.00949329 0
0.012 0.001 0.0173966 0.0082581 0
0.0125 0.001 0.0204466 0.0104775 0
0.013 0.001 0.0216904 0.00953495 0
0.0135 0.001 0.0136868 0.00869218 0
0.014 0.001 0.0195241 0.0124522 0
0.0145 0.001 0.0261738 0.0108566 0
0.015 0.001 0.017663 0.00994357 0
0.0155 0.001 0.0198995 0.0102169 0
0.016 0.001 0.018411 0.0101563 0
0.0165 0.001 0.0222887 0.0125761 0
0.017 0.001 0.0200923 0.0101795 0
0.0175 0.001 0.0187868 0.00853236 0
0.018 0.001 0.0198018 0.00944958 0
0.0185 0.001 0.0182944 0.0108219 0
0.019 0.001 0.0182855 0.00956488 0
0.0195 0.001 0.018752 0.0088145 0
0.02 0.001 0.0200205 0.00976272 0
0.0205 0.001 0.0205723 0.0106302 0
0.021 0.001 0.0183007 0.00984538 0
0.0215 0.001 0.0201424 0.00916723 0
0.022 0.001 0.0202395 0.00902218 0
0.0225 0.001 0.0179896 0.00789205 0
0.023 0.001 0.0195719 0.0112067 0
0.0235 0.001 0.0221844 0.0105132 0
0.024 0.001 0.0198555 0.00889237 0
0.0245 0.001 0.0179031 0.0107695 0
0.025 0.001 0.0182653 0.0109966 0
0.0255 0.001 0.0196822 0.0115137 0
0.026 0.001 0.0183253 0.00987408 0
0.0265 0.001 0.02133 0.0114864 0
0.027 0.001 0.0211346 0.0116274 0
0.0275 0.001 0.0181811 0.00746921 0
0.028 0.001 0.0153415 0.00857895 0
0.0285 0.001 0.0190536 0.00941467 0
0.029 0.001 0.0181273 0.0100644 0
0.0295 0.001 0.0229871 0.00936608 0
0.03 0.001 0.0239686 0.0108544 0
0.0305 0.001 0.020958 0.00937678 0
0.031 0.001 0.0180719 0.00909606 0
0.0315 0.0015 0.0187165 0.00912199 0
0.032 0.0015 0.0196649 0.00943623 0
0.0325 0.0015 0.0194883 0.0096108 0
0.033 0.0015 0.01981 0.00838096 0
0.0335 0.0015 0.0178054 0.00898206 0
0.034 0.0015 0.015017 0.00840053 0
0.0345 0.0015 0.020176 0.0091161 0
0.035 0.0015 0.0241275 0.0117592 0
0.0355 0.0015 0.0216773 0.010767 0
0.036 0.0015 0.0200613 0.0103128 0
0.0365 0.0015 0.0172635 0.00730862 0
0.037 0.0015 0.0170478 0.00964574 0
0.0375 0.0015 0.0189173 0.00891101 0
0.038 0.0015 0.0207324 0.00804015 0
0.0385 0.0015 0.0198425 0.00923972 0
0.039 0.0015 0.015368 0.00835134 0
0.0395 0.0015 0.018412 0.0105563 0
