# Relevant parameters to reproduce this network:
# node_nr=500	 k_max=500
# initial_seed=10	 delta_t=0.1	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=-20	 fg_t_min=0	 fg_t_max=4	 fg_t_number=2000	 fg_achlioptas_k=4	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.004 0.0387781 0.0200646 0
0.002 0.004 0.0386044 0.0212929 0
0.004 0.004 0.0447468 0.0231653 0
0.006 0.004 0.0483111 0.0226582 0
0.008 0.004 0.0383941 0.0203113 0
0.01 0.004 0.0440116 0.0247074 0
0.012 0.004 0.0382857 0.0226639 0
0.014 0.004 0.0386683 0.0276207 0
0.016 0.004 0.041422 0.0163575 0
0.018 0.004 0.0449052 0.0248578 0
0.02 0.004 0.0342287 0.0174825 0
0.022 0.004 0.0423502 0.0171703 0
0.024 0.004 0.0390936 0.022057 0
0.026 0.004 0.0411623 0.0237449 0
0.028 0.004 0.0321404 0.0163408 0
0.03 0.004 0.0396556 0.0178649 0
0.032 0.004 0.0446729 0.0237403 0
0.034 0.004 0.033261 0.0217478 0
0.036 0.004 0.0409623 0.0178905 0
0.038 0.004 0.0434609 0.0238922 0
0.04 0.004 0.0522239 0.0202711 0
0.042 0.004 0.0407226 0.0229349 0
0.044 0.004 0.0414924 0.0208308 0
0.046 0.004 0.046092 0.0262055 0
0.048 0.004 0.0491897 0.0255837 0
0.05 0.004 0.0272079 0.0134199 0
0.052 0.006 0.0436343 0.0208047 0
0.054 0.006 0.0443027 0.0237209 0
0.056 0.006 0.0482914 0.0209423 0
0.058 0.006 0.040633 0.023726 0
0.06 0.006 0.0439551 0.0237258 0
0.062 0.006 0.0302671 0.0160411 0
0.064 0.006 0.0441814 0.0196627 0
0.066 0.006 0.0327862 0.0210503 0
0.068 0.006 0.0433218 0.0239369 0
0.07 0.006 0.0485684 0.0301518 0
0.072 0.006 0.0511975 0.0226268 0
0.074 0.006 0.0511746 0.0232516 0
0.076 0.006 0.0417802 0.0268828 0
0.078 0.006 0.0367755 0.0186758 0
0.08 0.006 0.0561038 0.0180437 0
0.082 0.006 0.034224 0.0138895 0
0.084 0.006 0.0468499 0.0214511 0
0.086 0.006 0.04229 0.0197504 0
0.088 0.006 0.0477639 0.0230632 0
0.09 0.006 0.0542753 0.0225845 0
0.092 0.006 0.0473383 0.0235 0
0.094 0.006 0.0377349 0.0168205 0
0.096 0.006 0.0410523 0.0201948 0
0.098 0.006 0.0454883 0.0172481 0
0.1 0.006 0.0455167 0.0197146 0
