# Relevant parameters to reproduce this network:
# node_nr=500	 k_max=500
# initial_seed=11	 delta_t=1	 max_steps=10	 in_between=0
# fg_m=1	 fg_alpha=-19.8	 fg_t_min=0	 fg_t_max=249	 fg_t_number=124500	 fg_achlioptas_k=2	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=10	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.004 0.0261322 0.00895757 0
0.002 0.004 0.0387699 0.0204726 0
0.004 0.004 0.0383418 0.00453528 0
0.006 0.004 0.036824 0.0103358 0
0.008 0.004 0.0366797 0.0108639 0
0.01 0.004 0.0442812 0.0170585 0
0.012 0.004 0.0377134 0.0235415 0
0.014 0.004 0.01884 0.00424184 0
0.016 0.004 0.0297159 0.0235214 0
0.018 0.004 0.0559167 0.0215726 0
0.02 0.004 0.0424479 0.0189556 0
0.022 0.004 0.0418559 0.00636508 0
0.024 0.004 0.024986 0.00713174 0
0.026 0.004 0.0470152 0.0126132 0
0.028 0.006 0.0348932 0.00889732 0
0.03 0.006 0.0277622 0.00412567 0
0.032 0.006 0.012157 0.00637864 0
0.034 0.01 0.0338714 0.00907377 0
0.036 0.01 0.0352378 0.0160541 0
0.038 0.01 0.0274939 0.00984121 0
0.04 0.01 0.0480685 0.0172907 0
0.042 0.01 0.0411202 0.0190002 0
0.044 0.012 0.0379065 0.0244481 0
0.046 0.012 0.0263051 0.0139225 0
0.048 0.012 0.0312515 0.0155469 0
0.05 0.012 0.047144 0.0106744 0
0.052 0.012 0.0434184 0.00759495 0
0.054 0.012 0.0352136 0.0039208 0
0.056 0.024 0.0295299 0.012483 0
0.058 0.024 0.0689111 0.00466431 0
0.06 0.024 0.0423293 0.00637157 0
0.062 0.024 0.0504592 0.00737863 0
0.064 0.024 0.033276 0.0114084 0
0.066 0.024 0.0225672 0.00781314 0
0.068 0.024 0.0265236 0.00802147 0
0.07 0.024 0.0393524 0.0156686 0
0.072 0.024 0.0428085 0.0104203 0
0.074 0.024 0.0217992 0.0154579 0
0.076 0.024 0.0315898 0.00463595 0
0.078 0.024 0.0458487 0.019004 0
0.08 0.024 0.0241877 0.0196997 0
0.082 0.024 0.0266875 0.012626 0
0.084 0.024 0.0292316 0.00871065 0
0.086 0.024 0.0288218 0.0111481 0
0.088 0.024 0.0236291 0.00614055 0
0.09 0.024 0.0194487 0.0116112 0
0.092 0.024 0.0128492 0.0062217 0
0.094 0.024 0.0703228 0.0210671 0
0.096 0.024 0.0480659 0.0228257 0
0.098 0.024 0.0565885 0.00809385 0
0.1 0.024 0.0466082 0.0264438 0
0.102 0.024 0.0387896 0.0244045 0
0.104 0.024 0.056044 0.0237095 0
0.106 0.024 0.0300373 0.0127435 0
0.108 0.024 0.0593981 0.0359257 0
0.11 0.024 0.0432946 0.0226666 0
0.112 0.024 0.0399149 0.0167 0
0.114 0.024 0.0177618 0.0109234 0
0.116 0.024 0.0203961 0.00689031 0
0.118 0.024 0.0303906 0.0143786 0
0.12 0.024 0.0393465 0.0066898 0
0.122 0.024 0.0456715 0.0100659 0
0.124 0.026 0.0562888 0.0140982 0
0.126 0.026 0.0483871 0.0199242 0
0.128 0.026 0.038554 0.0196007 0
0.13 0.026 0.0365009 0.00796736 0
0.132 0.026 0.0220946 0.00719063 0
0.134 0.026 0.0350028 0.0138664 0
0.136 0.026 0.0411444 0.0208828 0
0.138 0.026 0.0342101 0.00769979 0
0.14 0.028 0.0470962 0.0143524 0
0.142 0.028 0.0449012 0.00297073 0
0.144 0.028 0.0472694 0.0176644 0
0.146 0.028 0.0656374 0.0179255 0
0.148 0.028 0.0745541 0.0226581 0
0.15 0.04 0.0259171 0.0071385 0
0.152 0.04 0.0286795 0.00884368 0
0.154 0.04 0.0319704 0.0188175 0
0.156 0.044 0.0513982 0.019249 0
0.158 0.044 0.0574285 0.0244149 0
0.16 0.05 0.0489987 0.00409912 0
0.162 0.05 0.0529642 0.00480867 0
0.164 0.05 0.0485781 0.00379474 0
0.166 0.05 0.0387385 0.00724319 0
0.168 0.05 0.0462119 0.0287552 0
0.17 0.05 0.0322225 0.0214562 0
0.172 0.05 0.0800059 0.0175812 0
0.174 0.082 0.0238898 0.0139152 0
0.176 0.082 0.0225088 0.0106708 0
0.178 0.082 0.0483442 0.0135014 0
0.18 0.084 0.0534843 0.0212658 0
0.182 0.088 0.105248 0.0301688 0
0.184 0.092 0.0403279 0.0191277 0
0.186 0.128 0.023619 0.0116342 0
0.188 0.134 0.050412 0.00951721 0
0.19 0.134 0.038008 0.0138084 0
0.192 0.136 0.0558544 0.00520012 0
0.194 0.136 0.0173523 0.0117189 0
0.196 0.138 0.0204647 0.00835419 0
0.198 0.138 0.0217224 0.00296959 0
0.2 0.14 0.0243138 0.0115584 0
0.202 0.14 0.0342396 0.0179892 0
0.204 0.142 0.0443742 0.0175816 0
0.206 0.142 0.0565678 0.00541479 0
0.208 0.146 0.0315767 0.0153795 0
0.21 0.152 0.102413 0.0231741 0
0.212 0.152 0.0647575 0.0345043 0
0.214 0.154 0.0844061 0.0154732 0
0.216 0.154 0.0677076 0.0332287 0
0.218 0.154 0.0635058 0.0215861 0
0.22 0.156 0.0469681 0.00404394 0
0.222 0.158 0.0520611 0.00952108 0
0.224 0.16 0.0216428 0.00647006 0
0.226 0.16 0.0325923 0.00592274 0
0.228 0.164 0.0347702 0.0126817 0
0.23 0.17 0.0394378 0.0116172 0
0.232 0.17 0.023608 0.00863063 0
0.234 0.17 0.0443923 0.0117022 0
0.236 0.17 0.0180211 0.00544872 0
0.238 0.17 0.0258549 0.00283941 0
0.24 0.17 0.0275703 0.0119368 0
0.242 0.17 0.0529879 0.0146162 0
0.244 0.17 0.0237141 0.0117905 0
0.246 0.17 0.0275863 0.0124709 0
0.248 0.17 0.0307925 0.0130489 0
0.25 0.17 0.0564493 0.0237901 0
0.252 0.17 0.0691044 0.0215814 0
0.254 0.176 0.042676 0.019613 0
0.256 0.186 0.0716185 0.0183742 0
0.258 0.188 0.0774559 0.0243758 0
0.26 0.188 0.0453368 0.0149207 0
0.262 0.188 0.0613202 0.0193868 0
0.264 0.188 0.0940256 0.0191514 0
0.266 0.19 0.0708455 0.0105945 0
0.268 0.19 0.0440847 0.0146497 0
0.27 0.19 0.0348714 0.0113575 0
0.272 0.19 0.0547488 0.0156674 0
0.274 0.19 0.076769 0.0176213 0
0.276 0.19 0.0498497 0.0138825 0
0.278 0.19 0.0650841 0.00761068 0
0.28 0.19 0.0475523 0.0183088 0
0.282 0.19 0.0938943 0.0150181 0
0.284 0.19 0.0367775 0.0179172 0
0.286 0.194 0.04213 0.0173681 0
0.288 0.194 0.0304291 0.0111621 0
0.29 0.196 0.0380243 0.0193964 0
0.292 0.196 0.0565118 0.0188856 0
0.294 0.198 0.0688418 0.0165344 0
0.296 0.198 0.0452428 0.0166147 0
0.298 0.198 0.052752 0.0213377 0
0.3 0.198 0.0599762 0.0323536 0
0.302 0.198 0.0866147 0.0244715 0
0.304 0.198 0.0594541 0.0115057 0
0.306 0.198 0.0887648 0.0143188 0
0.308 0.198 0.0555771 0.0150656 0
0.31 0.198 0.0704713 0.00681952 0
0.312 0.2 0.0778083 0.00359971 0
0.314 0.204 0.0530511 0.00725231 0
0.316 0.204 0.0592425 0.005693 0
0.318 0.204 0.0788669 0.00588402 0
0.32 0.204 0.0540409 0.00384724 0
0.322 0.204 0.0390879 0.0179251 0
0.324 0.204 0.0557953 0.00474777 0
0.326 0.208 0.0601985 0.00195426 0
0.328 0.208 0.0541748 0.00799632 0
0.33 0.21 0.0591062 0.0202928 0
0.332 0.21 0.0298551 0.0149251 0
0.334 0.21 0.0738936 0.0170311 0
0.336 0.21 0.0556375 0.0048178 0
0.338 0.21 0.0404265 0.0144839 0
0.34 0.212 0.0300864 0.00723168 0
0.342 0.214 0.0249936 0.0113212 0
0.344 0.214 0.0765262 0.0075596 0
0.346 0.214 0.0820043 0.0125509 0
0.348 0.214 0.0748839 0.00674296 0
0.35 0.216 0.09008 0.0208224 0
0.352 0.216 0.0471748 0.0250175 0
0.354 0.216 0.0687013 0.0205426 0
0.356 0.216 0.0312888 0.0182177 0
0.358 0.216 0.0766283 0.0034442 0
0.36 0.22 0.0677193 0.0199419 0
0.362 0.22 0.0515015 0.0120603 0
0.364 0.22 0.0389118 0.0254877 0
0.366 0.22 0.0582476 0.0271632 0
0.368 0.222 0.0519964 0.026535 0
0.37 0.222 0.0710539 0.0139484 0
0.372 0.222 0.0578836 0.0261487 0
0.374 0.222 0.0483073 0.0196601 0
0.376 0.224 0.0573536 0.039688 0
0.378 0.224 0.0882614 0.0168842 0
0.38 0.224 0.0662947 0.0107401 0
0.382 0.226 0.0652967 0.0173713 0
0.384 0.226 0.0788647 0.0115288 0
0.386 0.226 0.119189 0.0171546 0
0.388 0.226 0.0366584 0.0146447 0
0.39 0.226 0.0751937 0.0124164 0
0.392 0.226 0.0171051 0.0146119 0
0.394 0.226 0.0363888 0.0188336 0
0.396 0.226 0.0466488 0.0137206 0
0.398 0.226 0.034295 0.0144931 0
0.4 0.228 0.0423505 0.0161032 0
0.402 0.228 0.0501821 0.00908761 0
0.404 0.228 0.0816146 0.0209579 0
0.406 0.228 0.0285694 0.0112869 0
0.408 0.228 0.063378 0.0330535 0
0.41 0.228 0.0329148 0.0116123 0
0.412 0.228 0.0607276 0.0231153 0
0.414 0.23 0.0702861 0.0186817 0
0.416 0.23 0.111639 0.0087488 0
0.418 0.23 0.085401 0.0115376 0
0.42 0.234 0.0564028 0.00264548 0
0.422 0.25 0.0512521 0.00242056 0
0.424 0.25 0.0928309 0.0132501 0
0.426 0.25 0.0830655 0.0050112 0
0.428 0.25 0.0996165 0.00964111 0
0.43 0.25 0.0849895 0.00525367 0
0.432 0.25 0.081901 0.0112274 0
0.434 0.25 0.104044 0.00557796 0
0.436 0.25 0.0611727 0.040206 0
0.438 0.254 0.0353016 0.0209359 0
0.44 0.256 0.0533511 0.0233109 0
0.442 0.256 0.0517579 0.0181777 0
0.444 0.256 0.0519899 0.0146931 0
0.446 0.256 0.0741555 0.019429 0
0.448 0.258 0.0738564 0.0262524 0
0.45 0.258 0.0692661 0.0186347 0
0.452 0.258 0.0316515 0.0123511 0
0.454 0.26 0.0538394 0.028385 0
0.456 0.26 0.0687435 0.0344119 0
0.458 0.26 0.0475303 0.0180639 0
0.46 0.26 0.0843127 0.00895656 0
0.462 0.26 0.04938 0.0207294 0
0.464 0.26 0.0792101 0.0189116 0
0.466 0.26 0.0533186 0.0127696 0
0.468 0.264 0.0480556 0.0202749 0
0.47 0.264 0.0626028 0.0305972 0
0.472 0.268 0.0274058 0.025926 0
0.474 0.268 0.0338413 0.015528 0
0.476 0.27 0.0729969 0.00480128 0
0.478 0.27 0.0492374 0.0142479 0
0.48 0.272 0.0471306 0.00710317 0
0.482 0.272 0.0907731 0.0282309 0
0.484 0.272 0.0480918 0.0168339 0
0.486 0.272 0.0593842 0.0190762 0
0.488 0.272 0.0615597 0.00567887 0
0.49 0.272 0.0944486 0.0279451 0
0.492 0.272 0.0988353 0.0105002 0
0.494 0.272 0.106039 0.0106485 0
0.496 0.272 0.0718025 0.00845054 0
0.498 0.274 0.0992805 0.00892057 0
0.5 0.274 0.0700333 0.0135618 0
0.502 0.274 0.0805786 0.015395 0
0.504 0.274 0.0688264 0.0169188 0
0.506 0.274 0.062994 0.00534444 0
0.508 0.274 0.0405343 0.0170184 0
0.51 0.28 0.0830269 0.0244715 0
0.512 0.28 0.0538326 0.0309196 0
0.514 0.282 0.0700802 0.0135099 0
0.516 0.282 0.0781178 0.0126762 0
0.518 0.284 0.107948 0.0366575 0
0.52 0.284 0.0963915 0.0252205 0
0.522 0.284 0.0982818 0.0314505 0
0.524 0.286 0.0331464 0.00562462 0
0.526 0.286 0.0227585 0.0207582 0
0.528 0.286 0.0636427 0.018056 0
0.53 0.286 0.0408078 0.00556864 0
0.532 0.286 0.0985901 0.038064 0
0.534 0.286 0.0749545 0.0359457 0
0.536 0.288 0.0675859 0.00758034 0
0.538 0.288 0.0790378 0.0109973 0
0.54 0.288 0.0690981 0.0234286 0
0.542 0.288 0.111371 0.0181405 0
0.544 0.29 0.101463 0.0207481 0
0.546 0.29 0.118044 0.0106037 0
0.548 0.29 0.140743 0.0234342 0
0.55 0.29 0.0970776 0.0134865 0
0.552 0.292 0.0297253 0.0133085 0
0.554 0.292 0.0629519 0.027572 0
0.556 0.292 0.0951162 0.0334221 0
0.558 0.292 0.110852 0.0341947 0
0.56 0.292 0.0525676 0.0242182 0
0.562 0.294 0.119371 0.0162036 0
0.564 0.294 0.124037 0.0237612 0
0.566 0.294 0.0780335 0.0102023 0
0.568 0.294 0.0648149 0.0113677 0
0.57 0.294 0.0530873 0.0210382 0
0.572 0.294 0.109591 0.0240402 0
0.574 0.294 0.127991 0.0205503 0
0.576 0.294 0.116303 0.0164329 0
0.578 0.294 0.0531538 0.0232866 0
0.58 0.294 0.0961155 0.0161713 0
0.582 0.294 0.0784278 0.0346558 0
0.584 0.294 0.108044 0.0209192 0
0.586 0.294 0.120211 0.0144559 0
0.588 0.294 0.112428 0.0166397 0
0.59 0.294 0.0805396 0.025067 0
0.592 0.294 0.14209 0.00593284 0
0.594 0.296 0.119231 0.0245184 0
0.596 0.296 0.114721 0.035967 0
0.598 0.296 0.150994 0.00400686 0
0.6 0.296 0.127875 0.017337 0
0.602 0.296 0.0833669 0.0396649 0
0.604 0.296 0.0897186 0.0419446 0
0.606 0.296 0.0987861 0.0110844 0
0.608 0.296 0.111356 0.019704 0
0.61 0.296 0.162167 0.0176643 0
0.612 0.298 0.132874 0.00789619 0
0.614 0.298 0.12493 0.00212548 0
0.616 0.298 0.0925525 0.0231661 0
0.618 0.298 0.090947 0.0120757 0
0.62 0.298 0.115832 0.00377697 0
0.622 0.298 0.144171 0.0108148 0
0.624 0.3 0.122368 0.00637441 0
0.626 0.31 0.175714 0.0245714 0
0.628 0.312 0.138476 0.024262 0
0.63 0.312 0.113363 0.002827 0
0.632 0.312 0.0919255 0.0202291 0
0.634 0.312 0.0844318 0.0201984 0
0.636 0.312 0.143512 0.0139818 0
0.638 0.312 0.154361 0.0062015 0
0.64 0.312 0.148259 0.0245299 0
0.642 0.312 0.0930752 0.00707123 0
0.644 0.312 0.115395 0.0264041 0
0.646 0.312 0.146169 0.00753527 0
0.648 0.314 0.110863 0.0204489 0
0.65 0.314 0.151948 0.0195789 0
0.652 0.314 0.135353 0.0120568 0
0.654 0.314 0.117207 0.0038485 0
0.656 0.316 0.092829 0.013265 0
0.658 0.316 0.119509 0.0103581 0
0.66 0.316 0.121786 0.0171595 0
0.662 0.316 0.15229 0.0120378 0
0.664 0.316 0.144292 0.0152387 0
0.666 0.316 0.168218 0.0112974 0
0.668 0.318 0.133258 0.0155243 0
0.67 0.318 0.0871898 0.0204012 0
0.672 0.318 0.0775335 0.0205625 0
0.674 0.326 0.148476 0.0116187 0
0.676 0.326 0.201878 0.0189891 0
0.678 0.326 0.147876 0.0101301 0
0.68 0.326 0.156091 0.0024969 0
0.682 0.326 0.100573 0.024068 0
0.684 0.326 0.0791337 0.029026 0
0.686 0.328 0.0869252 0.0169432 0
0.688 0.34 0.102991 0.00576562 0
0.69 0.34 0.136137 0.0162417 0
0.692 0.34 0.166117 0.00719731 0
0.694 0.34 0.154671 0.0255465 0
0.696 0.34 0.0887058 0.015527 0
0.698 0.34 0.153605 0.0353832 0
0.7 0.34 0.115116 0.0190721 0
0.702 0.34 0.111746 0.0175342 0
0.704 0.34 0.0864226 0.0300323 0
0.706 0.34 0.190217 0.0165348 0
0.708 0.34 0.173217 0.0186214 0
0.71 0.34 0.13768 0.0463873 0
0.712 0.34 0.0907302 0.0242871 0
