# Relevant parameters to reproduce this network:
# node_nr=500	 k_max=300
# initial_seed=10	 delta_t=1	 max_steps=10	 in_between=2
# fg_m=1	 fg_alpha=5	 fg_t_min=0	 fg_t_max=200	 fg_t_number=100000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=10	 fg_weff_in_between=2
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.004 0.0528967 0.0237367 0
0.002 0.004 0.0331455 0.0133057 0
0.004 0.004 0.0490237 0.0184425 0
0.006 0.004 0.0280313 0.0147796 0
0.008 0.004 0.0480361 0.0263345 0
0.01 0.004 0.0460581 0.0174838 0
0.012 0.004 0.0453668 0.0119695 0
0.014 0.004 0.0390264 0.0220253 0
0.016 0.004 0.0388517 0.0193527 0
0.018 0.004 0.0296966 0.013034 0
0.02 0.004 0.0479446 0.0204315 0
0.022 0.006 0.0448298 0.0196986 0
0.024 0.006 0.0327016 0.0148544 0
0.026 0.006 0.0464101 0.0297592 0
0.028 0.006 0.040656 0.0244536 0
0.03 0.006 0.0357599 0.0132742 0
0.032 0.006 0.0373076 0.0144959 0
0.034 0.006 0.0474221 0.0168715 0
0.036 0.008 0.0490674 0.0307533 0
0.038 0.008 0.0426843 0.0265776 0
0.04 0.008 0.0347223 0.0146847 0
0.042 0.008 0.0361758 0.0211675 0
0.044 0.008 0.05081 0.025077 0
0.046 0.008 0.0477626 0.0200855 0
0.048 0.008 0.0409078 0.0244535 0
0.05 0.008 0.0371785 0.0155367 0
0.052 0.008 0.0498632 0.0215076 0
0.054 0.008 0.0393302 0.0242677 0
0.056 0.008 0.0348572 0.0149049 0
0.058 0.01 0.0448099 0.0189827 0
0.06 0.01 0.0353459 0.0193647 0
0.062 0.01 0.0386557 0.0148107 0
0.064 0.01 0.0510351 0.021034 0
0.066 0.01 0.0509548 0.0267257 0
0.068 0.01 0.0276806 0.0136796 0
0.07 0.01 0.0593121 0.0186062 0
0.072 0.01 0.0261629 0.0068472 0
0.074 0.01 0.0439929 0.0207969 0
0.076 0.01 0.0394848 0.0135618 0
