# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=-10	 fg_t_min=0	 fg_t_max=2	 fg_t_number=4000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0159512 0.00879109 0
0.0005 0.001 0.0221315 0.0107498 0
0.001 0.001 0.0189103 0.0106217 0
0.0015 0.001 0.0186259 0.0126537 0
0.002 0.001 0.0235631 0.0120635 0
0.0025 0.001 0.0180175 0.00969608 0
0.003 0.001 0.0194389 0.0109296 0
0.0035 0.001 0.0195815 0.0125439 0
0.004 0.001 0.0168912 0.00927737 0
0.0045 0.001 0.0219609 0.0111547 0
0.005 0.001 0.020697 0.0106647 0
0.0055 0.001 0.0208202 0.0105472 0
0.006 0.001 0.0185482 0.0143728 0
0.0065 0.001 0.0208427 0.010427 0
0.007 0.001 0.0235691 0.0127133 0
0.0075 0.001 0.0171914 0.008261 0
0.008 0.001 0.0236399 0.0101018 0
0.0085 0.001 0.0209829 0.00994378 0
0.009 0.001 0.0201826 0.007971 0
0.0095 0.001 0.0182267 0.00861305 0
0.01 0.001 0.0211144 0.0118472 0
0.0105 0.001 0.0215953 0.0132106 0
0.011 0.001 0.017809 0.00935254 0
0.0115 0.001 0.0169966 0.00977083 0
0.012 0.001 0.0143016 0.00746008 0
0.0125 0.001 0.0199232 0.0103884 0
0.013 0.001 0.0220848 0.0101922 0
0.0135 0.001 0.0134197 0.00792585 0
0.014 0.001 0.0189956 0.0120175 0
0.0145 0.001 0.0268321 0.0122967 0
0.015 0.001 0.0195936 0.0106561 0
0.0155 0.001 0.0198766 0.0104021 0
0.016 0.001 0.0181172 0.00985345 0
0.0165 0.001 0.0204311 0.0113448 0
0.017 0.001 0.0179758 0.00949129 0
0.0175 0.001 0.0195505 0.0085005 0
0.018 0.001 0.0204379 0.00916948 0
0.0185 0.001 0.0196587 0.0118882 0
0.019 0.001 0.0173087 0.00987682 0
0.0195 0.001 0.0188197 0.0093255 0
0.02 0.001 0.0198471 0.00858769 0
0.0205 0.001 0.0195771 0.0101611 0
0.021 0.001 0.0187076 0.00905654 0
0.0215 0.001 0.0176912 0.00902996 0
0.022 0.001 0.0197964 0.00950768 0
0.0225 0.001 0.0187466 0.00829039 0
0.023 0.001 0.021278 0.011594 0
0.0235 0.001 0.0202503 0.00933041 0
0.024 0.001 0.018418 0.00825857 0
0.0245 0.001 0.0215798 0.0112771 0
0.025 0.001 0.0185647 0.0108034 0
0.0255 0.001 0.0208516 0.00947288 0
0.026 0.001 0.0172199 0.0101336 0
0.0265 0.001 0.0182534 0.00955171 0
0.027 0.001 0.0224778 0.00921876 0
0.0275 0.001 0.0202707 0.00909406 0
0.028 0.001 0.0164856 0.00944725 0
0.0285 0.001 0.0199019 0.00822736 0
0.029 0.001 0.0198824 0.00931565 0
0.0295 0.001 0.0223697 0.00960918 0
0.03 0.001 0.0214593 0.0121446 0
0.0305 0.001 0.0180018 0.00977077 0
0.031 0.001 0.0191274 0.0084258 0
0.0315 0.001 0.0227869 0.00910226 0
0.032 0.001 0.020608 0.00930045 0
0.0325 0.001 0.0205887 0.0104776 0
0.033 0.001 0.0188951 0.0100189 0
0.0335 0.001 0.0193496 0.0088934 0
0.034 0.001 0.0144141 0.00761738 0
0.0345 0.001 0.0183362 0.00933006 0
0.035 0.0015 0.0226988 0.0123692 0
0.0355 0.0015 0.021443 0.00982246 0
0.036 0.0015 0.0192871 0.00896176 0
0.0365 0.0015 0.0147833 0.00829317 0
0.037 0.0015 0.0169206 0.00899227 0
0.0375 0.0015 0.0178606 0.00970742 0
0.038 0.0015 0.0206955 0.00892094 0
0.0385 0.0015 0.019391 0.0107258 0
0.039 0.0015 0.0186956 0.0111341 0
0.0395 0.0015 0.0186018 0.0107765 0
0.04 0.0015 0.0203103 0.00900132 0
0.0405 0.0015 0.0182925 0.00963485 0
0.041 0.0015 0.0225962 0.0089994 0
0.0415 0.0015 0.0241258 0.0114054 0
0.042 0.0015 0.0145561 0.0091286 0
0.0425 0.0015 0.021149 0.0109204 0
0.043 0.0015 0.0172403 0.00739039 0
0.0435 0.0015 0.0227001 0.0103566 0
0.044 0.0015 0.0204959 0.0080173 0
0.0445 0.0015 0.024627 0.0118082 0
0.045 0.0015 0.0221509 0.0135344 0
0.0455 0.0015 0.0161341 0.00782409 0
0.046 0.0015 0.0180746 0.00958776 0
0.0465 0.0015 0.018565 0.00814525 0
0.047 0.0015 0.0235283 0.0146816 0
0.0475 0.0015 0.0179293 0.00891133 0
0.048 0.0015 0.0156783 0.00974386 0
0.0485 0.0015 0.0183687 0.00978929 0
0.049 0.0015 0.0163077 0.00856405 0
0.0495 0.0015 0.0236155 0.0105529 0
0.05 0.0015 0.019109 0.00649163 0
0.0505 0.0015 0.0236003 0.0140714 0
0.051 0.0015 0.0195631 0.011543 0
0.0515 0.0015 0.0183672 0.00743859 0
0.052 0.0015 0.0224074 0.0100501 0
0.0525 0.0015 0.0290123 0.0144762 0
0.053 0.0015 0.0170406 0.0117722 0
0.0535 0.0015 0.020885 0.0122352 0
0.054 0.0015 0.0197869 0.00954592 0
0.0545 0.0015 0.0187785 0.00957093 0
0.055 0.0015 0.0240454 0.0135832 0
0.0555 0.0015 0.0173724 0.00909262 0
0.056 0.0015 0.019465 0.0144742 0
0.0565 0.0015 0.0221657 0.0108916 0
0.057 0.0015 0.0245356 0.0104035 0
0.0575 0.0015 0.0182954 0.00777725 0
0.058 0.0015 0.0197047 0.0100368 0
0.0585 0.0015 0.0159026 0.0094576 0
0.059 0.0015 0.0204438 0.0123033 0
0.0595 0.0015 0.0204674 0.0102262 0
0.06 0.0015 0.0203612 0.00864719 0
0.0605 0.0015 0.0243492 0.0114325 0
0.061 0.0015 0.0241424 0.0115826 0
0.0615 0.0015 0.0238007 0.0108437 0
0.062 0.0015 0.0200433 0.00948748 0
0.0625 0.0015 0.0215781 0.0100612 0
0.063 0.0015 0.0155124 0.00786993 0
0.0635 0.0015 0.0184622 0.00964698 0
0.064 0.0015 0.0255207 0.0113795 0
0.0645 0.0015 0.0255659 0.011358 0
0.065 0.0015 0.0196098 0.00903515 0
0.0655 0.0015 0.0176707 0.00882781 0
0.066 0.0015 0.015993 0.00677861 0
0.0665 0.0015 0.0217489 0.0109677 0
0.067 0.0015 0.0195139 0.0110087 0
0.0675 0.0015 0.0233595 0.0119014 0
0.068 0.0015 0.0206046 0.0129638 0
0.0685 0.0015 0.0158467 0.0095513 0
0.069 0.0015 0.0239911 0.0104844 0
0.0695 0.0015 0.0187667 0.0105561 0
0.07 0.0015 0.0174584 0.00973377 0
0.0705 0.0015 0.0186883 0.0109196 0
0.071 0.0015 0.0213105 0.00912108 0
0.0715 0.002 0.0241738 0.00913753 0
