# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=-1	 fg_t_min=0	 fg_t_max=1.5	 fg_t_number=3000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0159512 0.00879109 0
0.0005 0.001 0.0219966 0.010368 0
0.001 0.001 0.0189145 0.0107598 0
0.0015 0.001 0.0182384 0.0117584 0
0.002 0.001 0.0236512 0.011503 0
0.0025 0.001 0.0182667 0.0097339 0
0.003 0.001 0.0195944 0.0109785 0
0.0035 0.001 0.0188195 0.0116073 0
0.004 0.001 0.0174874 0.00928875 0
0.0045 0.001 0.0223249 0.0114248 0
0.005 0.001 0.0222402 0.0124248 0
0.0055 0.001 0.0203522 0.0110711 0
0.006 0.001 0.0187285 0.0128683 0
0.0065 0.001 0.0214795 0.0110663 0
0.007 0.001 0.0240021 0.0136578 0
0.0075 0.001 0.0182099 0.00932185 0
0.008 0.001 0.0249957 0.0110887 0
0.0085 0.001 0.0240428 0.011367 0
0.009 0.001 0.0215266 0.00861293 0
0.0095 0.001 0.0198004 0.00949299 0
0.01 0.001 0.0225179 0.0103477 0
0.0105 0.001 0.0206265 0.0135451 0
0.011 0.001 0.0181647 0.00914301 0
0.0115 0.001 0.0185112 0.00995225 0
0.012 0.001 0.0180201 0.00752123 0
0.0125 0.001 0.021353 0.0108597 0
0.013 0.001 0.0210901 0.0108903 0
0.0135 0.001 0.0159874 0.0109508 0
0.014 0.001 0.0185566 0.0115939 0
0.0145 0.001 0.0263293 0.0109137 0
0.015 0.001 0.0173032 0.0103283 0
0.0155 0.001 0.0202141 0.0107122 0
0.016 0.001 0.0178213 0.0110974 0
0.0165 0.001 0.0218245 0.0124109 0
0.017 0.001 0.0174878 0.0116744 0
0.0175 0.001 0.0192482 0.00904524 0
0.018 0.001 0.0210991 0.0113634 0
0.0185 0.001 0.0185876 0.0104053 0
0.019 0.001 0.0225208 0.011052 0
0.0195 0.001 0.0180443 0.00908819 0
0.02 0.001 0.0203387 0.00873486 0
0.0205 0.001 0.020382 0.0116347 0
0.021 0.001 0.020672 0.0114799 0
0.0215 0.001 0.0213119 0.011876 0
0.022 0.001 0.0191375 0.00777298 0
0.0225 0.001 0.0198108 0.0100006 0
0.023 0.001 0.0227939 0.0100619 0
0.0235 0.001 0.0231138 0.0111223 0
0.024 0.001 0.0202947 0.0102796 0
0.0245 0.001 0.0208743 0.00978953 0
0.025 0.001 0.0187995 0.010487 0
0.0255 0.001 0.0215539 0.0124554 0
0.026 0.001 0.0204374 0.0100976 0
0.0265 0.001 0.0201554 0.00824722 0
0.027 0.001 0.0214719 0.0103504 0
0.0275 0.001 0.0193584 0.00983096 0
0.028 0.001 0.0147194 0.00939214 0
0.0285 0.001 0.019677 0.0131789 0
0.029 0.001 0.0167415 0.00958549 0
0.0295 0.001 0.0238567 0.00952178 0
0.03 0.001 0.0203494 0.012391 0
0.0305 0.001 0.015877 0.0078177 0
0.031 0.001 0.0209281 0.00925006 0
0.0315 0.0015 0.0199685 0.00995318 0
0.032 0.0015 0.0211657 0.0111115 0
0.0325 0.0015 0.0208629 0.0117603 0
0.033 0.0015 0.02029 0.0097903 0
0.0335 0.0015 0.0190096 0.00906788 0
0.034 0.0015 0.0152908 0.00696525 0
0.0345 0.0015 0.0173506 0.0100229 0
0.035 0.0015 0.0207358 0.0122343 0
0.0355 0.0015 0.017056 0.010271 0
0.036 0.0015 0.0197128 0.00974225 0
0.0365 0.0015 0.0157385 0.007771 0
0.037 0.0015 0.0143252 0.00798973 0
0.0375 0.0015 0.0200042 0.00991383 0
0.038 0.0015 0.0199216 0.00678492 0
0.0385 0.0015 0.0221672 0.0119202 0
0.039 0.0015 0.0190703 0.0103358 0
0.0395 0.0015 0.0184141 0.0098261 0
0.04 0.0015 0.0206712 0.00981725 0
0.0405 0.0015 0.0207998 0.00813053 0
0.041 0.0015 0.0208495 0.00937556 0
0.0415 0.0015 0.0268589 0.011361 0
0.042 0.0015 0.0197536 0.0106119 0
0.0425 0.0015 0.020138 0.00936369 0
0.043 0.0015 0.0183987 0.00925774 0
0.0435 0.0015 0.0241264 0.0111646 0
