# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=5000	 in_between=0
# fg_m=1	 fg_alpha=10	 fg_t_min=0	 fg_t_max=4	 fg_t_number=8000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=5000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0197076 0.0112855 0
0.0005 0.001 0.019318 0.0107706 0
0.001 0.001 0.0211644 0.0118484 0
0.0015 0.001 0.0201504 0.00986979 0
0.002 0.001 0.0187607 0.0106938 0
0.0025 0.001 0.0201779 0.0109377 0
0.003 0.001 0.0190018 0.0103877 0
0.0035 0.001 0.0185437 0.00947181 0
0.004 0.001 0.0200685 0.00983883 0
0.0045 0.001 0.020111 0.0101361 0
0.005 0.001 0.0192528 0.0112382 0
0.0055 0.001 0.0185748 0.00970271 0
0.006 0.001 0.0195626 0.00916402 0
0.0065 0.001 0.0175104 0.00899999 0
0.007 0.001 0.0196208 0.0095231 0
0.0075 0.001 0.0189159 0.0100158 0
0.008 0.001 0.02102 0.0102927 0
0.0085 0.001 0.020227 0.00963691 0
0.009 0.001 0.0201559 0.0111745 0
0.0095 0.001 0.0186679 0.00951835 0
0.01 0.001 0.0202053 0.0105178 0
0.0105 0.001 0.0227079 0.0117882 0
0.011 0.001 0.0199321 0.010231 0
0.0115 0.001 0.0192412 0.0101265 0
0.012 0.001 0.0204589 0.0100438 0
0.0125 0.0015 0.0202764 0.00985589 0
0.013 0.0015 0.0197372 0.0109386 0
0.0135 0.0015 0.0193175 0.00999092 0
0.014 0.0015 0.0193277 0.00941708 0
0.0145 0.0015 0.0179627 0.00893942 0
0.015 0.0015 0.0209819 0.0111703 0
0.0155 0.0015 0.0223218 0.0114549 0
0.016 0.0015 0.0184103 0.00985452 0
0.0165 0.0015 0.0195555 0.00962464 0
0.017 0.0015 0.020899 0.0106167 0
0.0175 0.0015 0.0178808 0.00834558 0
0.018 0.0015 0.0201223 0.010296 0
0.0185 0.0015 0.0201986 0.0109844 0
0.019 0.0015 0.0192684 0.0109992 0
0.0195 0.0015 0.0196907 0.00990511 0
0.02 0.0015 0.0196103 0.0101816 0
0.0205 0.0015 0.0198376 0.00969369 0
0.021 0.0015 0.0206722 0.0105258 0
0.0215 0.0015 0.0194803 0.00995798 0
0.022 0.0015 0.0196811 0.0095665 0
0.0225 0.0015 0.0211818 0.0108529 0
0.023 0.0015 0.0195541 0.00995674 0
0.0235 0.0015 0.0200309 0.0110971 0
0.024 0.0015 0.0202611 0.0101467 0
0.0245 0.0015 0.0189554 0.0109638 0
0.025 0.0015 0.0190766 0.0108945 0
0.0255 0.0015 0.0189674 0.00958884 0
0.026 0.0015 0.0215674 0.0111732 0
0.0265 0.0015 0.0205808 0.0102671 0
0.027 0.0015 0.0199673 0.0100593 0
0.0275 0.0015 0.0191423 0.00997757 0
0.028 0.0015 0.0216658 0.0111915 0
0.0285 0.0015 0.0236827 0.011564 0
0.029 0.0015 0.0183384 0.00947317 0
0.0295 0.0015 0.0196528 0.0106437 0
0.03 0.0015 0.0169844 0.00852257 0
0.0305 0.0015 0.0199482 0.0108355 0
0.031 0.0015 0.018767 0.00902416 0
0.0315 0.0015 0.0187073 0.00949069 0
0.032 0.0015 0.0205104 0.00990158 0
0.0325 0.0015 0.018354 0.00897768 0
0.033 0.0015 0.018907 0.0105856 0
