# Relevant parameters to reproduce this network:
# node_nr=1000	 k_max=100
# initial_seed=1557414222	 delta_t=0.1	 max_steps=3000	 in_between=0
# fg_m=1	 fg_alpha=-1	 fg_t_min=0	 fg_t_max=1.2	 fg_t_number=1200	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=3000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.002 0.0276386 0.0163232 0
0.001 0.002 0.0263843 0.0144149 0
0.002 0.002 0.02887 0.016255 0
0.003 0.002 0.0301875 0.0153515 0
0.004 0.002 0.029486 0.0150606 0
0.005 0.002 0.0270466 0.0159864 0
0.006 0.002 0.026758 0.0137023 0
0.007 0.002 0.027125 0.0133635 0
0.008 0.002 0.0299231 0.0149727 0
0.009 0.002 0.0272236 0.0118963 0
0.01 0.002 0.028711 0.0139405 0
0.011 0.002 0.0282479 0.0148533 0
0.012 0.002 0.0325095 0.0153112 0
0.013 0.002 0.0261991 0.0138834 0
0.014 0.002 0.0258627 0.0139394 0
0.015 0.002 0.028423 0.0171979 0
0.016 0.002 0.0311275 0.016446 0
0.017 0.002 0.0308764 0.016562 0
0.018 0.002 0.0279158 0.0136827 0
0.019 0.002 0.0277121 0.0134451 0
0.02 0.002 0.0279498 0.012441 0
0.021 0.002 0.0311932 0.0161572 0
0.022 0.002 0.0259454 0.0155201 0
0.023 0.002 0.0309686 0.0145694 0
0.024 0.002 0.0284959 0.0162688 0
0.025 0.002 0.0265737 0.0142572 0
0.026 0.002 0.0263036 0.0127575 0
0.027 0.002 0.0307517 0.0166679 0
0.028 0.002 0.0266424 0.0126128 0
0.029 0.002 0.0324105 0.0164913 0
0.03 0.002 0.0293387 0.016453 0
0.031 0.002 0.0328722 0.0162392 0
0.032 0.002 0.0288404 0.0143804 0
0.033 0.002 0.0301612 0.0170461 0
0.034 0.002 0.0296454 0.015773 0
0.035 0.003 0.0255622 0.0149523 0
0.036 0.003 0.0304537 0.0146333 0
0.037 0.003 0.0308341 0.0161616 0
0.038 0.003 0.0299951 0.0147069 0
0.039 0.004 0.025977 0.0123481 0
0.04 0.004 0.030019 0.0147433 0
0.041 0.004 0.0289564 0.014117 0
0.042 0.004 0.0281251 0.0164497 0
0.043 0.004 0.0260795 0.011959 0
0.044 0.004 0.0286992 0.0152197 0
0.045 0.004 0.0323033 0.0158566 0
0.046 0.004 0.031674 0.0167189 0
0.047 0.004 0.0304905 0.0159585 0
0.048 0.004 0.0297509 0.0148393 0
0.049 0.004 0.0269279 0.0153569 0
0.05 0.004 0.0326272 0.014443 0
0.051 0.004 0.028028 0.0136262 0
0.052 0.004 0.0315053 0.015769 0
0.053 0.004 0.0271619 0.0135037 0
0.054 0.004 0.0304227 0.0144377 0
0.055 0.004 0.0300173 0.0157694 0
0.056 0.004 0.0314965 0.0157202 0
0.057 0.004 0.0282194 0.0150596 0
0.058 0.004 0.0280679 0.0158722 0
0.059 0.004 0.0301172 0.016111 0
0.06 0.004 0.0313215 0.0144022 0
0.061 0.004 0.0298588 0.018333 0
0.062 0.004 0.029409 0.0137692 0
0.063 0.004 0.030128 0.016623 0
0.064 0.004 0.0309464 0.0174375 0
0.065 0.004 0.0338663 0.0149347 0
0.066 0.004 0.0311086 0.0153846 0
0.067 0.004 0.0299837 0.0143715 0
0.068 0.004 0.0309989 0.0151198 0
0.069 0.004 0.0292118 0.0154104 0
0.07 0.004 0.0308703 0.0173432 0
0.071 0.004 0.028082 0.01769 0
0.072 0.004 0.0310479 0.0163104 0
0.073 0.004 0.0265343 0.0131998 0
0.074 0.004 0.0340475 0.0166276 0
0.075 0.004 0.0309938 0.0147302 0
0.076 0.004 0.0285671 0.0155202 0
0.077 0.004 0.0293194 0.0158592 0
0.078 0.004 0.0319212 0.0164786 0
0.079 0.004 0.0302383 0.0151515 0
0.08 0.004 0.0318136 0.013492 0
0.081 0.004 0.0284912 0.0125817 0
0.082 0.004 0.0273042 0.0139454 0
0.083 0.004 0.0288349 0.0139017 0
0.084 0.004 0.0349869 0.0220519 0
0.085 0.004 0.033669 0.0169492 0
0.086 0.004 0.0314869 0.0173791 0
0.087 0.004 0.0326158 0.0159741 0
0.088 0.004 0.0274905 0.0144875 0
0.089 0.004 0.0298692 0.0167007 0
0.09 0.004 0.0367358 0.0186984 0
0.091 0.004 0.0290386 0.0143207 0
0.092 0.004 0.0330285 0.0156182 0
0.093 0.004 0.0329866 0.0151184 0
0.094 0.004 0.0340325 0.0158053 0
0.095 0.004 0.0300663 0.017338 0
0.096 0.004 0.0336672 0.0171877 0
0.097 0.004 0.0265358 0.0149411 0
0.098 0.004 0.0289879 0.0167038 0
0.099 0.006 0.0309744 0.0139123 0
0.1 0.006 0.0309799 0.0188114 0
0.101 0.006 0.0334955 0.018834 0
0.102 0.006 0.0336897 0.0153541 0
0.103 0.006 0.0275164 0.0133461 0
0.104 0.006 0.027333 0.0130113 0
0.105 0.006 0.0333336 0.0188207 0
0.106 0.006 0.0351796 0.0166203 0
0.107 0.006 0.0295264 0.0151893 0
0.108 0.006 0.0324523 0.0154589 0
0.109 0.006 0.0325116 0.0184657 0
0.11 0.006 0.0296785 0.0151642 0
0.111 0.006 0.0319249 0.0169976 0
0.112 0.006 0.0345591 0.0176071 0
0.113 0.006 0.0346311 0.0176968 0
0.114 0.006 0.0378048 0.0199053 0
0.115 0.006 0.0324111 0.0146691 0
0.116 0.006 0.031259 0.0174686 0
0.117 0.006 0.026288 0.0117332 0
0.118 0.006 0.0384454 0.0209401 0
0.119 0.006 0.0270999 0.0143069 0
