# Relevant parameters to reproduce this network:
# node_nr=100	 k_max=500
# initial_seed=10	 delta_t=0.5	 max_steps=100	 in_between=0
# fg_m=1	 fg_alpha=5	 fg_t_min=0	 fg_t_max=2	 fg_t_number=200	 fg_achlioptas_k=4	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=100	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.02 0.0902541 0.0377153 0
0.01 0.03 0.082145 0.0407594 0
0.02 0.03 0.0750415 0.0418629 0
0.03 0.03 0.0875442 0.0335538 0
0.04 0.03 0.0937697 0.0454818 0
0.05 0.03 0.101486 0.0473666 0
0.06 0.03 0.084604 0.0497957 0
0.07 0.05 0.0957998 0.0385062 0
0.08 0.05 0.0949874 0.0362254 0
0.09 0.05 0.0784913 0.0290536 0
0.1 0.05 0.0714974 0.0387501 0
0.11 0.05 0.0991957 0.0359325 0
0.12 0.05 0.0826786 0.042391 0
0.13 0.07 0.0812586 0.034387 0
0.14 0.08 0.0961406 0.0393806 0
0.15 0.08 0.0794181 0.0388541 0
0.16 0.08 0.0960812 0.0595656 0
0.17 0.1 0.121425 0.0456387 0
0.18 0.11 0.107999 0.0711206 0
0.19 0.11 0.0822329 0.0487333 0
0.2 0.11 0.0817376 0.0407634 0
0.21 0.11 0.0966244 0.0437206 0
0.22 0.12 0.0772435 0.0488129 0
0.23 0.12 0.0747233 0.0345069 0
0.24 0.12 0.0945515 0.0591004 0
0.25 0.12 0.0930306 0.0540811 0
0.26 0.13 0.0754235 0.032899 0
0.27 0.13 0.0844325 0.0479616 0
0.28 0.13 0.100393 0.0451547 0
0.29 0.13 0.0808406 0.0465128 0
0.3 0.13 0.0949923 0.0467685 0
0.31 0.14 0.0598462 0.0220221 0
0.32 0.14 0.0946099 0.0638087 0
0.33 0.14 0.0876244 0.0309336 0
0.34 0.14 0.0811381 0.0299924 0
0.35 0.14 0.0830708 0.035728 0
0.36 0.19 0.116424 0.0463053 0
0.37 0.19 0.0803148 0.0320495 0
0.38 0.19 0.119351 0.0604009 0
0.39 0.19 0.122525 0.0528755 0
0.4 0.27 0.082238 0.0409144 0
0.41 0.28 0.0902896 0.0476819 0
0.42 0.3 0.102002 0.0528244 0
0.43 0.31 0.0856105 0.0332825 0
0.44 0.34 0.0932291 0.0250025 0
0.45 0.35 0.0894701 0.0237599 0
0.46 0.35 0.119632 0.0590721 0
0.47 0.35 0.089781 0.0315006 0
0.48 0.36 0.113541 0.0501545 0
0.49 0.39 0.104777 0.0508701 0
0.5 0.39 0.096135 0.0444033 0
0.51 0.39 0.0882849 0.0507841 0
0.52 0.39 0.0937643 0.0482371 0
0.53 0.39 0.0948293 0.0605611 0
0.54 0.39 0.0812283 0.0386806 0
0.55 0.4 0.0877952 0.0372773 0
0.56 0.41 0.0755127 0.0425252 0
0.57 0.41 0.0880633 0.0486584 0
0.58 0.41 0.103182 0.0659066 0
0.59 0.42 0.102945 0.0629196 0
0.6 0.44 0.123095 0.0499055 0
0.61 0.44 0.113211 0.040095 0
0.62 0.45 0.114018 0.0437443 0
0.63 0.55 0.102924 0.0360989 0
0.64 0.55 0.089944 0.0398949 0
0.65 0.56 0.117766 0.0462289 0
0.66 0.58 0.0872417 0.041116 0
0.67 0.58 0.0898169 0.0380435 0
0.68 0.58 0.0891459 0.0407339 0
0.69 0.59 0.0691516 0.0343723 0
0.7 0.6 0.0729841 0.0318073 0
0.71 0.61 0.0920773 0.0442397 0
0.72 0.62 0.0757924 0.0403499 0
0.73 0.62 0.130137 0.0415999 0
0.74 0.63 0.106637 0.0397265 0
0.75 0.63 0.0957204 0.0394982 0
0.76 0.63 0.107012 0.0506327 0
0.77 0.64 0.119652 0.0354924 0
0.78 0.64 0.0810429 0.0234125 0
0.79 0.64 0.110299 0.0414504 0
0.8 0.65 0.0891734 0.0355835 0
0.81 0.66 0.0993083 0.0735379 0
0.82 0.67 0.103962 0.0609393 0
0.83 0.68 0.0646841 0.0309125 0
0.84 0.68 0.0886472 0.0448597 0
0.85 0.68 0.11893 0.0394727 0
0.86 0.68 0.0981257 0.048008 0
0.87 0.69 0.0984792 0.0491741 0
0.88 0.69 0.0653473 0.0378548 0
0.89 0.7 0.104708 0.0409613 0
0.9 0.7 0.127268 0.0626013 0
0.91 0.71 0.096049 0.0495082 0
0.92 0.72 0.105214 0.0359858 0
0.93 0.73 0.0852524 0.0457857 0
0.94 0.73 0.116504 0.054624 0
0.95 0.75 0.10913 0.0565509 0
0.96 0.76 0.0933703 0.0664892 0
0.97 0.76 0.0976295 0.066186 0
0.98 0.76 0.0797231 0.0453669 0
0.99 0.76 0.114769 0.0355033 0
1 0.76 0.0990341 0.0427884 0
1.01 0.76 0.0936045 0.0446639 0
1.02 0.76 0.109684 0.0537027 0
1.03 0.76 0.10825 0.0360246 0
1.04 0.76 0.103524 0.0502119 0
1.05 0.77 0.108649 0.0463629 0
1.06 0.77 0.0685226 0.0293457 0
1.07 0.77 0.0814542 0.0417939 0
1.08 0.78 0.107031 0.0624375 0
1.09 0.8 0.0738625 0.0376187 0
1.1 0.8 0.100839 0.0468716 0
1.11 0.8 0.101062 0.0401556 0
1.12 0.8 0.122991 0.0745656 0
1.13 0.81 0.102506 0.0503117 0
1.14 0.83 0.0935629 0.0366632 0
1.15 0.83 0.0867194 0.0434589 0
1.16 0.83 0.0962713 0.0466174 0
1.17 0.83 0.0828654 0.0421775 0
1.18 0.83 0.110938 0.0448679 0
1.19 0.84 0.102939 0.0409469 0
1.2 0.84 0.0814675 0.0416914 0
1.21 0.84 0.0856408 0.0504988 0
1.22 0.84 0.0911034 0.0607839 0
1.23 0.84 0.0955603 0.0512467 0
1.24 0.84 0.147645 0.0619809 0
1.25 0.84 0.124905 0.0602928 0
1.26 0.85 0.119999 0.0746004 0
1.27 0.85 0.101847 0.0351608 0
1.28 0.85 0.148442 0.0749053 0
1.29 0.85 0.0986325 0.0541403 0
1.3 0.85 0.0954853 0.0315947 0
1.31 0.85 0.0951605 0.0370897 0
1.32 0.85 0.13213 0.043747 0
1.33 0.85 0.132052 0.04802 0
1.34 0.85 0.109584 0.0423068 0
1.35 0.86 0.149576 0.0642254 0
1.36 0.86 0.123447 0.0719775 0
1.37 0.86 0.107941 0.0566704 0
1.38 0.86 0.144701 0.066971 0
1.39 0.86 0.108831 0.0535422 0
1.4 0.87 0.0872524 0.0460233 0
1.41 0.87 0.100512 0.0558792 0
1.42 0.87 0.0911682 0.0371727 0
1.43 0.88 0.0715499 0.0327465 0
1.44 0.88 0.0908491 0.042917 0
1.45 0.88 0.0986254 0.0396114 0
1.46 0.91 0.151506 0.0595343 0
1.47 0.91 0.125064 0.0550181 0
1.48 0.91 0.131465 0.0465563 0
1.49 0.91 0.111659 0.0606849 0
1.5 0.91 0.134591 0.0705479 0
1.51 0.91 0.131099 0.0582243 0
1.52 0.91 0.0966317 0.0319823 0
1.53 0.91 0.128848 0.0640516 0
1.54 0.91 0.171406 0.0760127 0
1.55 0.91 0.127973 0.0830195 0
1.56 0.93 0.135077 0.0522893 0
1.57 0.93 0.146221 0.0629483 0
1.58 0.93 0.127132 0.0754503 0
1.59 0.93 0.0996629 0.0477717 0
1.6 0.93 0.0810775 0.0389868 0
1.61 0.93 0.144477 0.0864978 0
1.62 0.93 0.156174 0.0678165 0
1.63 0.94 0.132677 0.025899 0
1.64 0.94 0.150382 0.0627671 0
1.65 0.94 0.179549 0.0529055 0
1.66 0.94 0.155471 0.0571501 0
1.67 0.94 0.188296 0.0884438 0
1.68 0.94 0.140174 0.0660395 0
1.69 0.94 0.101226 0.0405101 0
1.7 0.94 0.10057 0.0539421 0
1.71 0.94 0.138781 0.0776896 0
1.72 0.94 0.0995834 0.0418758 0
1.73 0.94 0.087483 0.0659544 0
1.74 0.94 0.154239 0.047991 0
1.75 0.94 0.120717 0.0350841 0
1.76 0.94 0.140965 0.0698744 0
1.77 0.94 0.103924 0.0438633 0
1.78 0.94 0.233941 0.0787252 0
1.79 0.94 0.129598 0.0454586 0
1.8 0.94 0.166163 0.0822218 0
1.81 0.94 0.182587 0.0871011 0
1.82 0.94 0.251026 0.140189 0
1.83 0.94 0.174827 0.0731559 0
1.84 0.94 0.161772 0.120636 0
1.85 0.94 0.267193 0.0793583 0
1.86 0.94 0.143713 0.0720125 0
1.87 0.94 0.173412 0.0559546 0
1.88 0.94 0.203425 0.0683921 0
1.89 0.94 0.171358 0.0845398 0
1.9 0.94 0.250636 0.0920032 0
1.91 0.94 0.169889 0.0818708 0
1.92 0.94 0.337882 0.0857852 0
1.93 0.94 0.32062 0.113159 0
1.94 0.94 0.159297 0.0626374 0
1.95 0.94 0.186953 0.0397774 0
1.96 0.94 0.193739 0.100285 0
1.97 0.94 0.324714 0.0865417 0
1.98 0.94 0.20403 0.0853296 0
1.99 0.94 0.404324 0.112996 0
