# Relevant parameters to reproduce this network:
# node_nr=100	 k_max=100
# initial_seed=1557414222	 delta_t=0.1	 max_steps=2500	 in_between=0
# fg_m=1	 fg_alpha=0.5	 fg_t_min=0	 fg_t_max=10	 fg_t_number=1000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=2500	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.02 0.0983457 0.0140806 0
0.01 0.02 0.109005 0.0148149 0
0.02 0.02 0.120333 0.027691 0
0.03 0.02 0.106381 0.017811 0
0.04 0.02 0.124143 0.00768401 0
0.05 0.02 0.124437 0.00644513 0
0.06 0.02 0.122802 0.0146573 0
0.07 0.03 0.133841 0.0340063 0
0.08 0.03 0.134216 0.0405424 0
0.09 0.03 0.124091 0.0376067 0
0.1 0.03 0.132905 0.0485717 0
0.11 0.03 0.132958 0.0482027 0
0.12 0.03 0.141273 0.0381821 0
0.13 0.03 0.151378 0.0424927 0
0.14 0.04 0.146638 0.0384658 0
0.15 0.05 0.152877 0.052059 0
0.16 0.05 0.155741 0.0552059 0
0.17 0.05 0.142374 0.0502571 0
0.18 0.06 0.14627 0.052678 0
0.19 0.07 0.139002 0.0546036 0
0.2 0.07 0.142389 0.0557714 0
0.21 0.07 0.149515 0.066542 0
0.22 0.07 0.146414 0.0663793 0
0.23 0.07 0.134572 0.0615691 0
0.24 0.07 0.130796 0.061489 0
0.25 0.07 0.143292 0.0677393 0
0.26 0.07 0.141238 0.0660091 0
0.27 0.08 0.125482 0.0582889 0
0.28 0.09 0.120456 0.0561675 0
0.29 0.09 0.133174 0.0636573 0
0.3 0.09 0.140591 0.0662581 0
0.31 0.09 0.155615 0.0735452 0
0.32 0.09 0.142926 0.0666223 0
0.33 0.09 0.150557 0.0752427 0
0.34 0.09 0.15578 0.0730945 0
0.35 0.09 0.165921 0.0815393 0
0.36 0.09 0.171695 0.0826991 0
0.37 0.09 0.172078 0.0823014 0
0.38 0.09 0.137743 0.0672902 0
0.39 0.09 0.133512 0.0653126 0
0.4 0.09 0.133478 0.068546 0
0.41 0.09 0.126913 0.061438 0
0.42 0.09 0.129424 0.0629189 0
0.43 0.09 0.133934 0.0648847 0
0.44 0.09 0.133611 0.0654978 0
0.45 0.1 0.134452 0.0666944 0
0.46 0.1 0.13875 0.0728555 0
0.47 0.1 0.133511 0.065679 0
0.48 0.11 0.127321 0.0656956 0
0.49 0.11 0.120902 0.0599207 0
0.5 0.12 0.108972 0.0540369 0
0.51 0.13 0.121208 0.061421 0
0.52 0.13 0.123627 0.0593667 0
0.53 0.13 0.128301 0.0624608 0
0.54 0.14 0.123818 0.0624786 0
0.55 0.14 0.141388 0.0673176 0
0.56 0.14 0.133457 0.0655102 0
0.57 0.14 0.126001 0.0644779 0
0.58 0.14 0.113669 0.0566777 0
0.59 0.14 0.12135 0.0616825 0
0.6 0.15 0.134867 0.0674731 0
0.61 0.16 0.142798 0.0719088 0
0.62 0.16 0.133195 0.0645591 0
0.63 0.16 0.131453 0.0628496 0
0.64 0.17 0.133624 0.0682447 0
0.65 0.32 0.151872 0.074142 0
0.66 0.32 0.152963 0.0767121 0
0.67 0.33 0.143689 0.0721455 0
0.68 0.33 0.146605 0.0760243 0
0.69 0.33 0.159863 0.0759022 0
0.7 0.33 0.162502 0.0833449 0
0.71 0.35 0.168814 0.0818802 0
0.72 0.36 0.157652 0.0767835 0
0.73 0.37 0.162752 0.0781342 0
0.74 0.37 0.153985 0.0736741 0
0.75 0.38 0.151323 0.0754473 0
0.76 0.39 0.158345 0.0790879 0
0.77 0.39 0.152713 0.0735167 0
0.78 0.46 0.139558 0.06929 0
0.79 0.5 0.133255 0.0654552 0
0.8 0.5 0.13062 0.0627642 0
0.81 0.51 0.137998 0.0768589 0
0.82 0.51 0.133116 0.0712626 0
0.83 0.51 0.132714 0.0619463 0
0.84 0.59 0.134124 0.0720529 0
0.85 0.59 0.137927 0.0663447 0
0.86 0.64 0.155805 0.0754841 0
0.87 0.65 0.14073 0.0717625 0
0.88 0.65 0.142752 0.0683411 0
0.89 0.65 0.143491 0.0735969 0
0.9 0.65 0.145398 0.0781651 0
0.91 0.67 0.140761 0.0737688 0
0.92 0.67 0.150557 0.0692785 0
0.93 0.67 0.148498 0.0749226 0
0.94 0.76 0.1509 0.0803037 0
0.95 0.76 0.155552 0.0780122 0
0.96 0.76 0.158205 0.0793803 0
0.97 0.77 0.153852 0.0786782 0
0.98 0.77 0.162961 0.0843478 0
0.99 0.77 0.161768 0.0833999 0
1 0.79 0.16389 0.0810851 0
1.01 0.9 0.167664 0.0880801 0
1.02 0.91 0.170196 0.0819851 0
1.03 0.95 0.154358 0.0791892 0
1.04 0.95 0.148451 0.0712219 0
1.05 0.95 0.139674 0.0707054 0
1.06 0.95 0.155933 0.0793773 0
1.07 0.96 0.157375 0.0779614 0
1.08 0.96 0.154073 0.0786491 0
1.09 0.96 0.151837 0.0786949 0
1.1 0.96 0.1523 0.0788704 0
1.11 0.96 0.158719 0.0796815 0
1.12 0.96 0.164281 0.0815279 0
1.13 0.96 0.165711 0.0865356 0
1.14 1 0.155994 0.0788672 0
1.15 1 0.166139 0.0828232 0
1.16 1 0.16248 0.0775635 0
1.17 1 0.156868 0.0836518 0
1.18 1 0.158729 0.0784162 0
1.19 1 0.195132 0.0872449 0
1.2 1 0.204649 0.0964853 0
1.21 1 0.1873 0.0891257 0
1.22 1 0.190853 0.0909839 0
1.23 1 0.195146 0.0866593 0
1.24 1 0.173145 0.0847097 0
1.25 1 0.165298 0.0833042 0
1.26 1 0.163744 0.0868174 0
1.27 1 0.168232 0.0825008 0
1.28 1 0.174575 0.0910704 0
1.29 1 0.16743 0.0828027 0
1.3 1 0.164536 0.087971 0
1.31 1 0.151218 0.0871304 0
1.32 1 0.179332 0.0833245 0
1.33 1 0.201402 0.0902846 0
1.34 1 0.204251 0.0873645 0
1.35 1 0.180167 0.0850562 0
1.36 1 0.192691 0.0912748 0
1.37 1 0.168311 0.0805747 0
1.38 1 0.175208 0.088878 0
1.39 1 0.171936 0.0869908 0
1.4 1 0.163262 0.0823626 0
1.41 1 0.16185 0.0859231 0
1.42 1 0.171215 0.0869078 0
1.43 1 0.167133 0.0897913 0
1.44 1 0.166813 0.0901597 0
1.45 1 0.169654 0.0878596 0
1.46 1 0.152555 0.0832887 0
1.47 1 0.175465 0.0871862 0
1.48 1 0.193605 0.0936904 0
1.49 1 0.184131 0.0834032 0
1.5 1 0.185096 0.0922558 0
1.51 1 0.205889 0.0929107 0
1.52 1 0.20201 0.0907458 0
1.53 1 0.207446 0.0921489 0
1.54 1 0.222872 0.0897754 0
1.55 1 0.231589 0.0921354 0
1.56 1 0.231475 0.0919469 0
1.57 1 0.236379 0.0879076 0
1.58 1 0.23006 0.0939903 0
1.59 1 0.23256 0.0861003 0
1.6 1 0.236
