# Relevant parameters to reproduce this network:
# node_nr=100	 k_max=100
# initial_seed=314159265	 delta_t=0.01	 max_steps=5000	 in_between=10
# fg_m=1	 fg_alpha=0	 fg_t_min=0	 fg_t_max=1.25	 fg_t_number=125	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=5000	 fg_weff_in_between=10
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.02 0.0918564 0.0458747 0
0.01 0.02 0.0918049 0.0483939 0
0.02 0.02 0.0933756 0.0506429 0
0.03 0.02 0.0907151 0.0496913 0
0.04 0.02 0.0896518 0.044787 0
0.05 0.03 0.0906032 0.0489739 0
0.06 0.03 0.106468 0.0489609 0
0.07 0.03 0.0824849 0.0415216 0
0.08 0.03 0.0965782 0.0464596 0
0.09 0.03 0.10345 0.0492393 0
0.1 0.03 0.0966493 0.0506821 0
0.11 0.03 0.0988707 0.0571755 0
0.12 0.03 0.0963952 0.050764 0
0.13 0.03 0.0978906 0.0474725 0
0.14 0.03 0.110106 0.0516777 0
0.15 0.03 0.104228 0.0565006 0
0.16 0.03 0.10499 0.0458553 0
0.17 0.04 0.108879 0.0592405 0
0.18 0.04 0.102017 0.0539191 0
0.19 0.05 0.108064 0.0556779 0
0.2 0.05 0.11257 0.0549881 0
0.21 0.05 0.127339 0.0573474 0
0.22 0.05 0.110573 0.0526976 0
0.23 0.05 0.117864 0.0637146 0
0.24 0.05 0.118375 0.0620981 0
0.25 0.05 0.125333 0.0663428 0
0.26 0.05 0.121992 0.0568246 0
0.27 0.06 0.124341 0.0611958 0
0.28 0.07 0.131748 0.0684089 0
0.29 0.07 0.121632 0.0678624 0
0.3 0.07 0.12644 0.0690576 0
0.31 0.07 0.134097 0.0676304 0
0.32 0.07 0.138716 0.0664361 0
0.33 0.07 0.14206 0.0693981 0
0.34 0.08 0.139003 0.0733748 0
0.35 0.08 0.144348 0.0681234 0
0.36 0.08 0.126472 0.0633139 0
0.37 0.08 0.144304 0.0717901 0
0.38 0.08 0.142106 0.0814243 0
0.39 0.08 0.126954 0.0659195 0
0.4 0.09 0.151615 0.0670645 0
0.41 0.09 0.148733 0.0656255 0
0.42 0.13 0.168109 0.0668119 0
0.43 0.13 0.165083 0.0867323 0
0.44 0.13 0.182927 0.0901483 0
0.45 0.13 0.202459 0.0966558 0
0.46 0.13 0.18617 0.0913757 0
0.47 0.13 0.194841 0.102453 0
0.48 0.14 0.201959 0.095922 0
0.49 0.15 0.203739 0.104102 0
0.5 0.15 0.222242 0.103216 0
0.51 0.16 0.200448 0.111264 0
0.52 0.16 0.189648 0.110793 0
0.53 0.17 0.215344 0.10732 0
0.54 0.17 0.234026 0.114827 0
0.55 0.17 0.241654 0.123917 0
0.56 0.17 0.242116 0.0903661 0
0.57 0.17 0.223867 0.130561 0
0.58 0.17 0.232507 0.114991 0
0.59 0.27 0.21424 0.101638 0
0.6 0.27 0.196464 0.0998696 0
0.61 0.33 0.24317 0.135008 0
0.62 0.33 0.238872 0.119202 0
0.63 0.35 0.226502 0.102515 0
0.64 0.36 0.209569 0.0967291 0
0.65 0.36 0.230231 0.111651 0
0.66 0.55 0.179348 0.0903145 0
0.67 0.55 0.129592 0.0543551 0
0.68 0.56 0.0878555 0.050388 0
0.69 0.56 0.0950285 0.0482925 0
0.7 0.56 0.219302 0.0714075 0
0.71 0.56 0.260416 0.0635647 0
0.72 0.58 0.301358 0.05829 0
