# Relevant parameters to reproduce this network:
# node_nr=100	 k_max=100
# initial_seed=314159265	 delta_t=0.001	 max_steps=1000	 in_between=100
# fg_m=1	 fg_alpha=0	 fg_t_min=0	 fg_t_max=1.25	 fg_t_number=125	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=100
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.02 0.0837479 0.0413328 0
0.01 0.02 0.0880898 0.0439465 0
0.02 0.02 0.0945657 0.0564311 0
0.03 0.02 0.0979895 0.0469263 0
0.04 0.02 0.113635 0.0472266 0
0.05 0.03 0.0985858 0.0570898 0
0.06 0.03 0.0873835 0.0488523 0
0.07 0.03 0.0756772 0.0308175 0
0.08 0.03 0.0943822 0.0429676 0
0.09 0.03 0.0994203 0.0511155 0
0.1 0.03 0.0819927 0.0485798 0
0.11 0.03 0.108458 0.0558462 0
0.12 0.03 0.120451 0.062839 0
0.13 0.03 0.133125 0.0495588 0
0.14 0.03 0.100722 0.0491173 0
0.15 0.03 0.107851 0.0498211 0
0.16 0.03 0.110786 0.053131 0
0.17 0.04 0.0988197 0.0416906 0
0.18 0.04 0.126626 0.0616182 0
0.19 0.05 0.092251 0.0430893 0
0.2 0.05 0.123766 0.0565538 0
0.21 0.05 0.123246 0.0546412 0
0.22 0.05 0.116058 0.0601283 0
0.23 0.05 0.133961 0.0629893 0
0.24 0.05 0.15481 0.0571152 0
0.25 0.05 0.0960102 0.0527311 0
0.26 0.05 0.121393 0.0553518 0
0.27 0.06 0.124441 0.0422872 0
0.28 0.07 0.109586 0.0454842 0
0.29 0.07 0.12764 0.0538745 0
0.3 0.07 0.0993987 0.0517713 0
0.31 0.07 0.123962 0.0519941 0
0.32 0.07 0.136301 0.0599004 0
0.33 0.07 0.128805 0.0573959 0
0.34 0.08 0.12719 0.0657039 0
0.35 0.08 0.127278 0.0688419 0
0.36 0.08 0.1667 0.100081 0
0.37 0.08 0.135015 0.0467395 0
0.38 0.08 0.134459 0.0578416 0
0.39 0.08 0.142502 0.0867966 0
0.4 0.09 0.133761 0.0756314 0
0.41 0.09 0.136457 0.0547316 0
0.42 0.13 0.14698 0.0728585 0
0.43 0.13 0.157974 0.0642982 0
0.44 0.13 0.151316 0.0645777 0
0.45 0.13 0.155047 0.0822186 0
0.46 0.13 0.169238 0.100821 0
0.47 0.13 0.202656 0.116948 0
0.48 0.14 0.194224 0.0674965 0
0.49 0.15 0.250766 0.0801258 0
0.5 0.15 0.217483 0.0861551 0
0.51 0.16 0.182138 0.0846186 0
0.52 0.16 0.202708 0.0824645 0
0.53 0.17 0.213802 0.0867856 0
0.54 0.17 0.198295 0.0783146 0
0.55 0.17 0.20612 0.11124 0
0.56 0.17 0.231064 0.0957744 0
0.57 0.17 0.231889 0.0998911 0
0.58 0.17 0.227906 0.091727 0
0.59 0.27 0.253257 0.0914485 0
0.6 0.27 0.218895 0.123249 0
0.61 0.33 0.219259 0.133006 0
0.62 0.33 0.258442 0.111422 0
0.63 0.35 0.222459 0.0799911 0
0.64 0.36 0.211038 0.116566 0
0.65 0.36 0.237439 0.085807 0
0.66 0.55 0.282568 0.104561 0
