# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1500	 in_between=0
# fg_m=1	 fg_alpha=-1	 fg_t_min=0	 fg_t_max=4	 fg_t_number=8000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1500	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0183397 0.00907946 0
0.0005 0.001 0.0197371 0.0113275 0
0.001 0.001 0.0192947 0.0129381 0
0.0015 0.001 0.0209504 0.010642 0
0.002 0.001 0.0187797 0.0112451 0
0.0025 0.001 0.0184748 0.0102339 0
0.003 0.001 0.0211426 0.0108942 0
0.0035 0.001 0.0203829 0.0113073 0
0.004 0.001 0.0212307 0.013205 0
0.0045 0.001 0.0206235 0.0118118 0
0.005 0.001 0.0191428 0.0100032 0
0.0055 0.001 0.0218287 0.0106436 0
0.006 0.001 0.0192138 0.00881892 0
0.0065 0.001 0.0215687 0.0101662 0
0.007 0.001 0.0192663 0.0129995 0
0.0075 0.001 0.0194129 0.00988428 0
0.008 0.001 0.0194757 0.00928076 0
0.0085 0.001 0.0203193 0.0114631 0
0.009 0.001 0.0136621 0.00834793 0
0.0095 0.001 0.0247759 0.0114534 0
0.01 0.001 0.01879 0.0108432 0
0.0105 0.001 0.0188168 0.00929585 0
0.011 0.001 0.0223179 0.0113827 0
0.0115 0.001 0.017793 0.0091401 0
0.012 0.001 0.0205414 0.00991913 0
0.0125 0.001 0.0171234 0.0103076 0
0.013 0.001 0.0200566 0.00899258 0
0.0135 0.001 0.0209845 0.009577 0
0.014 0.001 0.0189545 0.0105805 0
0.0145 0.002 0.0186605 0.00935715 0
0.015 0.002 0.0188943 0.00866009 0
0.0155 0.002 0.0220018 0.0101255 0
0.016 0.002 0.0194811 0.00865547 0
0.0165 0.002 0.0198399 0.0119202 0
0.017 0.002 0.0194182 0.0108422 0
0.0175 0.002 0.0182405 0.0102193 0
0.018 0.002 0.0191968 0.00980565 0
0.0185 0.002 0.0170741 0.00901993 0
0.019 0.002 0.0193859 0.0102186 0
0.0195 0.002 0.0186862 0.00923089 0
0.02 0.002 0.021848 0.011365 0
0.0205 0.002 0.0191493 0.00805369 0
0.021 0.002 0.0202318 0.00866324 0
0.0215 0.002 0.0205514 0.0093505 0
0.022 0.002 0.019467 0.00940825 0
0.0225 0.002 0.01329 0.00772243 0
0.023 0.002 0.0206168 0.010523 0
0.0235 0.002 0.0193445 0.00944947 0
0.024 0.002 0.0186147 0.0101702 0
0.0245 0.002 0.0173301 0.0103384 0
0.025 0.002 0.0182381 0.00966203 0
0.0255 0.002 0.0227601 0.0104682 0
0.026 0.002 0.0188492 0.0109934 0
0.0265 0.002 0.0203589 0.0101242 0
0.027 0.002 0.0219937 0.010193 0
0.0275 0.002 0.0210915 0.00973142 0
0.028 0.002 0.0202408 0.00849497 0
0.0285 0.002 0.0215956 0.00982532 0
0.029 0.002 0.0205931 0.00973774 0
0.0295 0.002 0.0212958 0.00993748 0
0.03 0.002 0.0212249 0.0123609 0
0.0305 0.002 0.0208376 0.00860372 0
0.031 0.002 0.0234258 0.0136326 0
0.0315 0.002 0.0198931 0.00899252 0
0.032 0.002 0.0192811 0.0104523 0
0.0325 0.002 0.0177548 0.00625971 0
0.033 0.002 0.0211982 0.0101167 0
0.0335 0.002 0.0191887 0.0115123 0
0.034 0.002 0.0168279 0.00869534 0
0.0345 0.002 0.0219597 0.0106274 0
0.035 0.002 0.025122 0.0145461 0
0.0355 0.002 0.0207111 0.00865614 0
0.036 0.002 0.0200746 0.00970775 0
0.0365 0.002 0.0222852 0.0121721 0
0.037 0.002 0.0154236 0.0083818 0
0.0375 0.002 0.0192242 0.0120106 0
0.038 0.002 0.0233781 0.00887469 0
0.0385 0.002 0.020885 0.0102987 0
0.039 0.002 0.0177849 0.010228 0
0.0395 0.002 0.0234525 0.0129117 0
0.04 0.002 0.0194197 0.00980165 0
0.0405 0.002 0.0261512 0.0123354 0
0.041 0.002 0.0213073 0.00981185 0
0.0415 0.002 0.0212649 0.00921369 0
0.042 0.002 0.0176583 0.0102772 0
0.0425 0.002 0.0212116 0.010507 0
0.043 0.002 0.0251296 0.011364 0
0.0435 0.002 0.0204559 0.0104257 0
0.044 0.002 0.020991 0.0117311 0
0.0445 0.002 0.0214956 0.0117432 0
0.045 0.002 0.0186695 0.00986429 0
0.0455 0.002 0.0182428 0.00929037 0
0.046 0.002 0.0221933 0.00944889 0
0.0465 0.002 0.0193285 0.0090691 0
0.047 0.002 0.0211639 0.0116227 0
0.0475 0.002 0.0191165 0.0110064 0
0.048 0.002 0.0192332 0.00833 0
0.0485 0.002 0.0172668 0.00889707 0
0.049 0.002 0.0182067 0.00923481 0
0.0495 0.002 0.0206324 0.0116886 0
0.05 0.002 0.0181528 0.0104708 0
0.0505 0.002 0.0191506 0.00958346 0
0.051 0.002 0.0222403 0.0112505 0
0.0515 0.002 0.0200042 0.00917965 0
0.052 0.002 0.0195614 0.0107402 0
0.0525 0.002 0.0192594 0.0101309 0
0.053 0.002 0.0257331 0.0132816 0
0.0535 0.002 0.0162752 0.00803552 0
0.054 0.002 0.0185807 0.0104869 0
0.0545 0.002 0.0197277 0.0111234 0
0.055 0.002 0.023279 0.0118165 0
0.0555 0.002 0.0191741 0.00905977 0
0.056 0.002 0.0177995 0.0103616 0
0.0565 0.002 0.0202231 0.0100512 0
0.057 0.002 0.0191796 0.00934537 0
0.0575 0.002 0.0234836 0.0103197 0
0.058 0.002 0.0192608 0.00791232 0
0.0585 0.002 0.0194469 0.00859463 0
0.059 0.002 0.0198089 0.00983787 0
0.0595 0.002 0.0200952 0.0103486 0
0.06 0.002 0.0221122 0.0116034 0
0.0605 0.002 0.021944 0.010336 0
0.061 0.002 0.0185975 0.00959522 0
0.0615 0.002 0.0198204 0.011555 0
0.062 0.002 0.0175135 0.00935975 0
