# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1500	 in_between=0
# fg_m=1	 fg_alpha=-20	 fg_t_min=0	 fg_t_max=2	 fg_t_number=4000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1500	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0183397 0.00907946 0
0.0005 0.001 0.0196979 0.0111727 0
0.001 0.001 0.0194637 0.0131618 0
0.0015 0.001 0.0205638 0.0105445 0
0.002 0.001 0.0188082 0.0105464 0
0.0025 0.001 0.0185744 0.0103454 0
0.003 0.001 0.0215665 0.01148 0
0.0035 0.001 0.0209854 0.0111295 0
0.004 0.001 0.0214318 0.0127753 0
0.0045 0.001 0.0219963 0.0126122 0
0.005 0.001 0.0194772 0.0108243 0
0.0055 0.001 0.0212492 0.010325 0
0.006 0.001 0.0182398 0.00845612 0
0.0065 0.001 0.0220046 0.0101476 0
0.007 0.0015 0.0185067 0.0133157 0
0.0075 0.0015 0.0195661 0.00997891 0
0.008 0.0015 0.01937 0.00887148 0
0.0085 0.0015 0.0209894 0.0112564 0
0.009 0.0015 0.0137921 0.00820852 0
0.0095 0.0015 0.0257103 0.0115673 0
0.01 0.0015 0.019423 0.0109508 0
0.0105 0.0015 0.0183102 0.00878734 0
0.011 0.0015 0.0219067 0.0118141 0
0.0115 0.0015 0.0165991 0.00788419 0
0.012 0.0015 0.0195033 0.00923778 0
0.0125 0.0015 0.0180744 0.0109258 0
0.013 0.0015 0.0204678 0.0109722 0
0.0135 0.0015 0.019536 0.00983132 0
0.014 0.0015 0.0184772 0.0100608 0
0.0145 0.0015 0.0192643 0.00839479 0
0.015 0.0015 0.0183886 0.00861326 0
0.0155 0.0015 0.0221337 0.0109252 0
0.016 0.0015 0.0202639 0.0107345 0
0.0165 0.0015 0.0182671 0.0103016 0
0.017 0.0015 0.0192394 0.0111804 0
0.0175 0.0015 0.0195002 0.0101661 0
0.018 0.0015 0.0213784 0.0119271 0
0.0185 0.0015 0.0181658 0.00934348 0
0.019 0.0015 0.0208467 0.0108704 0
0.0195 0.0015 0.0209106 0.00854363 0
0.02 0.002 0.0202281 0.0119566 0
0.0205 0.002 0.0185353 0.00861063 0
0.021 0.002 0.0192052 0.0088652 0
0.0215 0.002 0.0208222 0.0106834 0
0.022 0.002 0.019702 0.0102562 0
0.0225 0.002 0.0157308 0.008551 0
0.023 0.002 0.0199552 0.00981672 0
0.0235 0.002 0.0224712 0.0117439 0
0.024 0.002 0.0201616 0.00806116 0
0.0245 0.002 0.0165538 0.00847853 0
0.025 0.0025 0.0175117 0.00895597 0
0.0255 0.0025 0.0222594 0.00942717 0
0.026 0.0025 0.0180757 0.00857224 0
0.0265 0.0025 0.0201984 0.0108582 0
0.027 0.0025 0.0232669 0.0108243 0
0.0275 0.0025 0.0236817 0.0120084 0
0.028 0.0025 0.0189476 0.00925992 0
0.0285 0.0025 0.0216475 0.011494 0
0.029 0.0025 0.020202 0.00914198 0
