# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1500	 in_between=0
# fg_m=1	 fg_alpha=20	 fg_t_min=0	 fg_t_max=2.5	 fg_t_number=5000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1500	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0183397 0.00907946 0
0.0005 0.001 0.0197019 0.0113675 0
0.001 0.001 0.019195 0.0130421 0
0.0015 0.001 0.0204841 0.0102926 0
0.002 0.001 0.019175 0.0110184 0
0.0025 0.001 0.0183956 0.0105347 0
0.003 0.001 0.022069 0.0115576 0
0.0035 0.001 0.0208213 0.0111642 0
0.004 0.001 0.0212564 0.0127816 0
0.0045 0.001 0.0218592 0.012099 0
0.005 0.001 0.0197269 0.010446 0
0.0055 0.001 0.0220263 0.00984042 0
0.006 0.001 0.018211 0.00799172 0
0.0065 0.001 0.0219368 0.0104732 0
0.007 0.0015 0.0182212 0.0124776 0
0.0075 0.0015 0.0184121 0.00987456 0
0.008 0.0015 0.0200754 0.00898835 0
0.0085 0.0015 0.0200763 0.0117351 0
0.009 0.0015 0.0137862 0.00871676 0
0.0095 0.0015 0.0263336 0.0121769 0
0.01 0.0015 0.0177897 0.010545 0
0.0105 0.0015 0.0179258 0.00967563 0
0.011 0.002 0.021817 0.011032 0
0.0115 0.002 0.0173733 0.00851399 0
0.012 0.002 0.0206431 0.0103828 0
0.0125 0.002 0.0174859 0.0104273 0
0.013 0.002 0.0183899 0.00872721 0
0.0135 0.002 0.0204373 0.00912406 0
0.014 0.002 0.018639 0.0106069 0
0.0145 0.002 0.0190183 0.00995502 0
0.015 0.002 0.0170306 0.00788879 0
0.0155 0.002 0.0216394 0.0115062 0
0.016 0.002 0.0194904 0.00977454 0
0.0165 0.002 0.0188153 0.0116964 0
0.017 0.002 0.0187372 0.0108292 0
0.0175 0.002 0.0193251 0.0103361 0
0.018 0.002 0.0209168 0.0103685 0
0.0185 0.002 0.0168742 0.00827284 0
0.019 0.002 0.0213359 0.0120239 0
0.0195 0.002 0.0189143 0.00952274 0
0.02 0.002 0.0208199 0.0112374 0
0.0205 0.002 0.0184999 0.00706907 0
0.021 0.002 0.0188483 0.00808874 0
