# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=200	 in_between=0
# fg_m=1	 fg_alpha=5	 fg_t_min=0	 fg_t_max=25	 fg_t_number=50000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=200	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0192877 0.0113061 0
0.0005 0.001 0.0129311 0.00441486 0
0.001 0.001 0.0116559 0.00761896 0
0.0015 0.001 0.0192933 0.00877248 0
0.002 0.001 0.0165894 0.00724196 0
0.0025 0.001 0.0205415 0.008688 0
0.003 0.001 0.025938 0.00631211 0
0.0035 0.001 0.0196344 0.011212 0
0.004 0.001 0.0243832 0.0108878 0
0.0045 0.001 0.0202073 0.0133093 0
0.005 0.001 0.0242479 0.0158745 0
0.0055 0.001 0.016286 0.00959857 0
0.006 0.001 0.018335 0.00503129 0
0.0065 0.001 0.0161922 0.00553131 0
0.007 0.001 0.0189478 0.00955911 0
0.0075 0.001 0.0196866 0.0169356 0
0.008 0.001 0.0177761 0.0083142 0
0.0085 0.001 0.0276418 0.0151742 0
0.009 0.001 0.012952 0.00137443 0
0.0095 0.001 0.0148278 0.00955604 0
0.01 0.001 0.013967 0.00457756 0
0.0105 0.001 0.0228306 0.0104941 0
0.011 0.0015 0.0290403 0.0123336 0
0.0115 0.0015 0.0306882 0.00927768 0
0.012 0.0015 0.0180938 0.00983971 0
0.0125 0.0015 0.0179163 0.00660114 0
0.013 0.0015 0.0211815 0.00890523 0
0.0135 0.0015 0.0239753 0.00824481 0
0.014 0.0015 0.00945724 0.00313094 0
0.0145 0.0025 0.0260546 0.0125623 0
0.015 0.0025 0.0151307 0.00809705 0
0.0155 0.0025 0.0174695 0.00936211 0
0.016 0.0025 0.0184661 0.012932 0
0.0165 0.0025 0.0255441 0.00873804 0
0.017 0.0025 0.023465 0.0103478 0
0.0175 0.0025 0.0142727 0.00870137 0
0.018 0.0025 0.0181079 0.0137059 0
0.0185 0.0025 0.0183231 0.00983949 0
0.019 0.0025 0.0233684 0.0133837 0
0.0195 0.0025 0.0147378 0.0112023 0
0.02 0.0025 0.0125061 0.00445538 0
0.0205 0.0025 0.0250584 0.00951222 0
0.021 0.0025 0.0135543 0.00884242 0
0.0215 0.0025 0.0162859 0.00568197 0
0.022 0.0025 0.0150653 0.00692453 0
0.0225 0.0025 0.0199943 0.00850857 0
0.023 0.0025 0.0209817 0.00995315 0
0.0235 0.0025 0.0243584 0.0129587 0
0.024 0.0025 0.0188973 0.0133311 0
0.0245 0.0025 0.0226758 0.00724723 0
0.025 0.0025 0.018249 0.00880988 0
