# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1500	 in_between=0
# fg_m=1	 fg_alpha=5	 fg_t_min=0	 fg_t_max=4	 fg_t_number=8000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1500	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0183397 0.00907946 0
0.0005 0.001 0.0196881 0.0113121 0
0.001 0.001 0.0190895 0.0129528 0
0.0015 0.001 0.0205966 0.0108022 0
0.002 0.001 0.0184461 0.0112235 0
0.0025 0.001 0.0185288 0.0101505 0
0.003 0.001 0.0214677 0.0107811 0
0.0035 0.001 0.0211143 0.0113561 0
0.004 0.001 0.0203076 0.0119852 0
0.0045 0.001 0.0215351 0.012037 0
0.005 0.001 0.0196844 0.00957806 0
0.0055 0.001 0.0210245 0.0105016 0
0.006 0.001 0.0184141 0.0082463 0
0.0065 0.001 0.0226194 0.0100372 0
0.007 0.001 0.0174184 0.0119847 0
0.0075 0.001 0.019064 0.00986854 0
0.008 0.001 0.0188719 0.00934643 0
0.0085 0.001 0.0204928 0.0111568 0
0.009 0.001 0.0144266 0.00883989 0
0.0095 0.001 0.0267548 0.0118316 0
0.01 0.001 0.0182018 0.010857 0
0.0105 0.001 0.0190249 0.00980856 0
0.011 0.001 0.0215224 0.011126 0
0.0115 0.001 0.0178842 0.00709697 0
0.012 0.001 0.0203156 0.0094154 0
0.0125 0.001 0.0175212 0.00928238 0
0.013 0.001 0.0202957 0.00934258 0
0.0135 0.001 0.021682 0.00925013 0
0.014 0.001 0.0206034 0.0105727 0
0.0145 0.001 0.0209098 0.00984434 0
0.015 0.001 0.0177919 0.00828959 0
0.0155 0.001 0.0215424 0.0109981 0
0.016 0.001 0.0201011 0.0103005 0
0.0165 0.001 0.0183771 0.00978238 0
0.017 0.001 0.0191139 0.0118188 0
0.0175 0.001 0.0200923 0.0114795 0
0.018 0.001 0.0214717 0.0101822 0
