# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=-5	 fg_t_min=0	 fg_t_max=1.5	 fg_t_number=3000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0159512 0.00879109 0
0.0005 0.001 0.0222076 0.0104176 0
0.001 0.001 0.0187975 0.0105805 0
0.0015 0.001 0.0182131 0.012582 0
0.002 0.001 0.0237138 0.0128694 0
0.0025 0.001 0.0178058 0.00992566 0
0.003 0.001 0.0189259 0.0111373 0
0.0035 0.001 0.0197629 0.0116676 0
0.004 0.001 0.016475 0.00923574 0
0.0045 0.001 0.0217907 0.0116779 0
0.005 0.001 0.0218692 0.0118014 0
0.0055 0.001 0.0218235 0.0106188 0
0.006 0.001 0.0188968 0.0114417 0
0.0065 0.001 0.0210188 0.0103474 0
0.007 0.001 0.0230168 0.0138146 0
0.0075 0.001 0.0183961 0.00893 0
0.008 0.001 0.0229117 0.00993298 0
0.0085 0.001 0.022124 0.00968252 0
0.009 0.001 0.0206375 0.00873119 0
0.0095 0.001 0.0174738 0.0083103 0
0.01 0.001 0.0209682 0.00967703 0
0.0105 0.001 0.0206431 0.0129035 0
0.011 0.001 0.0173966 0.0104508 0
0.0115 0.001 0.0182584 0.00960869 0
0.012 0.0015 0.0182838 0.00687014 0
0.0125 0.0015 0.0212752 0.0112737 0
0.013 0.0015 0.0222146 0.0110212 0
0.0135 0.0015 0.0146812 0.00853045 0
0.014 0.0015 0.0182574 0.0124284 0
0.0145 0.0015 0.0252235 0.0116187 0
0.015 0.0015 0.0182641 0.00853135 0
0.0155 0.0015 0.0191077 0.0111979 0
0.016 0.0015 0.0168781 0.0100453 0
0.0165 0.0015 0.0206318 0.0120559 0
0.017 0.0015 0.0212163 0.00998834 0
0.0175 0.0015 0.0205935 0.00826695 0
0.018 0.0015 0.0219042 0.00923373 0
0.0185 0.0015 0.0202047 0.0101536 0
0.019 0.0015 0.0188328 0.0101598 0
0.0195 0.0015 0.0184813 0.0090265 0
0.02 0.0015 0.0202002 0.00651314 0
0.0205 0.0015 0.018173 0.0119999 0
0.021 0.0015 0.0177205 0.0114033 0
0.0215 0.0015 0.0164515 0.00887603 0
0.022 0.0015 0.0234857 0.0120125 0
0.0225 0.0015 0.0195863 0.00969612 0
0.023 0.0015 0.0216271 0.0123892 0
0.0235 0.0015 0.0213161 0.0105463 0
0.024 0.0015 0.0204231 0.00912029 0
0.0245 0.0015 0.020956 0.0103721 0
0.025 0.0015 0.0181004 0.0114466 0
0.0255 0.0015 0.0212439 0.0121497 0
0.026 0.0015 0.0187126 0.0115707 0
0.0265 0.0015 0.0208179 0.0111481 0
0.027 0.0015 0.0206204 0.00988398 0
0.0275 0.0015 0.0200246 0.0064783 0
0.028 0.0015 0.0173262 0.0108789 0
0.0285 0.0015 0.0210825 0.0104792 0
0.029 0.0015 0.018092 0.00912356 0
0.0295 0.0015 0.0221469 0.00927654 0
0.03 0.0015 0.0232544 0.00950468 0
0.0305 0.0015 0.017551 0.0084118 0
0.031 0.0015 0.0194128 0.00919615 0
0.0315 0.0015 0.0198238 0.00704776 0
0.032 0.0015 0.0215038 0.009111 0
0.0325 0.0015 0.0216235 0.00918901 0
0.033 0.0015 0.0211689 0.0105831 0
0.0335 0.0015 0.0172018 0.00702808 0
0.034 0.0015 0.0132649 0.00511596 0
0.0345 0.0015 0.0209208 0.0110159 0
0.035 0.0015 0.0203583 0.0107109 0
0.0355 0.0015 0.0203286 0.0107668 0
0.036 0.0015 0.0194747 0.00878916 0
0.0365 0.0015 0.0190725 0.00712993 0
0.037 0.0015 0.0158277 0.00785934 0
0.0375 0.0015 0.0195736 0.0114374 0
0.038 0.0015 0.0220839 0.0100073 0
0.0385 0.0015 0.0216648 0.00941687 0
0.039 0.0015 0.0172954 0.0104828 0
0.0395 0.0015 0.0197203 0.0105024 0
0.04 0.0015 0.0229624 0.00998419 0
0.0405 0.0015 0.0170173 0.00930461 0
0.041 0.0015 0.0217166 0.0104275 0
0.0415 0.0015 0.0256105 0.0114605 0
0.042 0.0015 0.0197595 0.0107427 0
0.0425 0.0015 0.0200727 0.00977251 0
0.043 0.0015 0.0209505 0.010002 0
0.0435 0.0015 0.0237978 0.0116415 0
0.044 0.0015 0.0211178 0.0120048 0
0.0445 0.0015 0.0220896 0.0100486 0
0.045 0.0015 0.0233063 0.0125836 0
0.0455 0.0015 0.0196227 0.00994921 0
0.046 0.0015 0.0189446 0.00873454 0
0.0465 0.0015 0.0196534 0.00847269 0
0.047 0.0015 0.0277035 0.0119468 0
