# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=500
# initial_seed=1557414222	 delta_t=1	 max_steps=500	 in_between=0
# fg_m=1	 fg_alpha=10	 fg_t_min=0	 fg_t_max=3	 fg_t_number=6000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=500	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.016731 0.00793726 0
0.0005 0.001 0.0159342 0.00878681 0
0.001 0.001 0.0261293 0.012178 0
0.0015 0.001 0.019766 0.010457 0
0.002 0.001 0.0188648 0.0101756 0
0.0025 0.001 0.0175268 0.00860254 0
0.003 0.001 0.0214991 0.0101524 0
0.0035 0.001 0.0156305 0.00876897 0
0.004 0.001 0.0194172 0.0102672 0
0.0045 0.001 0.0237705 0.0119648 0
0.005 0.001 0.0179257 0.00859554 0
0.0055 0.001 0.0223498 0.0108383 0
0.006 0.001 0.0171886 0.00944819 0
0.0065 0.001 0.0188366 0.00803911 0
0.007 0.001 0.0204256 0.00986926 0
0.0075 0.001 0.018699 0.00816541 0
0.008 0.001 0.0214937 0.00764757 0
0.0085 0.0015 0.0201324 0.011111 0
0.009 0.0015 0.0241114 0.0114482 0
0.0095 0.0015 0.0144167 0.00666395 0
0.01 0.0015 0.0163697 0.00650058 0
0.0105 0.0015 0.0218067 0.0114133 0
0.011 0.0015 0.0182719 0.00827371 0
0.0115 0.0015 0.0196773 0.0104059 0
0.012 0.0015 0.0180239 0.0088657 0
0.0125 0.0015 0.0178348 0.00942532 0
0.013 0.0015 0.0155345 0.0100275 0
0.0135 0.0015 0.0186394 0.00949727 0
0.014 0.0015 0.0188994 0.00962494 0
0.0145 0.0015 0.0214991 0.0128732 0
0.015 0.0015 0.0201368 0.0116127 0
0.0155 0.0015 0.0198142 0.00794941 0
0.016 0.0015 0.0157134 0.0084407 0
0.0165 0.0015 0.0192561 0.0128562 0
0.017 0.0015 0.02472 0.0123313 0
0.0175 0.0015 0.0170885 0.00974372 0
0.018 0.0015 0.0212969 0.0102221 0
0.0185 0.0015 0.0198662 0.0124812 0
0.019 0.0015 0.0195363 0.0126336 0
0.0195 0.0015 0.0200645 0.00884617 0
0.02 0.0015 0.0223681 0.00825192 0
0.0205 0.0015 0.0170748 0.00930932 0
0.021 0.0015 0.0164131 0.00745931 0
0.0215 0.0015 0.021587 0.0111982 0
0.022 0.0015 0.0205459 0.0101833 0
0.0225 0.0015 0.0247174 0.0107185 0
0.023 0.0015 0.0177222 0.00898002 0
0.0235 0.002 0.018464 0.00872492 0
0.024 0.002 0.0174794 0.00948877 0
0.0245 0.002 0.0212464 0.0109208 0
0.025 0.002 0.0185581 0.0089119 0
0.0255 0.002 0.0180256 0.00868639 0
0.026 0.002 0.0182949 0.010641 0
