# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=500
# initial_seed=1557414222	 delta_t=0.5	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=10	 fg_t_min=0	 fg_t_max=10	 fg_t_number=20000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0167401 0.00793721 0
0.0005 0.001 0.0159574 0.00879225 0
0.001 0.001 0.0261509 0.0121844 0
0.0015 0.001 0.0201277 0.0101176 0
0.002 0.001 0.0189048 0.0101166 0
0.0025 0.001 0.0175383 0.00871382 0
0.003 0.001 0.0221348 0.0103935 0
0.0035 0.001 0.0155845 0.00873367 0
0.004 0.001 0.0197016 0.0102906 0
0.0045 0.001 0.0237928 0.0120554 0
0.005 0.001 0.0176631 0.00881878 0
0.0055 0.001 0.0225841 0.0111061 0
0.006 0.001 0.017564 0.00940264 0
0.0065 0.001 0.0183435 0.00760329 0
0.007 0.001 0.020937 0.0106256 0
0.0075 0.001 0.0183843 0.0077892 0
0.008 0.001 0.0201504 0.00805849 0
0.0085 0.0015 0.0204369 0.0115409 0
0.009 0.0015 0.0245146 0.0113503 0
0.0095 0.0015 0.0152315 0.00720824 0
0.01 0.0015 0.0175902 0.00724721 0
0.0105 0.0015 0.0213696 0.0108669 0
0.011 0.0015 0.0189432 0.0084303 0
0.0115 0.0015 0.0200466 0.0107656 0
0.012 0.0015 0.0190042 0.00792976 0
0.0125 0.0015 0.0180213 0.009038 0
0.013 0.0015 0.0156652 0.01009 0
0.0135 0.0015 0.0199441 0.00957106 0
0.014 0.0015 0.0189303 0.0102574 0
0.0145 0.0015 0.0221227 0.0119223 0
0.015 0.0015 0.0195099 0.0116882 0
0.0155 0.0015 0.0189783 0.00782189 0
0.016 0.0015 0.0160775 0.00855518 0
0.0165 0.0015 0.0195011 0.0119622 0
0.017 0.0015 0.0253377 0.011412 0
0.0175 0.0015 0.0175278 0.010389 0
0.018 0.0015 0.0213235 0.0100696 0
0.0185 0.0015 0.0208553 0.0127273 0
0.019 0.0015 0.0205504 0.0117671 0
0.0195 0.0015 0.0209636 0.00965181 0
0.02 0.0015 0.0230091 0.00932275 0
0.0205 0.0015 0.0186293 0.00895565 0
0.021 0.0015 0.0167563 0.00748103 0
0.0215 0.0015 0.0215558 0.0115873 0
0.022 0.0015 0.0197825 0.0103368 0
0.0225 0.0015 0.0254916 0.0107863 0
0.023 0.0015 0.0188788 0.00923379 0
0.0235 0.002 0.0205494 0.0106361 0
0.024 0.002 0.0177855 0.00946628 0
0.0245 0.002 0.020384 0.0108459 0
0.025 0.002 0.0188327 0.00953029 0
0.0255 0.002 0.0181402 0.00872254 0
0.026 0.002 0.0173906 0.00978292 0
0.0265 0.002 0.0240322 0.0119455 0
0.027 0.002 0.0173298 0.00866138 0
0.0275 0.002 0.0205956 0.0138918 0
0.028 0.002 0.017047 0.00939987 0
0.0285 0.002 0.0166543 0.010636 0
0.029 0.002 0.0194853 0.00862195 0
0.0295 0.002 0.0223168 0.0135337 0
