# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=5000	 in_between=0
# fg_m=1	 fg_alpha=20	 fg_t_min=0	 fg_t_max=4	 fg_t_number=8000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=5000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0197076 0.0112855 0
0.0005 0.001 0.01932 0.0107589 0
0.001 0.001 0.0210019 0.011707 0
0.0015 0.001 0.0203189 0.00974283 0
0.002 0.001 0.0187063 0.0106421 0
0.0025 0.001 0.0202476 0.011396 0
0.003 0.001 0.0187419 0.0104515 0
0.0035 0.001 0.0186433 0.00942192 0
0.004 0.001 0.0195214 0.00972293 0
0.0045 0.001 0.0202449 0.010095 0
0.005 0.001 0.0191467 0.0112467 0
0.0055 0.001 0.0184001 0.00964305 0
0.006 0.001 0.0198241 0.00912833 0
0.0065 0.001 0.0183259 0.00956563 0
0.007 0.001 0.0200364 0.00989559 0
0.0075 0.001 0.0196018 0.00933832 0
0.008 0.001 0.0206837 0.0104837 0
0.0085 0.001 0.02009 0.00892064 0
0.009 0.001 0.0204765 0.0118634 0
0.0095 0.001 0.0203314 0.00998326 0
0.01 0.001 0.0201158 0.0110228 0
0.0105 0.001 0.0225466 0.01201 0
0.011 0.001 0.0200593 0.0103959 0
0.0115 0.001 0.0194732 0.0105074 0
0.012 0.001 0.0207601 0.0104797 0
0.0125 0.001 0.0204664 0.00999147 0
0.013 0.001 0.019503 0.0108326 0
0.0135 0.001 0.0189033 0.00960689 0
0.014 0.001 0.0194463 0.0103188 0
0.0145 0.001 0.0178216 0.00898443 0
0.015 0.001 0.0199954 0.0103442 0
0.0155 0.001 0.0230537 0.0117563 0
0.016 0.001 0.0192548 0.0106109 0
0.0165 0.001 0.0195045 0.00959575 0
0.017 0.001 0.0200253 0.0109038 0
0.0175 0.001 0.0190389 0.00909928 0
0.018 0.001 0.0217745 0.0111497 0
0.0185 0.001 0.0198863 0.0104262 0
0.019 0.001 0.0198756 0.0104518 0
0.0195 0.001 0.0200462 0.0107157 0
0.02 0.001 0.0196531 0.0107008 0
0.0205 0.001 0.0202006 0.0102161 0
0.021 0.001 0.0201393 0.0100871 0
0.0215 0.001 0.0203079 0.0110621 0
0.022 0.001 0.0201442 0.0103422 0
0.0225 0.001 0.02139 0.0114244 0
0.023 0.001 0.0206182 0.0108909 0
0.0235 0.001 0.0202989 0.0105109 0
0.024 0.001 0.0209172 0.0107036 0
0.0245 0.001 0.0189866 0.0113104 0
0.025 0.001 0.0194887 0.0107267 0
0.0255 0.001 0.0200556 0.010007 0
0.026 0.001 0.0225128 0.0120093 0
0.0265 0.001 0.0193808 0.00961967 0
0.027 0.001 0.0201277 0.00915719 0
0.0275 0.001 0.019221 0.0105698 0
0.028 0.001 0.02167 0.0106526 0
0.0285 0.001 0.0223244 0.0115556 0
0.029 0.001 0.0188173 0.00931429 0
0.0295 0.001 0.0183741 0.0111866 0
