# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=5	 fg_t_min=0	 fg_t_max=1.5	 fg_t_number=3000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0159512 0.00879109 0
0.0005 0.001 0.0223705 0.0105635 0
0.001 0.001 0.019158 0.0103993 0
0.0015 0.001 0.0179475 0.0122548 0
0.002 0.001 0.0235265 0.0123505 0
0.0025 0.001 0.0181467 0.0100569 0
0.003 0.001 0.0201745 0.0105014 0
0.0035 0.001 0.0198878 0.0119745 0
0.004 0.001 0.0170324 0.00937017 0
0.0045 0.001 0.0215561 0.0110363 0
0.005 0.001 0.0207393 0.0108311 0
0.0055 0.001 0.0198778 0.0103063 0
0.006 0.001 0.0199271 0.0132335 0
0.0065 0.001 0.0223572 0.0118135 0
0.007 0.001 0.0245826 0.0123317 0
0.0075 0.001 0.019577 0.00916615 0
0.008 0.001 0.0229869 0.00954521 0
0.0085 0.001 0.0220364 0.00999017 0
0.009 0.001 0.0204491 0.00827406 0
0.0095 0.001 0.0188448 0.00949115 0
0.01 0.001 0.0207148 0.0102307 0
0.0105 0.001 0.0202302 0.0140741 0
0.011 0.001 0.0172127 0.00957748 0
0.0115 0.001 0.0196678 0.00941691 0
0.012 0.001 0.0164915 0.00897715 0
0.0125 0.001 0.0208291 0.0103546 0
0.013 0.001 0.0221979 0.0112809 0
0.0135 0.001 0.0150323 0.00859927 0
0.014 0.001 0.0183737 0.0123584 0
0.0145 0.001 0.0266945 0.0102174 0
0.015 0.001 0.0174754 0.00987753 0
0.0155 0.001 0.0181179 0.0109324 0
0.016 0.001 0.0179863 0.0110812 0
0.0165 0.001 0.0208935 0.0132373 0
0.017 0.001 0.0184838 0.0100954 0
0.0175 0.001 0.0208455 0.00788827 0
0.018 0.001 0.0195428 0.00694317 0
0.0185 0.001 0.0183373 0.00982942 0
0.019 0.001 0.0186085 0.0107193 0
0.0195 0.001 0.0172131 0.0086919 0
0.02 0.001 0.0205051 0.0106028 0
0.0205 0.001 0.0242399 0.00897538 0
0.021 0.001 0.0183397 0.00944332 0
0.0215 0.001 0.02058 0.00913318 0
0.022 0.001 0.0177983 0.00905008 0
0.0225 0.001 0.0203644 0.0084447 0
0.023 0.001 0.0234959 0.0112312 0
0.0235 0.001 0.0234967 0.0119933 0
0.024 0.001 0.0203915 0.0106547 0
0.0245 0.001 0.0207053 0.0121814 0
0.025 0.001 0.0195058 0.00986612 0
0.0255 0.001 0.0197366 0.00984156 0
0.026 0.001 0.0172661 0.00917866 0
0.0265 0.001 0.0214388 0.0115384 0
0.027 0.001 0.0197452 0.0112439 0
0.0275 0.001 0.0188451 0.00970196 0
0.028 0.001 0.0141123 0.00632788 0
0.0285 0.001 0.0218049 0.009873 0
0.029 0.001 0.0161316 0.00989165 0
0.0295 0.001 0.0200835 0.0086781 0
0.03 0.001 0.0247702 0.0113177 0
0.0305 0.001 0.0194408 0.0106645 0
0.031 0.001 0.0178349 0.00779658 0
0.0315 0.001 0.0197479 0.00997632 0
0.032 0.001 0.0184722 0.00975822 0
0.0325 0.001 0.0189168 0.00986723 0
0.033 0.001 0.0197874 0.00907127 0
0.0335 0.001 0.0175128 0.00825065 0
0.034 0.001 0.0153807 0.00717007 0
0.0345 0.0015 0.0214773 0.0117671 0
0.035 0.0015 0.0235364 0.0141689 0
0.0355 0.0015 0.0206727 0.00948955 0
0.036 0.0015 0.0246406 0.00941502 0
0.0365 0.0015 0.018965 0.00855566 0
0.037 0.0015 0.0187944 0.00861255 0
0.0375 0.0015 0.0185 0.00939365 0
0.038 0.0015 0.0179154 0.00796677 0
0.0385 0.0015 0.0266408 0.0119542 0
0.039 0.0015 0.015449 0.0098568 0
0.0395 0.0015 0.0171975 0.00939918 0
0.04 0.0015 0.0205147 0.00974004 0
0.0405 0.0015 0.022759 0.0118377 0
0.041 0.0015 0.0249285 0.0108364 0
0.0415 0.0015 0.0247809 0.0111944 0
0.042 0.0015 0.019387 0.00844812 0
0.0425 0.0015 0.0201795 0.0107003 0
0.043 0.0015 0.0226583 0.0119156 0
0.0435 0.0015 0.0218784 0.0112449 0
0.044 0.0015 0.0202566 0.00988377 0
0.0445 0.0015 0.0222936 0.0103206 0
0.045 0.0015 0.0233068 0.0142523 0
0.0455 0.0015 0.020032 0.00911256 0
0.046 0.0015 0.0205493 0.00847633 0
0.0465 0.0015 0.0228415 0.0130818 0
0.047 0.0015 0.0272311 0.0103063 0
0.0475 0.0015 0.0176919 0.00966529 0
0.048 0.0015 0.0218061 0.00998655 0
0.0485 0.0015 0.0166119 0.0105217 0
0.049 0.0015 0.0140276 0.00606102 0
0.0495 0.0015 0.0259969 0.0116896 0
0.05 0.0015 0.0176535 0.00872928 0
0.0505 0.0015 0.0221825 0.0141367 0
0.051 0.0015 0.0210465 0.0134202 0
0.0515 0.0015 0.0220574 0.0107463 0
0.052 0.0015 0.0216074 0.00821341 0
0.0525 0.0015 0.0302555 0.0165105 0
0.053 0.0015 0.0145471 0.00919236 0
0.0535 0.0015 0.0226355 0.00998468 0
0.054 0.0015 0.0222554 0.0110981 0
0.0545 0.0015 0.0228353 0.0102784 0
0.055 0.0015 0.0223513 0.01351 0
0.0555 0.0015 0.0162944 0.00803929 0
0.056 0.0015 0.0186217 0.00794503 0
0.0565 0.0015 0.0216039 0.00811014 0
0.057 0.0015 0.0223641 0.00951542 0
0.0575 0.0015 0.019176 0.00843659 0
0.058 0.0015 0.0176069 0.00810101 0
0.0585 0.0015 0.0154484 0.0148455 0
0.059 0.0015 0.020778 0.00875391 0
0.0595 0.0015 0.0224897 0.0116101 0
0.06 0.0015 0.021819 0.0111991 0
0.0605 0.0015 0.0218994 0.00962883 0
0.061 0.0015 0.0252186 0.010429 0
0.0615 0.0015 0.021979 0.013373 0
0.062 0.0015 0.0207198 0.0092657 0
0.0625 0.0015 0.0244208 0.0115513 0
0.063 0.0015 0.0196896 0.00696922 0
0.0635 0.0015 0.0157282 0.00809994 0
0.064 0.0015 0.0215644 0.0120249 0
0.0645 0.0015 0.0248963 0.0113905 0
0.065 0.0015 0.0220677 0.0113939 0
0.0655 0.0015 0.0203983 0.011095 0
0.066 0.0015 0.016095 0.00648338 0
