# Relevant parameters to reproduce this network:
# node_nr=500	 k_max=500
# initial_seed=10	 delta_t=0.1	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=-20	 fg_t_min=0	 fg_t_max=4	 fg_t_number=2000	 fg_achlioptas_k=4	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.004 0.0387781 0.0200646 0
0.002 0.004 0.0385996 0.0212939 0
0.004 0.004 0.044744 0.023168 0
0.006 0.004 0.0463965 0.0217382 0
0.008 0.004 0.0386595 0.0223154 0
0.01 0.004 0.0447776 0.0226978 0
0.012 0.004 0.0406356 0.0217246 0
0.014 0.004 0.0387062 0.0281912 0
0.016 0.004 0.0405573 0.0155294 0
0.018 0.004 0.0439852 0.0241643 0
0.02 0.004 0.0335158 0.0179476 0
0.022 0.004 0.0426772 0.0214758 0
0.024 0.004 0.0390875 0.022908 0
0.026 0.004 0.0439832 0.0242507 0
0.028 0.004 0.0313847 0.0148412 0
0.03 0.004 0.0355756 0.015603 0
0.032 0.004 0.0492519 0.0294891 0
0.034 0.004 0.0344302 0.0203496 0
0.036 0.004 0.0374851 0.0171428 0
0.038 0.004 0.0412631 0.0173255 0
0.04 0.004 0.0553899 0.0254267 0
0.042 0.004 0.0424368 0.0172992 0
0.044 0.004 0.0363832 0.0153407 0
0.046 0.004 0.0450748 0.0238657 0
0.048 0.004 0.0543401 0.0271075 0
0.05 0.004 0.0257937 0.01296 0
0.052 0.004 0.0499559 0.0204288 0
0.054 0.006 0.0423851 0.0210985 0
0.056 0.006 0.0479162 0.0232539 0
0.058 0.006 0.0384993 0.0211347 0
0.06 0.006 0.0364097 0.0180788 0
0.062 0.006 0.0314752 0.0178215 0
0.064 0.006 0.042752 0.0261659 0
0.066 0.006 0.0409856 0.0199192 0
0.068 0.006 0.0421014 0.0196762 0
0.07 0.006 0.0413426 0.0256278 0
0.072 0.006 0.0428523 0.0194278 0
0.074 0.006 0.0474403 0.0207791 0
0.076 0.006 0.039382 0.0253198 0
0.078 0.006 0.0315481 0.0180504 0
0.08 0.006 0.0490192 0.0243556 0
0.082 0.006 0.0448771 0.0196368 0
0.084 0.006 0.0395227 0.0252257 0
0.086 0.006 0.0367816 0.0184618 0
0.088 0.006 0.0445736 0.0288931 0
0.09 0.006 0.0382051 0.0178998 0
0.092 0.006 0.0512885 0.022982 0
0.094 0.006 0.0424274 0.0210886 0
0.096 0.006 0.0426975 0.0183313 0
0.098 0.006 0.0460277 0.0237442 0
0.1 0.006 0.042883 0.021086 0
0.102 0.006 0.049147 0.0272911 0
0.104 0.006 0.0402248 0.0217839 0
0.106 0.006 0.0363249 0.0223366 0
0.108 0.006 0.0337284 0.0156144 0
0.11 0.008 0.0498549 0.0240462 0
0.112 0.008 0.0383425 0.0298623 0
0.114 0.008 0.0413639 0.0197689 0
0.116 0.008 0.0444938 0.0246139 0
0.118 0.008 0.0467532 0.0272662 0
0.12 0.008 0.0452915 0.0196512 0
0.122 0.008 0.0453913 0.019561 0
0.124 0.008 0.0395129 0.0172192 0
0.126 0.008 0.0392799 0.0163132 0
0.128 0.008 0.0332628 0.0173937 0
0.13 0.008 0.0475228 0.0257357 0
0.132 0.008 0.0426549 0.0236877 0
0.134 0.008 0.0409778 0.0296828 0
0.136 0.008 0.038893 0.0186733 0
0.138 0.008 0.0403752 0.0206853 0
0.14 0.008 0.0444666 0.0181099 0
0.142 0.008 0.0396574 0.0280041 0
0.144 0.008 0.03971 0.0218321 0
0.146 0.008 0.0534936 0.0270548 0
0.148 0.008 0.0487393 0.0286843 0
0.15 0.008 0.0538382 0.0158587 0
0.152 0.008 0.0350381 0.0162593 0
0.154 0.008 0.0502872 0.0218412 0
0.156 0.008 0.0592759 0.0287423 0
0.158 0.008 0.0496517 0.0217889 0
0.16 0.008 0.0438703 0.0217393 0
0.162 0.008 0.0553049 0.028456 0
0.164 0.008 0.0569959 0.0260705 0
0.166 0.008 0.0476737 0.0273424 0
0.168 0.008 0.0520338 0.0289373 0
0.17 0.008 0.0441509 0.0241257 0
0.172 0.008 0.0457993 0.0196088 0
0.174 0.008 0.05408 0.0277784 0
0.176 0.008 0.0438094 0.0234718 0
0.178 0.008 0.0401941 0.0220478 0
0.18 0.008 0.0607351 0.0332424 0
0.182 0.008 0.0459454 0.018853 0
0.184 0.008 0.0468639 0.0171113 0
0.186 0.008 0.0538747 0.0289631 0
0.188 0.008 0.0499041 0.0227509 0
0.19 0.008 0.0456826 0.0249401 0
0.192 0.008 0.0524302 0.0255735 0
0.194 0.008 0.053086 0.0224888 0
0.196 0.008 0.0409391 0.0217053 0
0.198 0.008 0.0486133 0.022801 0
0.2 0.008 0.0520326 0.0312031 0
0.202 0.008 0.0610671 0.0340312 0
0.204 0.008 0.0391928 0.018058 0
0.206 0.008 0.0476502 0.0245441 0
0.208 0.008 0.0458437 0.0291716 0
0.21 0.008 0.0504043 0.0266104 0
0.212 0.008 0.0600391 0.0315582 0
0.214 0.008 0.0570977 0.0284512 0
0.216 0.008 0.0510412 0.0251697 0
0.218 0.008 0.0367554 0.0156845 0
0.22 0.008 0.0444337 0.0222675 0
0.222 0.008 0.0535107 0.0181584 0
0.224 0.008 0.0450296 0.0257876 0
0.226 0.008 0.0380299 0.020423 0
0.228 0.008 0.0571098 0.0246583 0
0.23 0.008 0.0507653 0.0277441 0
0.232 0.008 0.0436302 0.0229992 0
0.234 0.008 0.0493802 0.0298254 0
0.236 0.008 0.0557511 0.0254648 0
0.238 0.008 0.0530269 0.026007 0
0.24 0.008 0.0495 0.0243248 0
0.242 0.008 0.0428354 0.0212599 0
0.244 0.008 0.0455797 0.0310493 0
0.246 0.008 0.0521765 0.0247493 0
0.248 0.008 0.0395552 0.0176326 0
0.25 0.008 0.0488335 0.0233569 0
0.252 0.008 0.0545769 0.0254131 0
0.254 0.008 0.0609435 0.0262653 0
0.256 0.008 0.043045 0.0168362 0
0.258 0.008 0.051034 0.0274234 0
0.26 0.008 0.0479593 0.0277687 0
0.262 0.008 0.0532491 0.0292503 0
0.264 0.008 0.0569973 0.0256325 0
0.266 0.008 0.0533697 0.018148 0
0.268 0.008 0.0549243 0.0214291 0
0.27 0.008 0.0501063 0.0298695 0
0.272 0.008 0.0420609 0.0192913 0
0.274 0.008 0.0542354 0.0257092 0
0.276 0.008 0.0613481 0.0252115 0
0.278 0.008 0.0575528 0.0273123 0
0.28 0.008 0.0629793 0.0329922 0
0.282 0.008 0.0605592 0.0228043 0
0.284 0.008 0.0524609 0.0247652 0
0.286 0.008 0.0520236 0.0286052 0
0.288 0.008 0.0419971 0.0197704 0
0.29 0.008 0.0626201 0.0269459 0
0.292 0.008 0.0586463 0.0257291 0
0.294 0.008 0.0650972 0.0315537 0
0.296 0.008 0.0527587 0.0212502 0
0.298 0.008 0.0525087 0.0245023 0
0.3 0.008 0.042577 0.0220588 0
0.302 0.008 0.0493526 0.0253797 0
0.304 0.008 0.0699539 0.0368592 0
0.306 0.008 0.0516084 0.0207268 0
0.308 0.008 0.053136 0.020369 0
0.31 0.008 0.0572659 0.0344345 0
0.312 0.008 0.0457129 0.0233071 0
0.314 0.008 0.0463618 0.0225947 0
0.316 0.008 0.0427914 0.0275055 0
0.318 0.008 0.0483979 0.0274248 0
0.32 0.008 0.0493893 0.028379 0
0.322 0.008 0.0456463 0.0240641 0
0.324 0.008 0.0530448 0.0214678 0
0.326 0.008 0.0545273 0.0230235 0
0.328 0.008 0.0639486 0.0314583 0
0.33 0.008 0.0577029 0.031567 0
0.332 0.008 0.0571882 0.0340047 0
0.334 0.008 0.0522428 0.0249846 0
0.336 0.008 0.0563674 0.0204597 0
0.338 0.008 0.0587465 0.0277164 0
0.34 0.008 0.0625638 0.0286044 0
