# Relevant parameters to reproduce this network:
# node_nr=500	 k_max=500
# initial_seed=11	 delta_t=0.1	 max_steps=50	 in_between=10
# fg_m=1	 fg_alpha=-19.7	 fg_t_min=0	 fg_t_max=249	 fg_t_number=124500	 fg_achlioptas_k=2	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=50	 fg_weff_in_between=10
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.004 0.0383664 0.0135271 0
0.002 0.004 0.0345815 0.0206224 0
0.004 0.004 0.0282779 0.0145543 0
0.006 0.004 0.0354228 0.0183247 0
0.008 0.004 0.044124 0.0161552 0
0.01 0.004 0.0359491 0.0179924 0
0.012 0.004 0.0416294 0.0216441 0
0.014 0.004 0.0414874 0.0148155 0
0.016 0.006 0.0490272 0.0270843 0
0.018 0.006 0.0454033 0.0173322 0
0.02 0.006 0.0375641 0.0221399 0
0.022 0.006 0.0293756 0.016394 0
0.024 0.006 0.0423593 0.0297843 0
0.026 0.006 0.033497 0.0125922 0
0.028 0.006 0.0369351 0.0170838 0
0.03 0.006 0.0526193 0.0220485 0
0.032 0.006 0.0229088 0.0121926 0
0.034 0.008 0.0542006 0.0215909 0
0.036 0.008 0.0335821 0.0173625 0
0.038 0.008 0.0349605 0.0158764 0
0.04 0.008 0.0332469 0.0189915 0
0.042 0.008 0.0396947 0.0194155 0
0.044 0.01 0.0362633 0.0128676 0
0.046 0.01 0.0524756 0.0281208 0
0.048 0.01 0.0375494 0.0196675 0
0.05 0.01 0.054064 0.0207159 0
0.052 0.01 0.0320584 0.0182342 0
0.054 0.01 0.0371015 0.0211279 0
0.056 0.014 0.0428983 0.0272472 0
0.058 0.014 0.0537153 0.0224649 0
0.06 0.014 0.0400712 0.0172985 0
0.062 0.014 0.0367147 0.023569 0
0.064 0.014 0.0435636 0.0245135 0
0.066 0.014 0.0363216 0.0149071 0
0.068 0.014 0.0418917 0.0210041 0
0.07 0.014 0.0367155 0.0266671 0
0.072 0.014 0.0375491 0.0202954 0
0.074 0.014 0.0352567 0.0217095 0
0.076 0.014 0.0397777 0.0229856 0
0.078 0.014 0.0674541 0.0196909 0
0.08 0.014 0.0408717 0.0180303 0
0.082 0.014 0.0464244 0.0166393 0
0.084 0.014 0.0393915 0.015162 0
0.086 0.014 0.031911 0.0208134 0
0.088 0.014 0.037796 0.0198719 0
0.09 0.018 0.0377935 0.0195411 0
0.092 0.018 0.0423165 0.0241238 0
0.094 0.018 0.0507685 0.0233075 0
0.096 0.02 0.051477 0.026719 0
0.098 0.024 0.0558035 0.0223436 0
0.1 0.024 0.0425402 0.0263857 0
0.102 0.024 0.0360571 0.0210432 0
0.104 0.024 0.0379727 0.0158346 0
0.106 0.024 0.0366744 0.0223582 0
0.108 0.024 0.0232206 0.0100296 0
0.11 0.024 0.0485366 0.0239264 0
0.112 0.024 0.0390103 0.0189823 0
0.114 0.024 0.0436684 0.0207856 0
0.116 0.032 0.0445037 0.0204364 0
0.118 0.032 0.0429906 0.0265761 0
0.12 0.036 0.0433278 0.0180062 0
0.122 0.036 0.0428845 0.0268281 0
0.124 0.036 0.0463472 0.0106773 0
0.126 0.038 0.0385375 0.0168942 0
0.128 0.038 0.0351053 0.0170632 0
0.13 0.05 0.0275829 0.0156323 0
0.132 0.05 0.0436061 0.0237468 0
0.134 0.05 0.0519745 0.0214792 0
0.136 0.05 0.0616917 0.0265099 0
0.138 0.05 0.0462786 0.0293382 0
0.14 0.05 0.0530744 0.021098 0
0.142 0.052 0.0504125 0.0257748 0
0.144 0.054 0.0388194 0.0176023 0
0.146 0.056 0.0459004 0.0183305 0
0.148 0.1 0.0484227 0.0227275 0
0.15 0.102 0.0498717 0.0206548 0
0.152 0.108 0.0398672 0.019587 0
0.154 0.11 0.0518535 0.0261833 0
0.156 0.11 0.0477569 0.0208074 0
0.158 0.11 0.0535634 0.025614 0
0.16 0.11 0.037634 0.0255639 0
0.162 0.112 0.0379818 0.0149538 0
0.164 0.114 0.0380045 0.01514 0
0.166 0.114 0.0511658 0.0210353 0
0.168 0.116 0.0619316 0.0303356 0
0.17 0.118 0.0560211 0.0300039 0
0.172 0.118 0.0584371 0.0186379 0
0.174 0.12 0.0519683 0.0308186 0
0.176 0.12 0.0437566 0.0229433 0
0.178 0.12 0.0583291 0.0293248 0
0.18 0.12 0.0522475 0.0275603 0
0.182 0.12 0.0513902 0.0330918 0
0.184 0.122 0.045583 0.025783 0
0.186 0.122 0.0572874 0.0190123 0
0.188 0.124 0.0483055 0.015484 0
0.19 0.124 0.0480039 0.0245169 0
0.192 0.124 0.0342051 0.016394 0
0.194 0.126 0.047925 0.0187255 0
0.196 0.126 0.0494381 0.021237 0
0.198 0.126 0.0424837 0.0210111 0
0.2 0.126 0.051094 0.0208082 0
0.202 0.132 0.0647593 0.0260014 0
0.204 0.132 0.045908 0.0161814 0
0.206 0.134 0.0507324 0.0184994 0
0.208 0.136 0.0546435 0.0268863 0
0.21 0.146 0.0671813 0.0321948 0
0.212 0.146 0.0653525 0.0248415 0
0.214 0.146 0.0442065 0.0214091 0
0.216 0.148 0.0433239 0.0197074 0
0.218 0.15 0.0483257 0.016518 0
0.22 0.15 0.056558 0.02631 0
0.222 0.152 0.0529331 0.0218225 0
0.224 0.154 0.0398752 0.0216712 0
0.226 0.154 0.0530114 0.0312043 0
0.228 0.156 0.0558238 0.0216933 0
0.23 0.156 0.0345157 0.0141076 0
0.232 0.156 0.0510452 0.0309725 0
0.234 0.156 0.067855 0.0396841 0
0.236 0.156 0.0472528 0.0210306 0
0.238 0.156 0.0514209 0.0217425 0
0.24 0.158 0.0503564 0.0177012 0
0.242 0.158 0.0430538 0.0201034 0
0.244 0.158 0.0346184 0.0149192 0
0.246 0.178 0.0451509 0.0254444 0
0.248 0.178 0.0484096 0.0218099 0
0.25 0.18 0.0537878 0.0307473 0
0.252 0.182 0.0727381 0.0208442 0
0.254 0.182 0.0425619 0.0132792 0
0.256 0.184 0.053535 0.0224362 0
0.258 0.184 0.0619343 0.0267732 0
0.26 0.184 0.0383001 0.027105 0
0.262 0.184 0.0452776 0.0198076 0
0.264 0.184 0.0569352 0.0308442 0
0.266 0.186 0.0579522 0.020162 0
0.268 0.188 0.0509636 0.0236086 0
0.27 0.188 0.0739864 0.0302222 0
0.272 0.188 0.0645694 0.0386184 0
0.274 0.19 0.0622091 0.0276693 0
0.276 0.196 0.0409681 0.01617 0
0.278 0.196 0.0601714 0.0241563 0
0.28 0.196 0.0515866 0.0277402 0
0.282 0.198 0.0345184 0.0229738 0
