# Relevant parameters to reproduce this network:
# node_nr=500	 k_max=50
# initial_seed=1557434111	 delta_t=0.1	 max_steps=10000	 in_between=0
# fg_m=1	 fg_alpha=0	 fg_t_min=0	 fg_t_max=1.5	 fg_t_number=750	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=10000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.004 0.0381237 0.0192327 0
0.002 0.004 0.0388765 0.0191 0
0.004 0.004 0.0394053 0.0202845 0
0.006 0.004 0.0412752 0.0209981 0
0.008 0.004 0.0421353 0.0222083 0
0.01 0.004 0.0401266 0.020908 0
0.012 0.004 0.0408401 0.0220665 0
0.014 0.004 0.0410579 0.0207197 0
0.016 0.004 0.0395231 0.0202946 0
0.018 0.004 0.0408684 0.0198365 0
0.02 0.004 0.0383292 0.02003 0
0.022 0.004 0.0392044 0.021354 0
0.024 0.004 0.0401299 0.021639 0
0.026 0.004 0.0395911 0.0213666 0
0.028 0.004 0.0393455 0.0214613 0
0.03 0.004 0.0415206 0.0212458 0
0.032 0.004 0.0418469 0.0211282 0
0.034 0.004 0.0438263 0.0222943 0
0.036 0.004 0.0428253 0.0212799 0
0.038 0.004 0.0438008 0.0218428 0
0.04 0.004 0.042549 0.0224029 0
0.042 0.006 0.0387028 0.0193906 0
0.044 0.006 0.0395077 0.0217765 0
0.046 0.006 0.0412603 0.0192991 0
0.048 0.006 0.0388953 0.020724 0
0.05 0.006 0.0394295 0.021248 0
0.052 0.006 0.041748 0.0231504 0
0.054 0.006 0.0435971 0.0224202 0
0.056 0.006 0.0410554 0.0221011 0
0.058 0.006 0.0421563 0.0200553 0
0.06 0.006 0.0417876 0.0230783 0
0.062 0.006 0.0398588 0.0206554 0
0.064 0.006 0.0407852 0.0194359 0
0.066 0.006 0.0430442 0.0212717 0
0.068 0.006 0.0412244 0.0206003 0
0.07 0.006 0.0424246 0.0236791 0
0.072 0.006 0.0428401 0.0212352 0
0.074 0.006 0.0407196 0.0209686 0
0.076 0.006 0.0438578 0.02214 0
0.078 0.006 0.0439166 0.0237562 0
0.08 0.006 0.0422129 0.0221676 0
0.082 0.006 0.0412904 0.021944 0
0.084 0.006 0.0422711 0.0222767 0
0.086 0.006 0.0430037 0.0216934 0
0.088 0.006 0.0439494 0.0235395 0
0.09 0.006 0.0441053 0.0250954 0
0.092 0.006 0.0460173 0.0239058 0
0.094 0.006 0.0441633 0.0238968 0
0.096 0.006 0.0432424 0.021765 0
0.098 0.006 0.0433516 0.0214661 0
0.1 0.006 0.0408895 0.021332 0
0.102 0.006 0.0440986 0.0235148 0
0.104 0.006 0.0447695 0.0227165 0
0.106 0.006 0.0435854 0.0238705 0
0.108 0.006 0.0432693 0.0236045 0
0.11 0.006 0.043856 0.023412 0
0.112 0.006 0.0433198 0.0216892 0
0.114 0.006 0.0445554 0.0237324 0
0.116 0.006 0.0440435 0.0242029 0
0.118 0.006 0.0442567 0.0246093 0
0.12 0.006 0.0453401 0.0226552 0
0.122 0.006 0.04189 0.0214644 0
0.124 0.006 0.0448255 0.0225995 0
0.126 0.006 0.0455871 0.0224056 0
0.128 0.006 0.0464825 0.0240892 0
0.13 0.006 0.0451673 0.0228051 0
0.132 0.006 0.046061 0.0241056 0
0.134 0.006 0.0482785 0.0234546 0
0.136 0.006 0.0461617 0.0232749 0
0.138 0.008 0.0461262 0.0228183 0
0.14 0.008 0.0432425 0.0229926 0
0.142 0.008 0.0471269 0.0244953 0
0.144 0.008 0.0465427 0.0249742 0
0.146 0.008 0.0474027 0.0254212 0
0.148 0.008 0.0447717 0.0237929 0
0.15 0.01 0.0491732 0.0254471 0
0.152 0.01 0.0455082 0.0251202 0
0.154 0.01 0.0454906 0.0242936 0
0.156 0.01 0.0477473 0.0240226 0
0.158 0.01 0.045296 0.0246505 0
0.16 0.01 0.0533184 0.024931 0
0.162 0.01 0.0551041 0.0285862 0
0.164 0.01 0.0486788 0.0234647 0
0.166 0.01 0.0477712 0.0238186 0
0.168 0.01 0.0496139 0.0267515 0
0.17 0.01 0.0482646 0.026364 0
0.172 0.01 0.047655 0.0252897 0
0.174 0.01 0.0478107 0.0259725 0
0.176 0.01 0.0498294 0.0251645 0
0.178 0.01 0.0497776 0.0254745 0
0.18 0.01 0.045311 0.0230372 0
0.182 0.01 0.0482417 0.0256697 0
0.184 0.01 0.0463313 0.0231566 0
0.186 0.01 0.0495926 0.024826 0
0.188 0.01 0.0475373 0.0228475 0
0.19 0.012 0.0507591 0.0263508 0
0.192 0.012 0.051635 0.0267224 0
0.194 0.012 0.0505167 0.0273191 0
0.196 0.012 0.0512493 0.0248782 0
0.198 0.012 0.0476355 0.0266133 0
0.2 0.012 0.0499882 0.0239609 0
0.202 0.012 0.0551055 0.0263094 0
0.204 0.012 0.0534613 0.026497 0
0.206 0.012 0.0490808 0.0235849 0
0.208 0.012 0.0532458 0.0266623 0
0.21 0.012 0.0530345 0.025808 0
0.212 0.012 0.0513089 0.0258172 0
0.214 0.012 0.050856 0.0261943 0
0.216 0.012 0.0545635 0.0286859 0
0.218 0.012 0.0524948 0.026848 0
0.22 0.014 0.0497487 0.0252402 0
0.222 0.014 0.0522355 0.0286154 0
0.224 0.016 0.0513004 0.0275788 0
0.226 0.016 0.0515024 0.0245721 0
0.228 0.016 0.0491661 0.02413 0
0.23 0.016 0.056595 0.0294193 0
0.232 0.016 0.0534117 0.0298172 0
0.234 0.016 0.0529944 0.0282959 0
0.236 0.016 0.0572359 0.0288636 0
0.238 0.016 0.0552209 0.0279456 0
0.24 0.016 0.0506056 0.0245057 0
0.242 0.016 0.0546928 0.0276605 0
0.244 0.016 0.0543544 0.0270839 0
0.246 0.016 0.0528455 0.0261116 0
0.248 0.016 0.0540192 0.0272934 0
0.25 0.016 0.0582756 0.0296016 0
0.252 0.016 0.0517169 0.028763 0
0.254 0.016 0.0520802 0.0308702 0
