# Relevant parameters to reproduce this network:
# node_nr=500	 k_max=50
# initial_seed=1557434111	 delta_t=0.5	 max_steps=5000	 in_between=0
# fg_m=1	 fg_alpha=0	 fg_t_min=0	 fg_t_max=0.9	 fg_t_number=450	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=5000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.004 0.0398895 0.0194082 0
0.002 0.004 0.0406943 0.02031 0
0.004 0.004 0.0399087 0.0214258 0
0.006 0.004 0.0403847 0.020698 0
0.008 0.004 0.0402937 0.0207671 0
0.01 0.004 0.0401901 0.0209521 0
0.012 0.004 0.0409979 0.0207791 0
0.014 0.004 0.0407102 0.0211051 0
0.016 0.004 0.0405848 0.0208209 0
0.018 0.004 0.0403316 0.0207906 0
0.02 0.004 0.0392081 0.0203697 0
0.022 0.004 0.0403839 0.0213506 0
0.024 0.004 0.0407803 0.0219459 0
0.026 0.004 0.0414549 0.0214141 0
0.028 0.004 0.0419254 0.0220907 0
0.03 0.004 0.040818 0.0219653 0
0.032 0.004 0.0413446 0.0212386 0
0.034 0.004 0.0423156 0.0220508 0
0.036 0.004 0.0424064 0.0218245 0
0.038 0.004 0.0391413 0.0212887 0
0.04 0.004 0.0394069 0.0204442 0
0.042 0.006 0.0416143 0.0223981 0
0.044 0.006 0.0415965 0.0209636 0
0.046 0.006 0.0424543 0.0221172 0
0.048 0.006 0.0421121 0.0211079 0
0.05 0.006 0.0417266 0.0218823 0
0.052 0.006 0.0425547 0.0223695 0
0.054 0.006 0.0421412 0.0220357 0
0.056 0.006 0.040726 0.0217237 0
0.058 0.006 0.0432865 0.0218788 0
0.06 0.006 0.0414957 0.0206316 0
0.062 0.006 0.0428117 0.0224292 0
0.064 0.006 0.0430806 0.0231647 0
0.066 0.006 0.0414299 0.0222839 0
0.068 0.006 0.0412741 0.0223001 0
0.07 0.006 0.0417701 0.0217016 0
0.072 0.006 0.0395417 0.0209451 0
0.074 0.006 0.0415042 0.0221701 0
0.076 0.006 0.0422655 0.0217666 0
0.078 0.006 0.0427544 0.0225281 0
0.08 0.006 0.0428671 0.0225442 0
0.082 0.006 0.0436273 0.0224531 0
0.084 0.006 0.0411844 0.0221297 0
0.086 0.006 0.0433216 0.0225547 0
0.088 0.006 0.0452897 0.0237422 0
0.09 0.006 0.0415038 0.0221517 0
0.092 0.006 0.044262 0.0228352 0
0.094 0.006 0.0430446 0.0228791 0
0.096 0.006 0.0438374 0.0230706 0
0.098 0.006 0.0432603 0.0226779 0
0.1 0.006 0.0438081 0.0235974 0
0.102 0.006 0.0453573 0.0225714 0
0.104 0.006 0.045526 0.0240564 0
0.106 0.006 0.0433432 0.0230232 0
0.108 0.006 0.0443427 0.0222341 0
0.11 0.006 0.0441627 0.0241605 0
0.112 0.006 0.0422499 0.0218381 0
0.114 0.006 0.0437872 0.0223007 0
0.116 0.006 0.0447159 0.0226213 0
0.118 0.006 0.0434938 0.0218171 0
0.12 0.006 0.044108 0.0224389 0
0.122 0.006 0.0440688 0.022978 0
0.124 0.006 0.0451744 0.0236382 0
0.126 0.006 0.0445184 0.0238187 0
0.128 0.006 0.0453829 0.0228567 0
0.13 0.006 0.0445642 0.0218693 0
0.132 0.006 0.0434434 0.0231228 0
0.134 0.006 0.0455759 0.0238254 0
0.136 0.006 0.0459135 0.0250588 0
0.138 0.008 0.0455693 0.0245233 0
0.14 0.008 0.045185 0.022925 0
0.142 0.008 0.0466546 0.0240488 0
0.144 0.008 0.045061 0.0244061 0
0.146 0.008 0.0450135 0.0235047 0
0.148 0.008 0.047442 0.0228456 0
0.15 0.01 0.0468409 0.0257739 0
0.152 0.01 0.0466455 0.0248139 0
0.154 0.01 0.0462163 0.0237031 0
0.156 0.01 0.0465873 0.0247086 0
0.158 0.01 0.0464112 0.0249868 0
0.16 0.01 0.0489402 0.0257723 0
0.162 0.01 0.0458157 0.0250679 0
0.164 0.01 0.0485337 0.0256962 0
0.166 0.01 0.0475274 0.0247504 0
0.168 0.01 0.0473764 0.0253147 0
0.17 0.01 0.0483087 0.0256899 0
0.172 0.01 0.0468505 0.0247529 0
0.174 0.01 0.0506852 0.0257265 0
0.176 0.01 0.0477235 0.0245459 0
0.178 0.01 0.0494659 0.0246052 0
0.18 0.01 0.0483971 0.0246287 0
0.182 0.01 0.0467973 0.0238773 0
0.184 0.01 0.0492259 0.0262003 0
0.186 0.01 0.0469692 0.026516 0
0.188 0.01 0.0488407 0.0256255 0
0.19 0.012 0.0471139 0.0255812 0
0.192 0.012 0.0480267 0.0257989 0
0.194 0.012 0.0494975 0.0258276 0
0.196 0.012 0.048451 0.0249136 0
0.198 0.012 0.0499046 0.0259949 0
0.2 0.012 0.0513231 0.0255586 0
0.202 0.012 0.0490322 0.0259541 0
0.204 0.012 0.0526124 0.0275589 0
0.206 0.012 0.0503455 0.0262948 0
0.208 0.012 0.0488441 0.0251728 0
0.21 0.012 0.0501813 0.0260176 0
0.212 0.012 0.0513877 0.0270921 0
0.214 0.012 0.0507765 0.0257926 0
0.216 0.012 0.0516369 0.0272243 0
0.218 0.012 0.0498613 0.0261158 0
0.22 0.014 0.0519745 0.026849 0
0.222 0.014 0.0509561 0.0259589 0
0.224 0.016 0.0516233 0.0277056 0
0.226 0.016 0.05374 0.028073 0
0.228 0.016 0.0539588 0.0279257 0
0.23 0.016 0.0522979 0.026867 0
0.232 0.016 0.0527053 0.0273612 0
0.234 0.016 0.05402 0.0285073 0
0.236 0.016 0.0518727 0.0268086 0
0.238 0.016 0.0516363 0.0268643 0
0.24 0.016 0.0544246 0.027381 0
0.242 0.016 0.0503592 0.0274528 0
0.244 0.016 0.0524381 0.02828 0
0.246 0.016 0.0555737 0.0288038 0
0.248 0.016 0.0546732 0.0286386 0
0.25 0.016 0.0540182 0.0280663 0
0.252 0.016 0.0545452 0.0281356 0
0.254 0.016 0.0525838 0.0284203 0
0.256 0.016 0.0578065 0.02782 0
0.258 0.016 0.052976 0.0286773 0
0.26 0.016 0.0526148 0.0263774 0
0.262 0.016 0.0536389 0.0283405 0
0.264 0.016 0.0571923 0.030989 0
0.266 0.016 0.0546976 0.0282631 0
0.268 0.016 0.0564896 0.0293144 0
0.27 0.016 0.0567369 0.0290694 0
0.272 0.016 0.0527498 0.0288272 0
0.274 0.016 0.0554494 0.0300453 0
0.276 0.016 0.0583295 0.0307912 0
0.278 0.018 0.0567496 0.0280723 0
0.28 0.018 0.0523381 0.0291489 0
0.282 0.018 0.0557929 0.0284087 0
0.284 0.018 0.0564414 0.0304325 0
0.286 0.018 0.0599905 0.0297343 0
0.288 0.018 0.0538783 0.0300903 0
0.29 0.018 0.0543084 0.0291893 0
0.292 0.018 0.0575315 0.0286283 0
0.294 0.018 0.0575906 0.0300562 0
0.296 0.018 0.0571399 0.0312501 0
0.298 0.018 0.0590554 0.0301107 0
0.3 0.018 0.0586472 0.0309272 0
0.302 0.018 0.0551231 0.0297478 0
0.304 0.018 0.0568443 0.029139 0
0.306 0.018 0.0590516 0.0294379 0
0.308 0.018 0.0549282 0.0287314 0
0.31 0.018 0.0580621 0.0282352 0
0.312 0.018 0.0575076 0.0298614 0
0.314 0.018 0.0573413 0.0298952 0
0.316 0.024 0.0576638 0.0316104 0
0.318 0.024 0.0578639 0.0319903 0
0.32 0.024 0.0587908 0.0308351 0
0.322 0.024 0.0573059 0.0305164 0
0.324 0.024 0.0589481 0.0301433 0
0.326 0.024 0.0573471 0.031516 0
0.328 0.024 0.0635195 0.0312158 0
0.33 0.024 0.062228 0.0323593 0
0.332 0.024 0.0595602 0.0302547 0
0.334 0.024 0.0639877 0.0321725 0
0.336 0.024 0.0632862 0.0330181 0
0.338 0.024 0.0648597 0.033488 0
0.34 0.024 0.0611307 0.0322105 0
0.342 0.024 0.0635496 0.033255 0
0.344 0.024 0.0622651 0.0330489 0
0.346 0.024 0.0667202 0.0336076 0
0.348 0.024 0.0615235 0.03208 0
0.35 0.024 0.0637099 0.0367647 0
0.352 0.024 0.0639492 0.0334793 0
0.354 0.028 0.0639456 0.030697 0
0.356 0.028 0.0626397 0.0342533 0
0.358 0.028 0.0638545 0.0304499 0
0.36 0.028 0.0624359 0.03204 0
0.362 0.028 0.0642867 0.0335651 0
0.364 0.028 0.0637731 0.0339907 0
0.366 0.028 0.0649971 0.0324512 0
0.368 0.028 0.0641879 0.0329578 0
0.37 0.028 0.0666047 0.0325168 0
0.372 0.028 0.0621781 0.0329674 0
0.374 0.028 0.0625299 0.0332756 0
0.376 0.028 0.0615739 0.0322703 0
0.378 0.028 0.0641221 0.0327531 0
0.38 0.028 0.0650946 0.0334143 0
0.382 0.028 0.0641317 0.0330278 0
0.384 0.028 0.063087 0.0330585 0
0.386 0.028 0.0660227 0.0349695 0
0.388 0.028 0.0640894 0.0323757 0
0.39 0.028 0.0658941 0.0350847 0
0.392 0.028 0.0694907 0.036064 0
0.394 0.028 0.0677351 0.0363068 0
0.396 0.028 0.0660974 0.0336507 0
0.398 0.028 0.0658177 0.0354188 0
0.4 0.032 0.0673142 0.0367195 0
0.402 0.032 0.0690036 0.0379797 0
0.404 0.032 0.0714376 0.0353978 0
0.406 0.032 0.0681275 0.0339914 0
0.408 0.032 0.0688645 0.0375375 0
0.41 0.034 0.0719987 0.0352511 0
0.412 0.038 0.0663123 0.034589 0
0.414 0.038 0.0688295 0.0357905 0
