# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=-1	 fg_t_min=0	 fg_t_max=2	 fg_t_number=4000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0159512 0.00879109 0
0.0005 0.001 0.0221568 0.0103891 0
0.001 0.001 0.0190138 0.0105415 0
0.0015 0.001 0.0181341 0.0119291 0
0.002 0.001 0.0233433 0.0117634 0
0.0025 0.001 0.0186874 0.0101681 0
0.003 0.001 0.019215 0.0107627 0
0.0035 0.001 0.0188937 0.0116734 0
0.004 0.001 0.0171247 0.00916258 0
0.0045 0.001 0.0216466 0.0112018 0
0.005 0.001 0.022234 0.0121348 0
0.0055 0.001 0.0207999 0.0112682 0
0.006 0.001 0.0186861 0.0126897 0
0.0065 0.001 0.0207577 0.00980975 0
0.007 0.001 0.024076 0.0134055 0
0.0075 0.001 0.0187467 0.00974865 0
0.008 0.001 0.0244743 0.011762 0
0.0085 0.001 0.0221538 0.0106772 0
0.009 0.001 0.0196603 0.00859979 0
0.0095 0.001 0.0193213 0.0102231 0
0.01 0.001 0.021751 0.0104612 0
0.0105 0.001 0.0200089 0.0139816 0
0.011 0.001 0.0167447 0.00915469 0
0.0115 0.001 0.0191654 0.00971623 0
0.012 0.001 0.017483 0.00791878 0
0.0125 0.001 0.0218176 0.0109263 0
0.013 0.001 0.0200259 0.00968798 0
0.0135 0.001 0.0150195 0.0091467 0
0.014 0.001 0.0195978 0.0124795 0
0.0145 0.001 0.0267899 0.0109221 0
0.015 0.001 0.0168932 0.00980398 0
0.0155 0.001 0.0207323 0.0102031 0
0.016 0.001 0.0169519 0.0110695 0
0.0165 0.001 0.0221509 0.0122172 0
0.017 0.001 0.0171548 0.0099173 0
0.0175 0.001 0.0212026 0.0104287 0
0.018 0.001 0.0211905 0.00990227 0
0.0185 0.001 0.0173896 0.0100254 0
0.019 0.001 0.0209616 0.009808 0
0.0195 0.001 0.0181561 0.00961802 0
0.02 0.001 0.0207941 0.0100715 0
0.0205 0.001 0.0214298 0.0105978 0
0.021 0.001 0.020333 0.0104463 0
0.0215 0.0015 0.020585 0.0117057 0
0.022 0.0015 0.0190717 0.00908876 0
0.0225 0.0015 0.0172618 0.00821695 0
0.023 0.0015 0.0217535 0.00975499 0
0.0235 0.0015 0.0211823 0.0107066 0
0.024 0.0015 0.0195281 0.00966145 0
0.0245 0.0015 0.0214316 0.0105094 0
0.025 0.0015 0.0201154 0.0115315 0
0.0255 0.0015 0.020739 0.0120168 0
0.026 0.0015 0.0203559 0.0097564 0
0.0265 0.0015 0.0193201 0.00970086 0
0.027 0.0015 0.0193568 0.0107316 0
0.0275 0.0015 0.0206232 0.00950418 0
0.028 0.0015 0.0164743 0.0107024 0
0.0285 0.0015 0.0189624 0.0130913 0
0.029 0.0015 0.0183443 0.00808791 0
0.0295 0.0015 0.0238234 0.0113658 0
0.03 0.0015 0.0208635 0.0131347 0
0.0305 0.0015 0.0189383 0.0101076 0
0.031 0.0015 0.0186532 0.00797657 0
0.0315 0.0015 0.023194 0.0112695 0
0.032 0.0015 0.0195973 0.0108637 0
0.0325 0.0015 0.0207309 0.0114053 0
0.033 0.0015 0.0211242 0.010612 0
0.0335 0.0015 0.0199647 0.00776581 0
0.034 0.0015 0.0128219 0.00630542 0
0.0345 0.0015 0.0187204 0.0107941 0
0.035 0.0015 0.0232368 0.0129443 0
0.0355 0.0015 0.0207801 0.0109311 0
0.036 0.0015 0.0207585 0.00976407 0
0.0365 0.0015 0.0172074 0.0107125 0
0.037 0.0015 0.0146812 0.00830891 0
0.0375 0.0015 0.0193175 0.00809745 0
0.038 0.0015 0.0177163 0.0068988 0
0.0385 0.0015 0.0228826 0.0103222 0
0.039 0.0015 0.0181139 0.011625 0
0.0395 0.0015 0.0203954 0.0109511 0
0.04 0.0015 0.0215098 0.0100097 0
0.0405 0.0015 0.0199381 0.00928046 0
0.041 0.0015 0.0210673 0.00872691 0
0.0415 0.0015 0.0221776 0.010718 0
0.042 0.0015 0.0186584 0.010361 0
0.0425 0.0015 0.0227335 0.00834399 0
0.043 0.0015 0.0192074 0.0102009 0
0.0435 0.0015 0.0227483 0.011129 0
0.044 0.0015 0.0176511 0.00661824 0
0.0445 0.0015 0.0196774 0.0100816 0
0.045 0.0015 0.0229742 0.012966 0
0.0455 0.0015 0.0165091 0.00902386 0
0.046 0.0015 0.0192807 0.00979376 0
0.0465 0.0015 0.0175922 0.009148 0
0.047 0.0015 0.0250777 0.0139607 0
0.0475 0.0015 0.0191247 0.00959122 0
0.048 0.0015 0.0183885 0.00992246 0
0.0485 0.0015 0.0183455 0.00975044 0
0.049 0.0015 0.0181985 0.00801357 0
0.0495 0.0015 0.0238228 0.0126055 0
0.05 0.0015 0.0162458 0.00997713 0
0.0505 0.0015 0.0211431 0.0142805 0
0.051 0.0015 0.0204361 0.0114851 0
0.0515 0.0015 0.0177917 0.00946485 0
0.052 0.0015 0.0211764 0.0103282 0
0.0525 0.0015 0.025344 0.0164877 0
0.053 0.0015 0.022438 0.0132408 0
0.0535 0.0015 0.0249191 0.0110212 0
0.054 0.0015 0.0210767 0.00760196 0
0.0545 0.0015 0.0218615 0.0111203 0
0.055 0.0015 0.0224879 0.0162585 0
0.0555 0.0015 0.0181524 0.00889474 0
0.056 0.0015 0.0225457 0.010075 0
0.0565 0.0015 0.0222639 0.00972859 0
0.057 0.0015 0.0207673 0.0101534 0
0.0575 0.0015 0.0166601 0.00818092 0
0.058 0.0015 0.0207598 0.0122716 0
0.0585 0.0015 0.0183691 0.00763259 0
0.059 0.0015 0.0239777 0.0142813 0
0.0595 0.0015 0.0215011 0.0104137 0
0.06 0.0015 0.020884 0.00774367 0
0.0605 0.0015 0.0202504 0.00899533 0
0.061 0.0015 0.021314 0.0104511 0
0.0615 0.0015 0.0215844 0.00949541 0
0.062 0.0015 0.0209829 0.00876242 0
0.0625 0.0015 0.0197638 0.00956251 0
0.063 0.0015 0.0194948 0.012075 0
0.0635 0.0015 0.0185503 0.00801933 0
0.064 0.0015 0.0219815 0.0100928 0
0.0645 0.0015 0.0238556 0.00858435 0
0.065 0.0015 0.0194924 0.0110693 0
0.0655 0.0015 0.0195391 0.0114594 0
0.066 0.0015 0.0154179 0.0097863 0
0.0665 0.0015 0.0235504 0.0104914 0
0.067 0.0015 0.0209164 0.0124839 0
0.0675 0.0015 0.0191636 0.0106789 0
