# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=-1	 fg_t_min=0	 fg_t_max=1.5	 fg_t_number=3000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0159512 0.00879109 0
0.0005 0.001 0.0219964 0.0103653 0
0.001 0.001 0.0189066 0.0107866 0
0.0015 0.001 0.0182568 0.011757 0
0.002 0.001 0.0236718 0.0114893 0
0.0025 0.001 0.0182497 0.0097026 0
0.003 0.001 0.0196687 0.0110181 0
0.0035 0.001 0.0188404 0.011597 0
0.004 0.001 0.0174871 0.00930517 0
0.0045 0.001 0.02237 0.0114322 0
0.005 0.001 0.0222911 0.0124734 0
0.0055 0.001 0.0203567 0.0110606 0
0.006 0.001 0.0187542 0.0128812 0
0.0065 0.001 0.0215114 0.0110892 0
0.007 0.001 0.0240055 0.0136529 0
0.0075 0.001 0.0182173 0.0093064 0
0.008 0.001 0.0250404 0.0110502 0
0.0085 0.001 0.0241053 0.011339 0
0.009 0.001 0.0215444 0.00860476 0
0.0095 0.001 0.019822 0.00950665 0
0.01 0.001 0.0225454 0.0103658 0
0.0105 0.001 0.0206162 0.0135585 0
0.011 0.001 0.0182006 0.00915936 0
0.0115 0.001 0.0184699 0.00995044 0
0.012 0.001 0.018062 0.00754126 0
0.0125 0.001 0.0213574 0.0108646 0
0.013 0.001 0.0211137 0.0109075 0
0.0135 0.001 0.0160642 0.0109947 0
0.014 0.001 0.0185347 0.0115802 0
0.0145 0.001 0.0263311 0.0109437 0
0.015 0.001 0.0173252 0.010353 0
0.0155 0.001 0.0202918 0.0107209 0
0.016 0.001 0.0178397 0.0111058 0
0.0165 0.001 0.0218477 0.0124412 0
0.017 0.001 0.0175097 0.011704 0
0.0175 0.001 0.0192711 0.00911903 0
0.018 0.001 0.021115 0.0114035 0
0.0185 0.001 0.0186257 0.0104078 0
0.019 0.001 0.0225669 0.0110705 0
0.0195 0.001 0.0181141 0.00904261 0
0.02 0.001 0.0204098 0.00871932 0
0.0205 0.001 0.0203599 0.0116759 0
0.021 0.001 0.0207557 0.0115103 0
0.0215 0.001 0.0213831 0.0119141 0
0.022 0.001 0.0191036 0.00779596 0
0.0225 0.001 0.0198733 0.0100788 0
0.023 0.001 0.0229092 0.01005 0
0.0235 0.001 0.0231848 0.0111272 0
0.024 0.001 0.0203357 0.0103816 0
0.0245 0.001 0.0208963 0.00977272 0
0.025 0.001 0.0188045 0.0104787 0
0.0255 0.001 0.0216064 0.0125141 0
0.026 0.001 0.0204939 0.0101175 0
0.0265 0.001 0.0202644 0.00827419 0
0.027 0.001 0.0215735 0.0103457 0
0.0275 0.001 0.0193993 0.0100764 0
0.028 0.001 0.014518 0.00964644 0
0.0285 0.001 0.0200192 0.0130449 0
0.029 0.001 0.0169452 0.00995535 0
0.0295 0.001 0.0241044 0.00963972 0
0.03 0.001 0.0209814 0.0124635 0
0.0305 0.001 0.0157938 0.00782088 0
0.031 0.001 0.0203274 0.0091893 0
0.0315 0.0015 0.0206518 0.00992633 0
0.032 0.0015 0.0209708 0.011543 0
0.0325 0.0015 0.0207427 0.0117116 0
0.033 0.0015 0.0202519 0.00950761 0
0.0335 0.0015 0.0185851 0.00928143 0
0.034 0.0015 0.0153563 0.00685467 0
0.0345 0.0015 0.0174022 0.0103791 0
0.035 0.0015 0.0208793 0.0120111 0
0.0355 0.0015 0.0174715 0.0100956 0
0.036 0.0015 0.0201435 0.00975265 0
0.0365 0.0015 0.0156593 0.00770998 0
0.037 0.0015 0.0140407 0.00798303 0
0.0375 0.0015 0.0204389 0.010264 0
0.038 0.0015 0.0200753 0.00707701 0
0.0385 0.0015 0.0225147 0.011789 0
0.039 0.0015 0.0191326 0.0104128 0
0.0395 0.0015 0.0188163 0.00980686 0
0.04 0.0015 0.0204107 0.00977347 0
0.0405 0.0015 0.020769 0.00811773 0
0.041 0.0015 0.0213315 0.00955162 0
0.0415 0.0015 0.0268749 0.0111789 0
0.042 0.0015 0.0198278 0.0104795 0
0.0425 0.0015 0.0202195 0.00922471 0
0.043 0.0015 0.0194456 0.00953208 0
0.0435 0.0015 0.0245446 0.011775 0
0.044 0.0015 0.0177275 0.00822058 0
0.0445 0.0015 0.0202009 0.00931142 0
0.045 0.0015 0.0236466 0.013605 0
0.0455 0.0015 0.0186633 0.00945134 0
0.046 0.0015 0.0207937 0.00771034 0
0.0465 0.0015 0.018667 0.00925171 0
0.047 0.0015 0.0249235 0.0126238 0
0.0475 0.0015 0.0189568 0.0102691 0
0.048 0.0015 0.0213405 0.0114018 0
0.0485 0.0015 0.0184552 0.0105065 0
0.049 0.0015 0.0171208 0.00905083 0
