# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.01	 max_steps=5000	 in_between=10
# fg_m=1	 fg_alpha=10	 fg_t_min=0	 fg_t_max=4	 fg_t_number=8000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=5000	 fg_weff_in_between=10
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0197576 0.0115328 0
0.0005 0.001 0.0203288 0.0112349 0
0.001 0.001 0.0207636 0.0100155 0
0.0015 0.001 0.0183613 0.00978867 0
0.002 0.001 0.0193652 0.0107362 0
0.0025 0.001 0.0190828 0.00916418 0
0.003 0.001 0.0198077 0.00992627 0
0.0035 0.001 0.0192639 0.0105887 0
0.004 0.001 0.020207 0.00998189 0
0.0045 0.001 0.0179787 0.00913587 0
0.005 0.001 0.0186536 0.00919268 0
0.0055 0.001 0.0213441 0.0112071 0
0.006 0.001 0.0202868 0.0101264 0
0.0065 0.001 0.0202499 0.0110642 0
0.007 0.001 0.0201976 0.0104071 0
0.0075 0.001 0.0208751 0.0109158 0
0.008 0.001 0.0195786 0.00977858 0
0.0085 0.001 0.0219558 0.0102717 0
0.009 0.001 0.0202483 0.0115658 0
0.0095 0.001 0.019214 0.0092088 0
0.01 0.001 0.019831 0.0102124 0
0.0105 0.001 0.0209761 0.0115428 0
0.011 0.001 0.0213991 0.0116502 0
0.0115 0.001 0.02031 0.0106117 0
0.012 0.001 0.0210308 0.0109831 0
0.0125 0.001 0.0198778 0.00998327 0
0.013 0.001 0.0196531 0.0110639 0
0.0135 0.001 0.0201455 0.010719 0
0.014 0.001 0.0195561 0.00960896 0
0.0145 0.001 0.0204665 0.0100649 0
0.015 0.001 0.0198173 0.0100362 0
0.0155 0.001 0.019808 0.00981196 0
0.016 0.001 0.0214377 0.0111212 0
0.0165 0.001 0.0209259 0.0105825 0
0.017 0.001 0.0206901 0.010491 0
0.0175 0.001 0.0188906 0.0106599 0
0.018 0.001 0.0198357 0.0103942 0
0.0185 0.001 0.0208511 0.0108591 0
0.019 0.001 0.0218919 0.0104569 0
0.0195 0.001 0.020418 0.00986192 0
0.02 0.001 0.0231054 0.0124082 0
0.0205 0.001 0.021139 0.0115173 0
0.021 0.001 0.0190657 0.0100949 0
0.0215 0.001 0.0199885 0.00991995 0
0.022 0.001 0.0188542 0.00963797 0
0.0225 0.001 0.019272 0.0100835 0
0.023 0.001 0.0191184 0.0100673 0
0.0235 0.001 0.0198427 0.00968536 0
0.024 0.001 0.0199 0.0111397 0
0.0245 0.001 0.0205051 0.0106359 0
0.025 0.001 0.0203938 0.0106917 0
0.0255 0.001 0.0196862 0.0089664 0
0.026 0.001 0.021653 0.0108664 0
0.0265 0.001 0.0210936 0.0112775 0
0.027 0.001 0.0213748 0.00977786 0
0.0275 0.001 0.0200689 0.0100003 0
0.028 0.001 0.0188802 0.00930864 0
0.0285 0.001 0.0208615 0.0105942 0
0.029 0.001 0.0189966 0.0116919 0
0.0295 0.001 0.0213504 0.0121683 0
0.03 0.001 0.0184623 0.00924494 0
0.0305 0.001 0.0214045 0.0107222 0
0.031 0.001 0.0213618 0.0117553 0
0.0315 0.001 0.020191 0.0107853 0
0.032 0.001 0.0198009 0.00967105 0
0.0325 0.001 0.0199671 0.0107431 0
0.033 0.001 0.0187192 0.010237 0
0.0335 0.001 0.0211994 0.0107005 0
0.034 0.001 0.0212139 0.0108234 0
0.0345 0.001 0.0193358 0.010582 0
0.035 0.001 0.0200144 0.0108189 0
0.0355 0.001 0.021302 0.0103112 0
0.036 0.001 0.020335 0.0104276 0
0.0365 0.001 0.021432 0.0112049 0
0.037 0.001 0.0208603 0.0116294 0
0.0375 0.001 0.0189277 0.0093364 0
0.038 0.001 0.0183255 0.0102343 0
0.0385 0.001 0.0211306 0.0115444 0
0.039 0.001 0.0221615 0.0104118 0
0.0395 0.001 0.0210363 0.0112605 0
0.04 0.001 0.0201871 0.0103478 0
0.0405 0.001 0.021017 0.0101815 0
0.041 0.001 0.0212988 0.0116223 0
0.0415 0.001 0.0188636 0.0105092 0
0.042 0.001 0.0218998 0.0106112 0
0.0425 0.001 0.0219146 0.0102841 0
0.043 0.001 0.0216554 0.0116357 0
0.0435 0.001 0.0203933 0.0116881 0
0.044 0.001 0.021375 0.0107417 0
0.0445 0.001 0.0217196 0.0103475 0
0.045 0.001 0.0217012 0.0109242 0
0.0455 0.001 0.019803 0.0103122 0
0.046 0.001 0.0195223 0.0106355 0
0.0465 0.001 0.019391 0.00972321 0
0.047 0.001 0.0226071 0.0123689 0
0.0475 0.001 0.0198816 0.00990444 0
0.048 0.001 0.0213818 0.010811 0
0.0485 0.001 0.0193407 0.009559 0
0.049 0.001 0.0217586 0.0112501 0
0.0495 0.001 0.0201822 0.0103443 0
0.05 0.001 0.0206348 0.0108079 0
0.0505 0.001 0.0196202 0.0096742 0
0.051 0.001 0.0215592 0.0120819 0
0.0515 0.001 0.0200098 0.0104546 0
