# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=1	 fg_t_min=0	 fg_t_max=1.5	 fg_t_number=3000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0159512 0.00879109 0
0.0005 0.001 0.0219009 0.0106283 0
0.001 0.001 0.0186212 0.0103417 0
0.0015 0.001 0.0181935 0.0119232 0
0.002 0.001 0.0232779 0.011764 0
0.0025 0.001 0.0176105 0.00975546 0
0.003 0.001 0.0195035 0.0108582 0
0.0035 0.001 0.0195178 0.0119195 0
0.004 0.001 0.0176765 0.00869625 0
0.0045 0.001 0.0220415 0.0108493 0
0.005 0.001 0.0211969 0.011713 0
0.0055 0.001 0.0209757 0.0100361 0
0.006 0.001 0.0189115 0.0125097 0
0.0065 0.001 0.0219726 0.0100778 0
0.007 0.001 0.0227094 0.014567 0
0.0075 0.001 0.0175472 0.00982768 0
0.008 0.001 0.0231207 0.0111621 0
0.0085 0.001 0.0222379 0.0106807 0
0.009 0.001 0.0201352 0.00998642 0
0.0095 0.001 0.0195458 0.00935305 0
0.01 0.001 0.0199612 0.0112192 0
0.0105 0.001 0.0220115 0.0150275 0
0.011 0.001 0.0187158 0.0100404 0
0.0115 0.001 0.0173153 0.00977709 0
0.012 0.001 0.0155119 0.00830572 0
0.0125 0.001 0.0211512 0.00989436 0
0.013 0.001 0.0212482 0.00970381 0
0.0135 0.001 0.0152611 0.00865477 0
0.014 0.001 0.0173831 0.0124931 0
0.0145 0.001 0.0259356 0.0105203 0
0.015 0.001 0.016562 0.00900705 0
0.0155 0.001 0.0172282 0.00872189 0
0.016 0.001 0.0176519 0.00983113 0
0.0165 0.001 0.021553 0.0118548 0
0.017 0.001 0.0202116 0.00987425 0
0.0175 0.001 0.0207718 0.00714133 0
0.018 0.001 0.0211375 0.00942989 0
0.0185 0.001 0.0174123 0.00881807 0
0.019 0.001 0.0198291 0.0103299 0
0.0195 0.001 0.0196433 0.0090809 0
0.02 0.001 0.0218236 0.00949633 0
0.0205 0.001 0.0206147 0.0087499 0
0.021 0.001 0.0185429 0.0102233 0
0.0215 0.001 0.0214283 0.00999419 0
0.022 0.001 0.0196485 0.00929878 0
0.0225 0.001 0.0168611 0.00754617 0
0.023 0.001 0.0215432 0.012187 0
0.0235 0.001 0.0216532 0.0133149 0
0.024 0.001 0.0198072 0.0102206 0
0.0245 0.001 0.0195153 0.00936323 0
0.025 0.001 0.0182266 0.0100826 0
0.0255 0.001 0.0197952 0.012193 0
0.026 0.001 0.0173007 0.00799982 0
0.0265 0.001 0.0206791 0.0106776 0
0.027 0.001 0.0208757 0.0121327 0
0.0275 0.001 0.0209115 0.0106102 0
0.028 0.001 0.0155674 0.00802811 0
0.0285 0.001 0.0214891 0.0108452 0
0.029 0.001 0.0184258 0.0100763 0
0.0295 0.001 0.0220545 0.00938149 0
0.03 0.001 0.0240056 0.0124377 0
0.0305 0.001 0.020229 0.00909226 0
0.031 0.001 0.0192758 0.009298 0
0.0315 0.001 0.0204824 0.00983724 0
0.032 0.001 0.0193936 0.009741 0
0.0325 0.001 0.0210042 0.00879385 0
0.033 0.001 0.0199892 0.00972668 0
0.0335 0.001 0.019058 0.00887528 0
0.034 0.001 0.0163413 0.00839906 0
0.0345 0.001 0.0203268 0.0102649 0
0.035 0.001 0.0271037 0.0116735 0
0.0355 0.001 0.0237 0.00991317 0
0.036 0.001 0.0205759 0.0102401 0
0.0365 0.001 0.0184559 0.0110897 0
0.037 0.001 0.0167702 0.0072533 0
0.0375 0.001 0.0196221 0.00826075 0
0.038 0.001 0.0210117 0.00956557 0
0.0385 0.001 0.0183667 0.0107918 0
0.039 0.001 0.0172017 0.00903445 0
0.0395 0.001 0.0207155 0.0103356 0
0.04 0.001 0.0231446 0.0111129 0
0.0405 0.001 0.0235194 0.0120442 0
0.041 0.001 0.0227807 0.00696773 0
0.0415 0.001 0.0245106 0.0122106 0
0.042 0.001 0.0194044 0.0102902 0
0.0425 0.001 0.0194323 0.010556 0
0.043 0.001 0.0189249 0.0101763 0
0.0435 0.001 0.0224445 0.0111945 0
0.044 0.001 0.0224861 0.0102471 0
0.0445 0.001 0.0265817 0.0120645 0
0.045 0.001 0.0244595 0.0117822 0
0.0455 0.001 0.0206917 0.00919194 0
0.046 0.001 0.0210011 0.0120168 0
0.0465 0.001 0.0164535 0.00802784 0
0.047 0.001 0.0253763 0.0130746 0
0.0475 0.001 0.0207819 0.0114628 0
0.048 0.001 0.0159251 0.0102779 0
0.0485 0.001 0.0218868 0.0109319 0
0.049 0.001 0.0181503 0.0077515 0
0.0495 0.001 0.0233576 0.0103643 0
0.05 0.001 0.0164017 0.00788333 0
0.0505 0.001 0.0240051 0.0135423 0
0.051 0.001 0.0199306 0.0104828 0
0.0515 0.001 0.0181316 0.00835486 0
0.052 0.001 0.022012 0.00967205 0
0.0525 0.001 0.0292902 0.0146297 0
0.053 0.001 0.020924 0.0101819 0
0.0535 0.001 0.0220787 0.00995256 0
0.054 0.001 0.0186452 0.00944716 0
0.0545 0.0015 0.0203264 0.00979521 0
0.055 0.0015 0.0206641 0.012912 0
0.0555 0.0015 0.0168414 0.00931233 0
0.056 0.0015 0.0190883 0.00682793 0
0.0565 0.0015 0.0213954 0.0100245 0
0.057 0.0015 0.0223859 0.0105558 0
0.0575 0.0015 0.014773 0.0076524 0
0.058 0.0015 0.0240244 0.0101803 0
0.0585 0.0015 0.0163761 0.00785746 0
0.059 0.0015 0.0253869 0.00992498 0
0.0595 0.0015 0.0233154 0.0103927 0
0.06 0.0015 0.0163954 0.00981967 0
0.0605 0.0015 0.021857 0.0119468 0
0.061 0.0015 0.0267086 0.0132482 0
0.0615 0.0015 0.0215355 0.011177 0
0.062 0.0015 0.0231214 0.0125975 0
0.0625 0.0015 0.0226214 0.0103687 0
0.063 0.0015 0.0204309 0.0123985 0
0.0635 0.0015 0.0185693 0.00964633 0
0.064 0.0015 0.0224866 0.0104036 0
0.0645 0.0015 0.0221105 0.00930347 0
0.065 0.0015 0.0193355 0.0102399 0
0.0655 0.0015 0.0230789 0.0111844 0
0.066 0.0015 0.0217479 0.0103876 0
0.0665 0.0015 0.0246652 0.0105207 0
0.067 0.0015 0.0194398 0.00970645 0
0.0675 0.0015 0.0227557 0.00938642 0
0.068 0.0015 0.0213161 0.00831437 0
0.0685 0.0015 0.0206618 0.011605 0
0.069 0.0015 0.019726 0.00891939 0
0.0695 0.0015 0.0199171 0.00828939 0
0.07 0.0015 0.0242058 0.00982395 0
0.0705 0.0015 0.0242995 0.0116809 0
0.071 0.0015 0.0197265 0.0111862 0
0.0715 0.0015 0.0236768 0.0128826 0
0.072 0.0015 0.0243757 0.0109178 0
0.0725 0.0015 0.0192894 0.00963197 0
0.073 0.0015 0.0234653 0.0138007 0
0.0735 0.0015 0.019257 0.0104204 0
0.074 0.0015 0.0227946 0.0097566 0
0.0745 0.0015 0.0229449 0.0108531 0
0.075 0.0015 0.0217074 0.0135101 0
0.0755 0.0015 0.0256347 0.0127848 0
0.076 0.0015 0.0167762 0.00887117 0
0.0765 0.0015 0.0270541 0.0127093 0
0.077 0.0015 0.0179342 0.0104518 0
0.0775 0.0015 0.0215203 0.0126593 0
0.078 0.0015 0.0246691 0.0136163 0
0.0785 0.0015 0.021197 0.00966206 0
0.079 0.0015 0.0203516 0.0117545 0
0.0795 0.0015 0.0269955 0.0154576 0
0.08 0.0015 0.0161477 0.00926539 0
0.0805 0.0015 0.0170165 0.00983442 0
0.081 0.0015 0.0182667 0.00787944 0
0.0815 0.0015 0.0169965 0.00909088 0
0.082 0.0015 0.020376 0.0105453 0
0.0825 0.0015 0.0169636 0.00889892 0
0.083 0.0015 0.0169541 0.00932585 0
0.0835 0.0015 0.0184524 0.00858426 0
0.084 0.0015 0.017002 0.00849925 0
0.0845 0.0015 0.0210728 0.0127376 0
0.085 0.0015 0.023944 0.0118532 0
0.0855 0.0015 0.0186287 0.00812535 0
0.086 0.0015 0.0210742 0.0123331 0
0.0865 0.0015 0.0223251 0.0104555 0
0.087 0.0015 0.0255352 0.00965255 0
0.0875 0.0015 0.0202046 0.00933102 0
0.088 0.0015 0.0199213 0.0108258 0
0.0885 0.0015 0.0202184 0.00977109 0
0.089 0.0015 0.0221458 0.0129004 0
0.0895 0.0015 0.0158352 0.00847048 0
0.09 0.0015 0.0228512 0.0162397 0
0.0905 0.0015 0.0231829 0.0115365 0
0.091 0.0015 0.0257634 0.0106684 0
0.0915 0.0015 0.0217764 0.0108384 0
0.092 0.0015 0.0202359 0.00941226 0
0.0925 0.0015 0.0188533 0.0111645 0
0.093 0.0015 0.0233656 0.0121284 0
0.0935 0.0015 0.0186675 0.00950577 0
0.094 0.0015 0.0257067 0.0108855 0
0.0945 0.0015 0.0196761 0.00840873 0
0.095 0.0015 0.0202348 0.00999252 0
0.0955 0.0015 0.0173062 0.0139273 0
0.096 0.0015 0.0219207 0.0122833 0
0.0965 0.0015 0.0230052 0.0108817 0
0.097 0.0015 0.0227879 0.010504 0
0.0975 0.0015 0.0188635 0.00936527 0
0.098 0.0015 0.0253158 0.0111128 0
0.0985 0.0015 0.0231511 0.0100489 0
0.099 0.0015 0.0279938 0.0127961 0
0.0995 0.0015 0.0157498 0.00724428 0
0.1 0.0015 0.0214265 0.0138618 0
0.1005 0.0015 0.0204121 0.00944665 0
0.101 0.0015 0.0190025 0.0110086 0
0.1015 0.0015 0.0237293 0.0123167 0
0.102 0.0015 0.0173073 0.00771379 0
0.1025 0.0015 0.0188257 0.0111533 0
0.103 0.0015 0.0224378 0.0109877 0
0.1035 0.0015 0.0220018 0.0126005 0
0.104 0.0015 0.0190518 0.0104768 0
0.1045 0.0015 0.0199844 0.0114462 0
0.105 0.0015 0.0217393 0.00963223 0
0.1055 0.0015 0.020591 0.00874813 0
0.106 0.0015 0.0246414 0.0120278 0
0.1065 0.0015 0.0229895 0.0098675 0
0.107 0.0015 0.0206004 0.0124702 0
0.1075 0.0015 0.0196133 0.00893978 0
0.108 0.0015 0.0176443 0.00965161 0
0.1085 0.0015 0.022659 0.012116 0
0.109 0.0015 0.0220281 0.0109498 0
0.1095 0.0015 0.0225742 0.00858319 0
0.11 0.0015 0.0235828 0.00961883 0
0.1105 0.0015 0.0197718 0.00922637 0
0.111 0.0015 0.0207479 0.00980705 0
0.1115 0.0015 0.018068 0.00945466 0
0.112 0.0015 0.0215419 0.0110122 0
0.1125 0.0015 0.021311 0.0117359 0
0.113 0.0015 0.0226325 0.00923593 0
0.1135 0.0015 0.0258414 0.0111551 0
0.114 0.0015 0.0243631 0.0101797 0
0.1145 0.0015 0.0228258 0.0133417 0
0.115 0.0015 0.0204017 0.00994825 0
0.1155 0.0015 0.0209279 0.0089767 0
0.116 0.0015 0.0218752 0.00894367 0
0.1165 0.0015 0.0205293 0.01063 0
0.117 0.0015 0.0216667 0.0084541 0
0.1175 0.0015 0.01741 0.00784105 0
0.118 0.0015 0.0225876 0.0114253 0
0.1185 0.0015 0.0269537 0.0137106 0
0.119 0.0015 0.0183114 0.00828435 0
0.1195 0.0015 0.0201442 0.00949074 0
0.12 0.0015 0.0287674 0.0127948 0
0.1205 0.0015 0.0239998 0.0132614 0
