# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=5000	 in_between=0
# fg_m=1	 fg_alpha=5	 fg_t_min=0	 fg_t_max=4	 fg_t_number=8000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=5000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0197076 0.0112855 0
0.0005 0.001 0.0192532 0.0106375 0
0.001 0.001 0.0211112 0.0121226 0
0.0015 0.001 0.0199906 0.00952473 0
0.002 0.001 0.0186877 0.0105942 0
0.0025 0.001 0.0198184 0.0111952 0
0.003 0.001 0.0190508 0.0104199 0
0.0035 0.001 0.018673 0.00957055 0
0.004 0.001 0.0197327 0.0101427 0
0.0045 0.001 0.0202856 0.0101878 0
0.005 0.001 0.0190102 0.0112054 0
0.0055 0.001 0.0187425 0.0096269 0
0.006 0.001 0.0199691 0.00923713 0
0.0065 0.001 0.0183733 0.00943485 0
0.007 0.001 0.0201872 0.0102054 0
0.0075 0.001 0.0194556 0.00990522 0
0.008 0.001 0.0215244 0.010464 0
0.0085 0.001 0.0203624 0.00940473 0
0.009 0.001 0.0215146 0.0116255 0
0.0095 0.001 0.0191055 0.00964421 0
0.01 0.001 0.020361 0.010818 0
0.0105 0.001 0.0220264 0.01147 0
0.011 0.001 0.019053 0.0107889 0
0.0115 0.001 0.0193547 0.0105381 0
0.012 0.001 0.0204178 0.0104456 0
0.0125 0.001 0.0201265 0.0112845 0
0.013 0.001 0.0192369 0.0105907 0
0.0135 0.001 0.0197943 0.00932745 0
0.014 0.001 0.020208 0.0103476 0
0.0145 0.001 0.0179876 0.00917721 0
0.015 0.001 0.0202487 0.0117947 0
0.0155 0.001 0.0224818 0.0117779 0
0.016 0.001 0.0178532 0.00969586 0
0.0165 0.001 0.019469 0.00950174 0
0.017 0.001 0.0209388 0.0112854 0
0.0175 0.001 0.0179968 0.00895202 0
0.018 0.001 0.0199576 0.0108419 0
0.0185 0.001 0.0211187 0.0113415 0
0.019 0.001 0.0199396 0.0111304 0
0.0195 0.001 0.0198754 0.010097 0
0.02 0.001 0.0200006 0.00972638 0
0.0205 0.001 0.0203151 0.0107946 0
0.021 0.001 0.0204463 0.0110671 0
0.0215 0.001 0.0205841 0.0103201 0
0.022 0.001 0.0190405 0.00895772 0
0.0225 0.001 0.0210317 0.0103794 0
0.023 0.001 0.0203036 0.010836 0
0.0235 0.001 0.0205303 0.0104899 0
0.024 0.001 0.0208897 0.0105708 0
0.0245 0.001 0.0202693 0.0117838 0
0.025 0.001 0.0181254 0.0103388 0
0.0255 0.001 0.0190168 0.00995992 0
0.026 0.001 0.0213326 0.0108307 0
0.0265 0.001 0.0210019 0.0109946 0
0.027 0.001 0.0195056 0.00974245 0
0.0275 0.001 0.0201532 0.0107701 0
0.028 0.001 0.0220315 0.0119535 0
0.0285 0.001 0.0219183 0.0118181 0
0.029 0.001 0.0197373 0.0103139 0
0.0295 0.001 0.0194114 0.00967313 0
0.03 0.001 0.0184549 0.00949146 0
0.0305 0.001 0.0207208 0.0109437 0
0.031 0.001 0.0191191 0.010515 0
0.0315 0.001 0.0199211 0.0109474 0
0.032 0.001 0.0206305 0.0112501 0
0.0325 0.001 0.0182798 0.00971955 0
0.033 0.001 0.0192409 0.00982633 0
0.0335 0.001 0.0198421 0.00944103 0
0.034 0.001 0.0195357 0.0107794 0
0.0345 0.001 0.0201615 0.011586 0
0.035 0.001 0.0199586 0.0112636 0
0.0355 0.001 0.0194451 0.0100462 0
0.036 0.001 0.0209629 0.0107469 0
0.0365 0.001 0.0227709 0.0115964 0
0.037 0.001 0.0210084 0.0106378 0
0.0375 0.001 0.0197961 0.0110513 0
0.038 0.001 0.0222013 0.009002 0
0.0385 0.001 0.0202874 0.00992461 0
0.039 0.001 0.0191947 0.00973205 0
0.0395 0.001 0.0193734 0.00984728 0
0.04 0.001 0.0208812 0.0107885 0
0.0405 0.001 0.0201982 0.0121265 0
0.041 0.001 0.0174984 0.00926729 0
0.0415 0.001 0.0196807 0.0109183 0
0.042 0.001 0.0201453 0.0103229 0
0.0425 0.001 0.0215651 0.0104966 0
0.043 0.001 0.0202156 0.0109402 0
0.0435 0.001 0.021782 0.0116795 0
0.044 0.001 0.0201146 0.0110621 0
0.0445 0.001 0.0217028 0.0106967 0
0.045 0.001 0.0190459 0.00971002 0
0.0455 0.001 0.0207299 0.0117247 0
0.046 0.001 0.0202765 0.00993845 0
0.0465 0.001 0.0207016 0.011401 0
0.047 0.001 0.0211578 0.0112863 0
0.0475 0.001 0.0218948 0.0114276 0
0.048 0.001 0.0211943 0.0118599 0
0.0485 0.001 0.0216903 0.0082354 0
0.049 0.001 0.0198841 0.0113252 0
0.0495 0.001 0.0197727 0.00998286 0
0.05 0.001 0.0174573 0.00830393 0
0.0505 0.001 0.0192447 0.00979072 0
0.051 0.001 0.0189097 0.0102034 0
0.0515 0.001 0.0195266 0.00975132 0
0.052 0.001 0.0216118 0.0113355 0
0.0525 0.001 0.0192892 0.0113245 0
0.053 0.001 0.019814 0.01015 0
0.0535 0.001 0.0209822 0.0112693 0
0.054 0.001 0.0192988 0.00907921 0
0.0545 0.001 0.0219433 0.0105434 0
0.055 0.001 0.0215209 0.00949169 0
0.0555 0.001 0.01996 0.0102386 0
0.056 0.001 0.0194171 0.00889384 0
0.0565 0.001 0.0201731 0.0101692 0
0.057 0.001 0.0193664 0.00985445 0
0.0575 0.001 0.0212178 0.0105315 0
0.058 0.001 0.0201998 0.0122419 0
0.0585 0.001 0.0219119 0.0111489 0
0.059 0.001 0.0211181 0.0109773 0
0.0595 0.001 0.0221619 0.0110322 0
0.06 0.001 0.0207912 0.0107987 0
