# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=-10	 fg_t_min=0	 fg_t_max=2	 fg_t_number=4000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0159512 0.00879109 0
0.0005 0.001 0.0220047 0.0105703 0
0.001 0.001 0.018992 0.010696 0
0.0015 0.001 0.0183429 0.0121811 0
0.002 0.001 0.0234477 0.0122166 0
0.0025 0.001 0.0181077 0.0102713 0
0.003 0.001 0.0189553 0.0107903 0
0.0035 0.001 0.0193356 0.0125838 0
0.004 0.001 0.0167199 0.00892654 0
0.0045 0.001 0.0220462 0.0115674 0
0.005 0.001 0.0218762 0.0116038 0
0.0055 0.001 0.0207388 0.0108038 0
0.006 0.001 0.0192004 0.0137915 0
0.0065 0.001 0.0204685 0.0110569 0
0.007 0.001 0.022316 0.0133838 0
0.0075 0.001 0.0181976 0.009701 0
0.008 0.001 0.0233818 0.010103 0
0.0085 0.001 0.021061 0.0103533 0
0.009 0.001 0.0197835 0.00819299 0
0.0095 0.001 0.0186005 0.00833374 0
0.01 0.001 0.0207188 0.0109681 0
0.0105 0.001 0.0207775 0.0124097 0
0.011 0.001 0.0187875 0.0113372 0
0.0115 0.001 0.0176983 0.00918407 0
0.012 0.001 0.0163547 0.007622 0
0.0125 0.001 0.019773 0.0107225 0
0.013 0.001 0.0209019 0.00981984 0
0.0135 0.001 0.0156342 0.00937533 0
0.014 0.001 0.0191437 0.0139758 0
0.0145 0.001 0.026879 0.0109661 0
0.015 0.001 0.0198742 0.00978757 0
0.0155 0.001 0.0203005 0.0100675 0
0.016 0.001 0.0183315 0.0118794 0
0.0165 0.001 0.0227587 0.0108279 0
0.017 0.001 0.0161451 0.00823743 0
0.0175 0.001 0.0197799 0.00939881 0
0.018 0.001 0.0198106 0.00935628 0
0.0185 0.001 0.0172575 0.0103657 0
0.019 0.001 0.0195075 0.0122211 0
0.0195 0.001 0.0208575 0.0111602 0
0.02 0.001 0.0211623 0.00925986 0
0.0205 0.001 0.0217933 0.00915372 0
0.021 0.001 0.0183535 0.0104489 0
0.0215 0.001 0.018952 0.00929257 0
0.022 0.001 0.0197814 0.0110512 0
0.0225 0.001 0.0200779 0.00970249 0
0.023 0.001 0.0223171 0.0121879 0
0.0235 0.001 0.0227631 0.0104494 0
0.024 0.001 0.0201624 0.00915456 0
