# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=-10	 fg_t_min=0	 fg_t_max=1.5	 fg_t_number=3000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0159512 0.00879109 0
0.0005 0.001 0.0221373 0.0105714 0
0.001 0.001 0.0189309 0.0108513 0
0.0015 0.001 0.0184026 0.0121564 0
0.002 0.001 0.0237243 0.0119568 0
0.0025 0.001 0.0181984 0.0101245 0
0.003 0.001 0.0189838 0.0107837 0
0.0035 0.001 0.0196361 0.0120357 0
0.004 0.001 0.0179581 0.00958471 0
0.0045 0.001 0.0219707 0.0109419 0
0.005 0.001 0.0212774 0.0121557 0
0.0055 0.001 0.0197895 0.0102761 0
0.006 0.001 0.0183215 0.0133177 0
0.0065 0.001 0.0213462 0.0103475 0
0.007 0.001 0.0227935 0.0136096 0
0.0075 0.001 0.0179643 0.00935098 0
0.008 0.001 0.0227708 0.0108739 0
0.0085 0.001 0.0206295 0.00954174 0
0.009 0.001 0.0197568 0.00872119 0
0.0095 0.001 0.0182504 0.00879518 0
0.01 0.0015 0.020425 0.0101992 0
0.0105 0.0015 0.0219795 0.0134377 0
0.011 0.0015 0.0182652 0.01015 0
0.0115 0.0015 0.0169854 0.00924629 0
0.012 0.0015 0.0165767 0.00969315 0
0.0125 0.0015 0.0228003 0.0103792 0
0.013 0.0015 0.0219138 0.00936578 0
0.0135 0.0015 0.0148747 0.00714775 0
0.014 0.0015 0.0186191 0.0110663 0
0.0145 0.0015 0.0275938 0.0102884 0
0.015 0.0015 0.0176124 0.00949876 0
0.0155 0.0015 0.0192689 0.0107536 0
0.016 0.0015 0.0186174 0.0105102 0
0.0165 0.0015 0.0213832 0.0111439 0
0.017 0.0015 0.018313 0.00939722 0
0.0175 0.0015 0.0195634 0.00988605 0
0.018 0.0015 0.0203375 0.00971869 0
0.0185 0.0015 0.0188933 0.0093468 0
0.019 0.0015 0.019764 0.0102876 0
0.0195 0.0015 0.018335 0.00822649 0
0.02 0.0015 0.0216365 0.0113879 0
0.0205 0.0015 0.0206544 0.0112511 0
0.021 0.0015 0.0181889 0.0089183 0
0.0215 0.0015 0.0204688 0.0112029 0
0.022 0.0015 0.0213161 0.0102808 0
0.0225 0.0015 0.0185352 0.00887433 0
0.023 0.0015 0.021123 0.00996651 0
0.0235 0.0015 0.0187257 0.0110878 0
0.024 0.0015 0.01985 0.00967945 0
0.0245 0.0015 0.022064 0.00882859 0
0.025 0.0015 0.0205217 0.0102405 0
0.0255 0.0015 0.0206466 0.0108438 0
0.026 0.0015 0.0175934 0.0105013 0
0.0265 0.0015 0.0212597 0.0116048 0
0.027 0.0015 0.0208683 0.0119051 0
0.0275 0.0015 0.0212397 0.00938324 0
0.028 0.0015 0.0173767 0.00763345 0
0.0285 0.0015 0.0225981 0.00932796 0
0.029 0.0015 0.018951 0.0125215 0
0.0295 0.0015 0.0248761 0.0117649 0
0.03 0.0015 0.0211736 0.00974571 0
0.0305 0.0015 0.0187041 0.0077139 0
0.031 0.0015 0.0187574 0.00763871 0
0.0315 0.0015 0.0235452 0.00899604 0
0.032 0.0015 0.018817 0.00895892 0
0.0325 0.0015 0.0193902 0.00909194 0
0.033 0.0015 0.0148768 0.00933907 0
0.0335 0.0015 0.0207197 0.00847396 0
0.034 0.0015 0.0130236 0.0077122 0
0.0345 0.0015 0.0181147 0.00828531 0
0.035 0.0015 0.0203775 0.0115975 0
0.0355 0.0015 0.0214479 0.0103764 0
0.036 0.0015 0.0193843 0.00976625 0
0.0365 0.0015 0.0173891 0.00854855 0
0.037 0.0015 0.0156712 0.00723502 0
0.0375 0.0015 0.0179745 0.00865325 0
0.038 0.0015 0.0215437 0.00888315 0
0.0385 0.0015 0.0234281 0.010471 0
0.039 0.0015 0.019582 0.0084647 0
0.0395 0.0015 0.0180632 0.00921112 0
0.04 0.0015 0.0203337 0.0112234 0
0.0405 0.0015 0.0201539 0.0112915 0
0.041 0.0015 0.0204306 0.0100798 0
0.0415 0.0015 0.022785 0.0112874 0
0.042 0.0015 0.0218715 0.00967707 0
0.0425 0.0015 0.0198396 0.0105297 0
0.043 0.0015 0.0229772 0.0119185 0
0.0435 0.0015 0.0208227 0.0106441 0
0.044 0.0015 0.0187428 0.00799181 0
0.0445 0.0015 0.0216469 0.010638 0
0.045 0.0015 0.0247263 0.0126567 0
0.0455 0.0015 0.0201969 0.00917887 0
0.046 0.0015 0.0209967 0.0104931 0
0.0465 0.0015 0.0209601 0.0100864 0
0.047 0.0015 0.025025 0.0112064 0
0.0475 0.0015 0.0181252 0.00976315 0
0.048 0.0015 0.0194479 0.0118557 0
0.0485 0.0015 0.0177659 0.0113295 0
0.049 0.0015 0.0172142 0.00860768 0
0.0495 0.0015 0.0223534 0.0100667 0
0.05 0.0015 0.0160181 0.00634949 0
0.0505 0.0015 0.0217558 0.0105111 0
0.051 0.0015 0.0230299 0.00991816 0
0.0515 0.0015 0.020184 0.00870864 0
0.052 0.0015 0.0201573 0.0106918 0
0.0525 0.0015 0.0252552 0.013713 0
0.053 0.0015 0.0228737 0.0102044 0
0.0535 0.0015 0.0223927 0.0138991 0
0.054 0.0015 0.0202683 0.0106652 0
0.0545 0.0015 0.0232939 0.0109715 0
0.055 0.0015 0.0237044 0.011518 0
0.0555 0.0015 0.0187511 0.00865095 0
0.056 0.0015 0.0198203 0.0109303 0
0.0565 0.0015 0.0236433 0.0107758 0
0.057 0.0015 0.0222894 0.0123074 0
0.0575 0.0015 0.0198871 0.010767 0
0.058 0.0015 0.0235458 0.0114976 0
0.0585 0.0015 0.0161474 0.00742625 0
0.059 0.0015 0.0239834 0.0126476 0
0.0595 0.0015 0.0225903 0.010601 0
0.06 0.0015 0.0203364 0.0109641 0
0.0605 0.0015 0.0252075 0.0129545 0
0.061 0.0015 0.0236993 0.0116971 0
0.0615 0.0015 0.0207337 0.0096064 0
0.062 0.0015 0.0175092 0.00662185 0
0.0625 0.0015 0.0172482 0.00794419 0
0.063 0.0015 0.0233746 0.0100794 0
0.0635 0.0015 0.0218911 0.0100561 0
0.064 0.0015 0.0220779 0.0120673 0
0.0645 0.0015 0.0245547 0.0125657 0
0.065 0.0015 0.0220728 0.0101392 0
0.0655 0.0015 0.0187879 0.0114969 0
0.066 0.0015 0.0188062 0.0103704 0
0.0665 0.0015 0.0200984 0.00965664 0
0.067 0.0015 0.0194663 0.0101264 0
0.0675 0.0015 0.0266504 0.0108175 0
0.068 0.0015 0.0242112 0.0110134 0
0.0685 0.002 0.0174315 0.00955977 0
0.069 0.002 0.0231844 0.00839784 0
0.0695 0.002 0.0170955 0.00625927 0
0.07 0.002 0.0208877 0.0119396 0
0.0705 0.002 0.0221588 0.0134465 0
0.071 0.002 0.0212031 0.0117262 0
0.0715 0.002 0.0220547 0.0114736 0
0.072 0.002 0.0215598 0.010331 0
0.0725 0.002 0.0183479 0.00890302 0
0.073 0.002 0.0213689 0.011346 0
0.0735 0.002 0.0183134 0.00728546 0
0.074 0.002 0.0265119 0.0112351 0
0.0745 0.002 0.0200611 0.0101384 0
0.075 0.002 0.0226261 0.0106899 0
0.0755 0.002 0.0173388 0.00775294 0
0.076 0.002 0.0192564 0.0122235 0
0.0765 0.002 0.0277178 0.0151155 0
0.077 0.002 0.0186751 0.00812109 0
0.0775 0.002 0.022123 0.0107385 0
0.078 0.002 0.0249722 0.0137677 0
0.0785 0.002 0.0218616 0.0108876 0
0.079 0.002 0.0201801 0.0111839 0
0.0795 0.002 0.028644 0.0135715 0
0.08 0.002 0.0201346 0.0107118 0
0.0805 0.002 0.0211138 0.009568 0
0.081 0.002 0.0229401 0.0105665 0
0.0815 0.002 0.0235077 0.0117831 0
0.082 0.002 0.0185665 0.00952714 0
0.0825 0.002 0.024985 0.0094606 0
0.083 0.002 0.0202198 0.0138178 0
0.0835 0.002 0.0187726 0.00835676 0
0.084 0.002 0.0181289 0.0111774 0
0.0845 0.002 0.0208853 0.0144245 0
0.085 0.002 0.0185453 0.0118632 0
0.0855 0.002 0.0193919 0.00987827 0
0.086 0.002 0.0240608 0.0110227 0
0.0865 0.002 0.0229631 0.00924061 0
0.087 0.002 0.0223704 0.0102771 0
0.0875 0.002 0.0253485 0.0106045 0
0.088 0.002 0.0180311 0.00850188 0
0.0885 0.002 0.0167399 0.0106331 0
0.089 0.002 0.025273 0.0133488 0
0.0895 0.002 0.0172943 0.0108651 0
0.09 0.002 0.0233298 0.012896 0
0.0905 0.002 0.0254326 0.0116255 0
0.091 0.002 0.0254258 0.0130239 0
0.0915 0.002 0.0216193 0.0094582 0
0.092 0.002 0.0200824 0.0092616 0
0.0925 0.002 0.0246069 0.0112252 0
0.093 0.002 0.0201448 0.00966854 0
0.0935 0.002 0.0186246 0.0102911 0
0.094 0.002 0.0254715 0.012331 0
0.0945 0.002 0.0200206 0.00968604 0
0.095 0.002 0.0225873 0.0109887 0
0.0955 0.002 0.0210208 0.0114932 0
0.096 0.002 0.0290987 0.0148266 0
0.0965 0.002 0.0175663 0.00891865 0
0.097 0.002 0.0262102 0.0165947 0
0.0975 0.002 0.0221288 0.0103729 0
0.098 0.002 0.0222171 0.0125071 0
0.0985 0.002 0.0196046 0.0111267 0
0.099 0.002 0.0249858 0.0119101 0
0.0995 0.002 0.0217697 0.0101987 0
0.1 0.002 0.0211035 0.0102901 0
0.1005 0.002 0.0212382 0.00861051 0
0.101 0.002 0.0194846 0.0106867 0
0.1015 0.002 0.023728 0.0133653 0
0.102 0.002 0.0240792 0.0131582 0
0.1025 0.002 0.0211452 0.0147321 0
0.103 0.002 0.0206523 0.0112061 0
0.1035 0.002 0.0176821 0.0127693 0
0.104 0.002 0.0229441 0.00940845 0
0.1045 0.002 0.0180236 0.0125351 0
0.105 0.002 0.0175013 0.00950047 0
0.1055 0.002 0.0214598 0.0120242 0
0.106 0.002 0.0263863 0.0104187 0
0.1065 0.002 0.0214647 0.0110869 0
0.107 0.002 0.0225773 0.0119977 0
0.1075 0.002 0.020489 0.0114384 0
0.108 0.002 0.021053 0.0131367 0
0.1085 0.002 0.0261125 0.0129703 0
0.109 0.002 0.022144 0.0103882 0
0.1095 0.002 0.0279342 0.0141011 0
0.11 0.002 0.0236995 0.0113995 0
0.1105 0.002 0.0206608 0.00997747 0
0.111 0.002 0.0244224 0.0121681 0
0.1115 0.002 0.0210227 0.0100028 0
0.112 0.002 0.0229061 0.0101912 0
0.1125 0.002 0.0206416 0.00773441 0
0.113 0.002 0.02207 0.0128572 0
0.1135 0.002 0.0231661 0.0128972 0
0.114 0.003 0.0258659 0.0121005 0
0.1145 0.003 0.0238025 0.0124492 0
0.115 0.003 0.022567 0.00984773 0
0.1155 0.003 0.0240877 0.0105559 0
0.116 0.003 0.0212277 0.0123754 0
0.1165 0.003 0.0232161 0.0102709 0
0.117 0.003 0.0173447 0.0086874 0
0.1175 0.003 0.0213825 0.0097128 0
0.118 0.003 0.0265282 0.0100569 0
0.1185 0.003 0.0231815 0.010801 0
0.119 0.003 0.0241083 0.0137675 0
0.1195 0.003 0.0205988 0.0103429 0
0.12 0.003 0.0294464 0.014188 0
0.1205 0.003 0.0205853 0.00908041 0
0.121 0.003 0.0171748 0.00667915 0
0.1215 0.003 0.021148 0.0115584 0
0.122 0.003 0.0232424 0.0116833 0
0.1225 0.003 0.0165763 0.0100084 0
0.123 0.003 0.0174364 0.00814018 0
0.1235 0.003 0.0246164 0.0134766 0
0.124 0.003 0.0179696 0.00971524 0
0.1245 0.003 0.0172532 0.00848824 0
0.125 0.003 0.0211347 0.00871267 0
0.1255 0.003 0.0222535 0.0108604 0
0.126 0.003 0.0199326 0.00973988 0
0.1265 0.003 0.0255302 0.0106908 0
0.127 0.003 0.0208501 0.0103195 0
0.1275 0.003 0.0171072 0.00942894 0
0.128 0.003 0.0193315 0.0128732 0
0.1285 0.003 0.0204109 0.0113595 0
0.129 0.003 0.0288782 0.0151511 0
0.1295 0.003 0.022659 0.00963333 0
0.13 0.003 0.0250685 0.0132263 0
0.1305 0.003 0.0199814 0.0121807 0
0.131 0.003 0.0254229 0.0120414 0
0.1315 0.003 0.0250236 0.00988994 0
0.132 0.003 0.0241445 0.0102806 0
0.1325 0.003 0.0193616 0.0099418 0
0.133 0.003 0.0223872 0.0127299 0
0.1335 0.003 0.0226505 0.0121649 0
0.134 0.003 0.0220468 0.00901578 0
0.1345 0.003 0.0256719 0.0156653 0
0.135 0.003 0.0203522 0.0102466 0
0.1355 0.003 0.0208822 0.0109396 0
0.136 0.003 0.0250938 0.0128212 0
0.1365 0.003 0.0147126 0.00865226 0
0.137 0.003 0.0247409 0.0120425 0
0.1375 0.003 0.0193318 0.0118097 0
0.138 0.003 0.0265993 0.0152937 0
