# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=-20	 fg_t_min=0	 fg_t_max=1.5	 fg_t_number=3000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0159512 0.00879109 0
0.0005 0.001 0.0223489 0.0111282 0
0.001 0.001 0.0194783 0.0105851 0
0.0015 0.001 0.0178618 0.0123253 0
0.002 0.001 0.0237725 0.0125821 0
0.0025 0.001 0.0182298 0.0103134 0
0.003 0.001 0.018947 0.0107677 0
0.0035 0.001 0.0197155 0.0117925 0
0.004 0.001 0.0167072 0.00953338 0
0.0045 0.001 0.0221207 0.0121367 0
0.005 0.001 0.0218067 0.0107554 0
0.0055 0.001 0.0206791 0.0105133 0
0.006 0.001 0.0173101 0.0121923 0
0.0065 0.001 0.0200689 0.0108626 0
0.007 0.001 0.0241416 0.0134828 0
0.0075 0.001 0.0170096 0.0103177 0
0.008 0.001 0.0228572 0.0112273 0
0.0085 0.001 0.0220068 0.0102776 0
0.009 0.001 0.0189931 0.00793171 0
0.0095 0.001 0.0188141 0.00839778 0
0.01 0.001 0.0220464 0.0114311 0
0.0105 0.001 0.0218395 0.0132473 0
0.011 0.001 0.0172172 0.00949577 0
0.0115 0.001 0.0178955 0.00854789 0
0.012 0.001 0.0166107 0.00834237 0
0.0125 0.001 0.0214138 0.0108015 0
0.013 0.001 0.0225082 0.0110473 0
0.0135 0.001 0.0160254 0.0104898 0
0.014 0.001 0.018621 0.0109065 0
0.0145 0.001 0.0251973 0.0110063 0
0.015 0.001 0.0217596 0.00973657 0
0.0155 0.001 0.0192345 0.0111223 0
0.016 0.001 0.0178492 0.00975315 0
0.0165 0.0015 0.0210124 0.0125127 0
0.017 0.0015 0.0179689 0.0111351 0
0.0175 0.0015 0.0205303 0.0105199 0
0.018 0.0015 0.0219458 0.00862754 0
0.0185 0.0015 0.017885 0.0080057 0
0.019 0.0015 0.0174661 0.0096477 0
0.0195 0.0015 0.0182037 0.00682854 0
0.02 0.0015 0.0208824 0.00862314 0
0.0205 0.0015 0.0226948 0.0105139 0
0.021 0.0015 0.0193743 0.00997185 0
0.0215 0.0015 0.0209972 0.0100936 0
0.022 0.0015 0.0196144 0.0117084 0
0.0225 0.0015 0.0181492 0.00757611 0
0.023 0.0015 0.0221461 0.0112998 0
0.0235 0.0015 0.0234439 0.0115604 0
0.024 0.0015 0.0183063 0.0096102 0
0.0245 0.0015 0.0193485 0.0108298 0
0.025 0.0015 0.0183466 0.0112254 0
0.0255 0.0015 0.0207777 0.0123016 0
0.026 0.0015 0.0193829 0.010947 0
0.0265 0.0015 0.0202184 0.0110194 0
0.027 0.0015 0.0195399 0.0107683 0
0.0275 0.0015 0.0187734 0.00909436 0
0.028 0.0015 0.0174382 0.00735945 0
0.0285 0.0015 0.0201191 0.00916091 0
0.029 0.0015 0.0179841 0.00983776 0
0.0295 0.0015 0.0246094 0.0108994 0
0.03 0.0015 0.0221608 0.0113343 0
0.0305 0.0015 0.0189013 0.00930645 0
0.031 0.0015 0.0218254 0.00949128 0
0.0315 0.0015 0.0223782 0.00865256 0
0.032 0.0015 0.0205578 0.0146406 0
0.0325 0.0015 0.0197443 0.0101651 0
0.033 0.0015 0.0197459 0.00975604 0
0.0335 0.0015 0.0210726 0.00900247 0
0.034 0.0015 0.013918 0.00857006 0
0.0345 0.0015 0.0220663 0.0113203 0
0.035 0.0015 0.0267697 0.011884 0
0.0355 0.0015 0.0224614 0.0107048 0
0.036 0.0015 0.0194327 0.00809822 0
0.0365 0.0015 0.0162124 0.0102384 0
0.037 0.0015 0.0150861 0.00719485 0
0.0375 0.0015 0.0190819 0.0107336 0
0.038 0.0015 0.0214522 0.00957624 0
0.0385 0.0015 0.0219432 0.00997427 0
0.039 0.0015 0.016709 0.00822495 0
0.0395 0.0015 0.0217871 0.0108143 0
0.04 0.0015 0.0204172 0.00988186 0
