# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=5000	 in_between=0
# fg_m=1	 fg_alpha=20	 fg_t_min=0	 fg_t_max=4	 fg_t_number=8000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=5000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0197076 0.0112855 0
0.0005 0.001 0.0192914 0.0107503 0
0.001 0.001 0.0210158 0.0117365 0
0.0015 0.001 0.0202785 0.00971488 0
0.002 0.001 0.0186781 0.0106348 0
0.0025 0.001 0.0202395 0.011386 0
0.003 0.001 0.018753 0.010446 0
0.0035 0.001 0.0185958 0.00940659 0
0.004 0.001 0.0195392 0.00974046 0
0.0045 0.001 0.020246 0.0100941 0
0.005 0.001 0.019098 0.0111966 0
0.0055 0.001 0.0183481 0.00964375 0
0.006 0.001 0.019886 0.00925734 0
0.0065 0.001 0.0182052 0.00969305 0
0.007 0.001 0.0200559 0.00992785 0
0.0075 0.001 0.0195027 0.00942065 0
0.008 0.001 0.0207985 0.0105812 0
0.0085 0.001 0.0200992 0.00898151 0
0.009 0.001 0.0205782 0.0117176 0
0.0095 0.001 0.0196801 0.0098626 0
0.01 0.001 0.019955 0.0107324 0
0.0105 0.001 0.0222956 0.0119271 0
0.011 0.001 0.0198644 0.0104245 0
0.0115 0.001 0.0194898 0.0105601 0
0.012 0.001 0.0208516 0.0103646 0
0.0125 0.001 0.0202791 0.0100613 0
0.013 0.001 0.0192879 0.0108816 0
0.0135 0.001 0.0190101 0.00956786 0
0.014 0.001 0.0193468 0.010154 0
0.0145 0.001 0.0175566 0.00884903 0
0.015 0.001 0.0201067 0.0103272 0
0.0155 0.001 0.0225427 0.0114114 0
0.016 0.001 0.0191309 0.0107562 0
0.0165 0.001 0.0193175 0.00957614 0
0.017 0.001 0.0200332 0.0109824 0
0.0175 0.001 0.0191577 0.00923634 0
0.018 0.001 0.0216531 0.0109528 0
0.0185 0.001 0.0194346 0.0105571 0
0.019 0.001 0.0195054 0.0103546 0
0.0195 0.001 0.0200747 0.0106884 0
0.02 0.001 0.0194062 0.0102237 0
0.0205 0.001 0.0199328 0.0100339 0
0.021 0.001 0.0201656 0.0101637 0
0.0215 0.001 0.019818 0.0107337 0
0.022 0.001 0.0197869 0.00992142 0
0.0225 0.001 0.0212489 0.0114345 0
0.023 0.001 0.0207101 0.0108639 0
0.0235 0.001 0.019932 0.0103967 0
0.024 0.001 0.0203834 0.0106073 0
0.0245 0.001 0.0183497 0.0110296 0
0.025 0.001 0.0191788 0.0107389 0
0.0255 0.001 0.0190855 0.00978615 0
0.026 0.001 0.0220078 0.0118068 0
0.0265 0.001 0.0190185 0.00945682 0
0.027 0.001 0.0194341 0.00873315 0
0.0275 0.001 0.0194082 0.0103752 0
0.028 0.001 0.0213297 0.0105679 0
0.0285 0.001 0.0223577 0.0112704 0
0.029 0.001 0.0189913 0.00973494 0
0.0295 0.001 0.0184112 0.0109594 0
0.03 0.001 0.0181792 0.00888181 0
0.0305 0.001 0.021496 0.0117106 0
0.031 0.001 0.0190485 0.00880003 0
0.0315 0.001 0.0191372 0.0101965 0
0.032 0.001 0.0216513 0.0105784 0
0.0325 0.001 0.0194628 0.00989222 0
0.033 0.001 0.02094 0.0104179 0
0.0335 0.001 0.0188362 0.00924438 0
0.034 0.001 0.0200179 0.0106328 0
0.0345 0.001 0.0190748 0.0108324 0
0.035 0.001 0.0207082 0.0102122 0
0.0355 0.001 0.0187201 0.0109902 0
0.036 0.001 0.0216882 0.0103136 0
0.0365 0.001 0.0216186 0.011385 0
0.037 0.001 0.0205212 0.0108554 0
0.0375 0.001 0.0201042 0.010183 0
0.038 0.001 0.0205825 0.00956397 0
0.0385 0.001 0.0192097 0.00906183 0
0.039 0.001 0.0206318 0.0106727 0
0.0395 0.001 0.0194311 0.00964875 0
0.04 0.001 0.0207298 0.0109206 0
0.0405 0.001 0.0207085 0.0119233 0
0.041 0.001 0.0184371 0.0107048 0
0.0415 0.001 0.0212698 0.0117291 0
0.042 0.001 0.0187618 0.00991608 0
0.0425 0.001 0.0214508 0.00898591 0
0.043 0.001 0.0221504 0.0114742 0
0.0435 0.001 0.0210394 0.0106875 0
0.044 0.001 0.0201731 0.0110271 0
0.0445 0.001 0.0213802 0.00981462 0
0.045 0.001 0.0198397 0.00987745 0
0.0455 0.001 0.0195787 0.0104878 0
0.046 0.001 0.0212951 0.0104255 0
0.0465 0.001 0.018729 0.0101936 0
0.047 0.001 0.0203443 0.0108407 0
0.0475 0.001 0.0206952 0.010279 0
0.048 0.001 0.0222225 0.011379 0
0.0485 0.001 0.0191505 0.00969559 0
0.049 0.001 0.0197776 0.0110646 0
0.0495 0.001 0.0198373 0.011042 0
0.05 0.001 0.0189489 0.00975116 0
0.0505 0.001 0.0205183 0.00971617 0
0.051 0.001 0.0173414 0.00955764 0
0.0515 0.001 0.0192767 0.0105924 0
0.052 0.001 0.0212893 0.0105612 0
0.0525 0.001 0.0184449 0.0102491 0
0.053 0.001 0.02004 0.0102472 0
0.0535 0.001 0.0205658 0.0103596 0
0.054 0.001 0.0190565 0.00853017 0
0.0545 0.001 0.0202555 0.0110953 0
0.055 0.001 0.0197695 0.00925504 0
0.0555 0.001 0.0197804 0.0100514 0
