# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=5000	 in_between=0
# fg_m=1	 fg_alpha=5	 fg_t_min=0	 fg_t_max=4	 fg_t_number=8000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=5000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0197076 0.0112855 0
0.0005 0.001 0.0192557 0.0106339 0
0.001 0.001 0.0211108 0.0121345 0
0.0015 0.001 0.0199889 0.00952832 0
0.002 0.001 0.0186913 0.0106322 0
0.0025 0.001 0.019923 0.0113166 0
0.003 0.001 0.0189957 0.0103383 0
0.0035 0.001 0.0188196 0.00966901 0
0.004 0.001 0.0198637 0.0103317 0
0.0045 0.001 0.0203604 0.0100326 0
0.005 0.001 0.0188552 0.0109775 0
0.0055 0.001 0.0189461 0.00944123 0
0.006 0.001 0.0197883 0.00929358 0
0.0065 0.001 0.0182813 0.00952045 0
0.007 0.001 0.0203939 0.0101858 0
0.0075 0.001 0.0195148 0.0100479 0
0.008 0.001 0.0215365 0.0103953 0
0.0085 0.001 0.0205135 0.00933172 0
0.009 0.001 0.0215244 0.0117476 0
0.0095 0.001 0.0193269 0.00941426 0
0.01 0.001 0.0201717 0.0108604 0
0.0105 0.001 0.0216599 0.0112979 0
0.011 0.001 0.0191002 0.0108142 0
0.0115 0.001 0.0196147 0.0108018 0
0.012 0.001 0.0203413 0.0106357 0
0.0125 0.001 0.02013 0.0113809 0
0.013 0.001 0.0191632 0.010618 0
0.0135 0.001 0.0195972 0.00954253 0
0.014 0.001 0.0200327 0.0101426 0
0.0145 0.001 0.0181252 0.00922202 0
0.015 0.001 0.0202652 0.0116257 0
0.0155 0.001 0.0223349 0.0114645 0
0.016 0.001 0.0182654 0.0096987 0
0.0165 0.001 0.0197925 0.00979819 0
0.017 0.001 0.0207948 0.0116335 0
0.0175 0.001 0.0183328 0.00901077 0
0.018 0.001 0.0201245 0.0109166 0
0.0185 0.001 0.0216513 0.0116276 0
0.019 0.001 0.0204628 0.0110464 0
0.0195 0.001 0.0196083 0.0100203 0
0.02 0.001 0.0199053 0.00985747 0
0.0205 0.001 0.0200438 0.0106646 0
0.021 0.001 0.0206588 0.0112361 0
0.0215 0.001 0.0206254 0.0102401 0
0.022 0.001 0.01921 0.0090895 0
0.0225 0.001 0.0212175 0.0104255 0
0.023 0.001 0.020663 0.0109213 0
0.0235 0.001 0.0205947 0.0105817 0
0.024 0.001 0.0207065 0.0106017 0
0.0245 0.001 0.0202645 0.0121241 0
0.025 0.001 0.0177977 0.0103245 0
0.0255 0.001 0.0190144 0.0100835 0
0.026 0.001 0.0212694 0.0110118 0
0.0265 0.001 0.0207253 0.0111622 0
0.027 0.001 0.0193228 0.00966519 0
0.0275 0.001 0.0204623 0.0108137 0
0.028 0.001 0.0222566 0.0121388 0
0.0285 0.001 0.0219962 0.0118413 0
0.029 0.001 0.0198658 0.0100444 0
0.0295 0.001 0.0195065 0.00962454 0
0.03 0.001 0.0184232 0.00961471 0
0.0305 0.001 0.0208488 0.0108773 0
0.031 0.001 0.0193689 0.0103895 0
0.0315 0.001 0.020156 0.0110607 0
0.032 0.001 0.0206047 0.0110253 0
0.0325 0.001 0.0186562 0.0102069 0
0.033 0.001 0.0192157 0.00988191 0
0.0335 0.001 0.0200414 0.0095532 0
0.034 0.001 0.0196473 0.0107146 0
0.0345 0.001 0.0206592 0.0117787 0
0.035 0.001 0.0196179 0.0111465 0
0.0355 0.001 0.0191487 0.00993825 0
0.036 0.001 0.0209315 0.010898 0
0.0365 0.001 0.0229156 0.0116255 0
0.037 0.001 0.0212873 0.0111222 0
0.0375 0.001 0.0197644 0.0110816 0
0.038 0.001 0.0213573 0.00924957 0
0.0385 0.001 0.0205362 0.0107396 0
0.039 0.001 0.0191561 0.00940469 0
0.0395 0.001 0.0193931 0.0101526 0
0.04 0.001 0.0211445 0.0106855 0
0.0405 0.001 0.0204691 0.0116041 0
0.041 0.001 0.0184497 0.00975076 0
0.0415 0.001 0.0205291 0.0113215 0
0.042 0.001 0.0212893 0.0105049 0
0.0425 0.001 0.0212416 0.0110233 0
0.043 0.001 0.0208573 0.0109115 0
0.0435 0.001 0.0217829 0.0114473 0
0.044 0.001 0.0212643 0.0114527 0
0.0445 0.001 0.0211781 0.0106908 0
0.045 0.001 0.0195268 0.0098168 0
0.0455 0.001 0.0208027 0.0111546 0
0.046 0.001 0.0208437 0.0100863 0
0.0465 0.001 0.0210499 0.0119669 0
0.047 0.001 0.020968 0.0113648 0
0.0475 0.001 0.0225816 0.0116347 0
0.048 0.001 0.021661 0.0118666 0
0.0485 0.001 0.0218641 0.00872934 0
0.049 0.001 0.0205326 0.0114338 0
0.0495 0.001 0.0200415 0.0099516 0
0.05 0.001 0.0174183 0.00855251 0
0.0505 0.001 0.0197915 0.00993516 0
0.051 0.001 0.0181041 0.0099001 0
0.0515 0.001 0.0197701 0.0102598 0
0.052 0.001 0.0216946 0.0117252 0
0.0525 0.001 0.0199045 0.012059 0
0.053 0.001 0.0203067 0.0108679 0
0.0535 0.001 0.021825 0.011262 0
0.054 0.001 0.019195 0.00985389 0
0.0545 0.001 0.0225664 0.0111748 0
0.055 0.001 0.0217464 0.00982291 0
0.0555 0.001 0.0200405 0.0108219 0
0.056 0.001 0.0199851 0.00880129 0
0.0565 0.001 0.0202843 0.0100417 0
0.057 0.001 0.0197146 0.010337 0
0.0575 0.001 0.0208373 0.0104136 0
0.058 0.001 0.0207217 0.0123714 0
0.0585 0.001 0.0224314 0.0112718 0
0.059 0.001 0.021115 0.0108052 0
0.0595 0.001 0.0214341 0.0109206 0
0.06 0.001 0.0222084 0.0107779 0
0.0605 0.001 0.0209286 0.0110528 0
0.061 0.001 0.0203384 0.0113349 0
0.0615 0.001 0.0195724 0.0097692 0
0.062 0.001 0.0218508 0.0109743 0
0.0625 0.001 0.0218613 0.0108476 0
0.063 0.001 0.0208752 0.011003 0
0.0635 0.001 0.0186158 0.00992768 0
0.064 0.001 0.0226255 0.0116962 0
0.0645 0.001 0.0199802 0.0102601 0
0.065 0.001 0.0198277 0.0102879 0
0.0655 0.001 0.0204569 0.0106496 0
0.066 0.001 0.0212464 0.0128029 0
0.0665 0.001 0.0206379 0.0100213 0
0.067 0.001 0.0193347 0.0113668 0
0.0675 0.001 0.0222278 0.0114852 0
0.068 0.001 0.0199113 0.0114094 0
0.0685 0.001 0.0217146 0.0109595 0
0.069 0.001 0.0200328 0.0108618 0
0.0695 0.001 0.0192828 0.0101215 0
0.07 0.001 0.0196577 0.0109302 0
0.0705 0.001 0.0207924 0.0113404 0
0.071 0.001 0.0209616 0.0110365 0
0.0715 0.001 0.0202355 0.0119026 0
0.072 0.001 0.0174028 0.00908931 0
0.0725 0.001 0.0206015 0.0108405 0
0.073 0.001 0.0198496 0.0105885 0
0.0735 0.001 0.0210402 0.0119093 0
0.074 0.001 0.020442 0.00983268 0
0.0745 0.001 0.0205584 0.0107119 0
0.075 0.001 0.0208611 0.012302 0
0.0755 0.001 0.0201983 0.0112171 0
0.076 0.001 0.0199853 0.0101422 0
0.0765 0.001 0.0213378 0.0123632 0
0.077 0.001 0.02105 0.00981484 0
0.0775 0.001 0.0199364 0.00902868 0
0.078 0.001 0.0218749 0.0122894 0
0.0785 0.001 0.0208117 0.0115338 0
0.079 0.001 0.0187585 0.0100289 0
0.0795 0.001 0.0215821 0.0115207 0
0.08 0.001 0.0213138 0.00989941 0
0.0805 0.001 0.0210461 0.0133766 0
0.081 0.001 0.0196675 0.00964395 0
0.0815 0.001 0.0223855 0.0126982 0
0.082 0.001 0.0217796 0.0114981 0
0.0825 0.001 0.0226181 0.0117692 0
0.083 0.001 0.0232907 0.0110753 0
0.0835 0.001 0.0221457 0.0108951 0
0.084 0.001 0.0205931 0.0095183 0
0.0845 0.001 0.0207322 0.0102905 0
0.085 0.001 0.0190323 0.010112 0
0.0855 0.001 0.0198066 0.0105644 0
0.086 0.001 0.0219624 0.012351 0
0.0865 0.001 0.0207197 0.0109685 0
0.087 0.001 0.0226347 0.0110211 0
0.0875 0.001 0.0222178 0.0104619 0
0.088 0.001 0.0184164 0.0102311 0
0.0885 0.001 0.0195731 0.0101178 0
0.089 0.001 0.0228475 0.011519 0
0.0895 0.001 0.0218968 0.0119198 0
0.09 0.001 0.0211977 0.0108686 0
0.0905 0.001 0.0242826 0.0114085 0
0.091 0.001 0.0190772 0.00975626 0
0.0915 0.001 0.0202474 0.0101711 0
0.092 0.001 0.0202744 0.0117046 0
0.0925 0.0015 0.0190362 0.0097557 0
0.093 0.0015 0.0243895 0.0115751 0
0.0935 0.0015 0.0226874 0.011994 0
0.094 0.0015 0.0197966 0.0109115 0
0.0945 0.0015 0.0197419 0.0108505 0
0.095 0.0015 0.0218964 0.0104462 0
0.0955 0.0015 0.0197247 0.0101407 0
0.096 0.0015 0.0229993 0.0112308 0
0.0965 0.0015 0.0234869 0.0115819 0
0.097 0.0015 0.0203606 0.0100994 0
0.0975 0.0015 0.0217211 0.010939 0
0.098 0.0015 0.0227636 0.0104208 0
0.0985 0.0015 0.0217147 0.0112263 0
0.099 0.0015 0.0219318 0.011696 0
0.0995 0.0015 0.022305 0.0113707 0
0.1 0.0015 0.0198524 0.0102552 0
0.1005 0.0015 0.0226121 0.0119668 0
0.101 0.0015 0.0223332 0.0119299 0
0.1015 0.0015 0.0223454 0.0112345 0
0.102 0.0015 0.0221893 0.0108988 0
0.1025 0.0015 0.0215966 0.0126184 0
0.103 0.0015 0.024444 0.0125511 0
0.1035 0.0015 0.0218195 0.0128066 0
0.104 0.0015 0.0213797 0.0118219 0
0.1045 0.0015 0.0221583 0.0108459 0
0.105 0.0015 0.0216833 0.0118431 0
0.1055 0.0015 0.024302 0.0115911 0
0.106 0.0015 0.0223642 0.0104178 0
0.1065 0.0015 0.0201648 0.0106128 0
0.107 0.0015 0.0225229 0.0111294 0
0.1075 0.0015 0.0235396 0.0128441 0
0.108 0.0015 0.0196438 0.0109395 0
0.1085 0.0015 0.0232923 0.0111171 0
0.109 0.0015 0.0219332 0.0111242 0
0.1095 0.0015 0.0238374 0.0131072 0
0.11 0.0015 0.0236094 0.0108937 0
0.1105 0.0015 0.0231376 0.0123646 0
0.111 0.0015 0.0218104 0.0112668 0
0.1115 0.0015 0.0201283 0.011017 0
0.112 0.0015 0.0192066 0.00978327 0
0.1125 0.0015 0.020099 0.0109401 0
0.113 0.0015 0.0205001 0.00986391 0
0.1135 0.0015 0.0216349 0.0106639 0
0.114 0.0015 0.0241498 0.0119951 0
0.1145 0.0015 0.0221543 0.0104294 0
0.115 0.0015 0.0219145 0.0110541 0
0.1155 0.0015 0.0233223 0.0110012 0
0.116 0.0015 0.0251015 0.0129414 0
0.1165 0.0015 0.021545 0.0103342 0
0.117 0.0015 0.0212151 0.0107002 0
0.1175 0.0015 0.021199 0.011001 0
0.118 0.0015 0.020714 0.00999434 0
0.1185 0.0015 0.0189663 0.00977525 0
0.119 0.0015 0.0220253 0.0115094 0
0.1195 0.0015 0.0228963 0.0121561 0
0.12 0.0015 0.0233523 0.0136411 0
0.1205 0.0015 0.0216302 0.0117666 0
0.121 0.0015 0.0205473 0.0110403 0
0.1215 0.0015 0.022525 0.010672 0
0.122 0.0015 0.0228739 0.0122022 0
0.1225 0.0015 0.0195451 0.0100347 0
0.123 0.0015 0.0205412 0.0117587 0
0.1235 0.0015 0.0221184 0.010997 0
0.124 0.0015 0.0232291 0.0132787 0
0.1245 0.0015 0.0220325 0.011744 0
0.125 0.0015 0.0241218 0.0126558 0
0.1255 0.0015 0.0237587 0.0123602 0
0.126 0.0015 0.0235343 0.0120347 0
0.1265 0.0015 0.0209863 0.0106946 0
0.127 0.0015 0.0213417 0.0107147 0
0.1275 0.0015 0.0204023 0.0101785 0
0.128 0.0015 0.0227173 0.0115224 0
0.1285 0.0015 0.0217858 0.0109702 0
0.129 0.0015 0.0209612 0.0099428 0
0.1295 0.0015 0.0218277 0.0113985 0
0.13 0.0015 0.0225312 0.0121901 0
0.1305 0.0015 0.0219173 0.0102019 0
0.131 0.0015 0.019615 0.0116404 0
0.1315 0.0015 0.0214479 0.0126766 0
0.132 0.0015 0.0208264 0.0115949 0
0.1325 0.0015 0.0212362 0.0114349 0
0.133 0.0015 0.0224831 0.0127234 0
0.1335 0.0015 0.0216218 0.0126155 0
0.134 0.0015 0.0237465 0.0120469 0
0.1345 0.0015 0.0211139 0.0114591 0
0.135 0.0015 0.0208182 0.0110804 0
0.1355 0.0015 0.0236993 0.0132405 0
0.136 0.0015 0.0226485 0.0113426 0
0.1365 0.0015 0.0222133 0.0116778 0
0.137 0.0015 0.022275 0.0117142 0
0.1375 0.0015 0.0204543 0.0102242 0
0.138 0.0015 0.0210167 0.011272 0
0.1385 0.0015 0.0237568 0.0114403 0
