# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1500	 in_between=0
# fg_m=1	 fg_alpha=-10	 fg_t_min=0	 fg_t_max=2	 fg_t_number=4000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1500	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0183397 0.00907946 0
0.0005 0.001 0.0197066 0.0114518 0
0.001 0.001 0.0194818 0.0130465 0
0.0015 0.001 0.0212799 0.010414 0
0.002 0.001 0.0193416 0.010845 0
0.0025 0.001 0.0192255 0.0101646 0
0.003 0.001 0.0220629 0.0122845 0
0.0035 0.001 0.0210489 0.0113002 0
0.004 0.001 0.021163 0.012323 0
0.0045 0.001 0.0222019 0.0126526 0
0.005 0.001 0.018839 0.0104806 0
0.0055 0.001 0.0217354 0.0098981 0
0.006 0.001 0.0188199 0.00818739 0
0.0065 0.001 0.022017 0.00957278 0
0.007 0.001 0.0186074 0.0124492 0
0.0075 0.001 0.0182217 0.00886691 0
0.008 0.001 0.0185697 0.00877378 0
0.0085 0.001 0.0189515 0.0105388 0
0.009 0.001 0.0131562 0.00763912 0
0.0095 0.001 0.0269822 0.0122692 0
0.01 0.001 0.018506 0.0100319 0
0.0105 0.001 0.0196474 0.0101652 0
0.011 0.001 0.0220928 0.0103623 0
0.0115 0.001 0.0171168 0.00874455 0
0.012 0.001 0.0210989 0.0103136 0
0.0125 0.001 0.0170605 0.00840597 0
0.013 0.001 0.0187032 0.0094569 0
0.0135 0.001 0.0207767 0.0100647 0
0.014 0.001 0.0189086 0.0114985 0
0.0145 0.0015 0.0184877 0.0088676 0
0.015 0.0015 0.0179075 0.00814903 0
0.0155 0.0015 0.0239483 0.0119913 0
0.016 0.0015 0.0197777 0.00894067 0
0.0165 0.0015 0.0183622 0.0106088 0
0.017 0.0015 0.0183761 0.0109165 0
0.0175 0.0015 0.0180977 0.0101728 0
0.018 0.0015 0.0201125 0.00957896 0
0.0185 0.0015 0.0153244 0.00776104 0
0.019 0.0015 0.0191748 0.00962261 0
0.0195 0.0015 0.0201861 0.0103202 0
0.02 0.002 0.0194008 0.01151 0
0.0205 0.002 0.0185784 0.0082159 0
0.021 0.002 0.0217048 0.00885653 0
0.0215 0.002 0.0207884 0.0100075 0
0.022 0.002 0.018713 0.00839016 0
0.0225 0.002 0.0135481 0.00733332 0
0.023 0.002 0.0209662 0.0102388 0
0.0235 0.002 0.0195076 0.0109155 0
0.024 0.002 0.018898 0.00867892 0
0.0245 0.002 0.0170134 0.008843 0
