# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1500	 in_between=0
# fg_m=1	 fg_alpha=-5	 fg_t_min=0	 fg_t_max=2	 fg_t_number=4000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1500	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0183397 0.00907946 0
0.0005 0.001 0.0198056 0.0114684 0
0.001 0.001 0.0186596 0.0131927 0
0.0015 0.001 0.0206684 0.0104117 0
0.002 0.001 0.0188179 0.0111839 0
0.0025 0.001 0.0189906 0.0101554 0
0.003 0.001 0.0221919 0.011448 0
0.0035 0.001 0.021246 0.0112842 0
0.004 0.001 0.0213382 0.0127615 0
0.0045 0.001 0.0214882 0.011898 0
0.005 0.001 0.0194718 0.0103085 0
0.0055 0.001 0.0219298 0.0102621 0
0.006 0.001 0.0187393 0.00911038 0
0.0065 0.001 0.0212142 0.00939398 0
0.007 0.001 0.0187765 0.0124208 0
0.0075 0.001 0.020297 0.00954916 0
0.008 0.001 0.0184408 0.00975712 0
0.0085 0.0015 0.0194449 0.0105905 0
0.009 0.0015 0.0135296 0.00866165 0
0.0095 0.0015 0.0262633 0.011092 0
0.01 0.0015 0.0194366 0.0118817 0
0.0105 0.0015 0.0175395 0.0100225 0
0.011 0.0015 0.0211976 0.0111307 0
0.0115 0.0015 0.0171069 0.00874049 0
0.012 0.0015 0.0223014 0.00913567 0
0.0125 0.0015 0.0170742 0.00940739 0
0.013 0.0015 0.0189971 0.00997373 0
0.0135 0.0015 0.020691 0.0081385 0
0.014 0.0015 0.0199057 0.0110598 0
0.0145 0.0015 0.0200376 0.00972011 0
0.015 0.0015 0.018655 0.00856198 0
0.0155 0.0015 0.0237909 0.0113798 0
0.016 0.0015 0.0206587 0.0106324 0
0.0165 0.0015 0.0189532 0.0113857 0
0.017 0.0015 0.0191691 0.011042 0
0.0175 0.0015 0.0194426 0.0106114 0
0.018 0.0015 0.0201947 0.0109671 0
0.0185 0.0015 0.0155858 0.00899233 0
0.019 0.0015 0.0208837 0.00900461 0
0.0195 0.0015 0.0213074 0.00954023 0
0.02 0.0015 0.020227 0.0111091 0
0.0205 0.0015 0.0197197 0.00955472 0
0.021 0.0015 0.0189411 0.00874779 0
0.0215 0.0015 0.0211526 0.0100425 0
0.022 0.0015 0.0204113 0.00946939 0
0.0225 0.002 0.0159728 0.0074708 0
0.023 0.002 0.0205299 0.0111418 0
0.0235 0.002 0.0204768 0.0107954 0
0.024 0.002 0.0165755 0.00801265 0
0.0245 0.002 0.0184757 0.00997836 0
0.025 0.002 0.0186792 0.0107165 0
0.0255 0.002 0.0214239 0.0109797 0
0.026 0.0025 0.0167589 0.0103328 0
0.0265 0.0025 0.0208696 0.0114525 0
0.027 0.0025 0.0217731 0.0101801 0
0.0275 0.0025 0.023301 0.0115916 0
0.028 0.0025 0.0172276 0.00902443 0
0.0285 0.0025 0.019836 0.0107059 0
0.029 0.0025 0.0207066 0.0107584 0
0.0295 0.0025 0.0212592 0.0103057 0
0.03 0.0025 0.0194634 0.00812887 0
0.0305 0.0025 0.0205038 0.00988663 0
0.031 0.0025 0.0207697 0.0117259 0
