# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1500	 in_between=0
# fg_m=1	 fg_alpha=0	 fg_t_min=0	 fg_t_max=2	 fg_t_number=4000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1500	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0183397 0.00907946 0
0.0005 0.001 0.0196046 0.0113667 0
0.001 0.001 0.0191504 0.013076 0
0.0015 0.001 0.0205274 0.0102807 0
0.002 0.001 0.0193577 0.0109239 0
0.0025 0.001 0.018454 0.00976746 0
0.003 0.001 0.0226183 0.0115835 0
0.0035 0.001 0.0207423 0.0107895 0
0.004 0.001 0.0211687 0.0124837 0
0.0045 0.001 0.0215024 0.0123626 0
0.005 0.001 0.0194409 0.00998348 0
0.0055 0.001 0.0211645 0.0108906 0
0.006 0.001 0.0185471 0.00838939 0
0.0065 0.001 0.0218661 0.00967611 0
0.007 0.001 0.0190354 0.0143736 0
0.0075 0.001 0.0193848 0.00996548 0
0.008 0.001 0.0191451 0.00871186 0
0.0085 0.001 0.0207242 0.0111892 0
0.009 0.001 0.0139941 0.00864393 0
0.0095 0.001 0.0257515 0.0119525 0
0.01 0.001 0.0178906 0.0111984 0
0.0105 0.001 0.0190954 0.00941766 0
0.011 0.001 0.0207202 0.0114349 0
0.0115 0.001 0.0177204 0.00973889 0
0.012 0.001 0.021641 0.0101339 0
0.0125 0.001 0.0181772 0.0101341 0
0.013 0.001 0.0187649 0.00938042 0
0.0135 0.001 0.0206344 0.00964699 0
0.014 0.001 0.0170398 0.0100864 0
0.0145 0.0015 0.0187765 0.00922325 0
0.015 0.0015 0.019281 0.00965269 0
0.0155 0.0015 0.0234027 0.0114454 0
0.016 0.0015 0.019827 0.00975916 0
0.0165 0.0015 0.0196528 0.0112842 0
0.017 0.0015 0.0191604 0.0101824 0
0.0175 0.0015 0.0212919 0.0104443 0
0.018 0.0015 0.0203312 0.0118284 0
0.0185 0.0015 0.0158767 0.00729958 0
0.019 0.0015 0.020243 0.0107109 0
0.0195 0.0015 0.0211438 0.0088765 0
0.02 0.0015 0.0193272 0.0110743 0
0.0205 0.0015 0.0189177 0.00800346 0
0.021 0.0015 0.0215039 0.00909273 0
0.0215 0.0015 0.0185108 0.00941796 0
