# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1500	 in_between=0
# fg_m=1	 fg_alpha=5	 fg_t_min=0	 fg_t_max=4	 fg_t_number=8000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1500	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0183397 0.00907946 0
0.0005 0.001 0.0197518 0.0113693 0
0.001 0.001 0.0192045 0.0131888 0
0.0015 0.001 0.0204806 0.0102489 0
0.002 0.001 0.018677 0.0111339 0
0.0025 0.001 0.0184464 0.0103665 0
0.003 0.001 0.0221678 0.0115652 0
0.0035 0.001 0.020779 0.0118788 0
0.004 0.001 0.0209287 0.0125896 0
0.0045 0.001 0.0216982 0.0120652 0
0.005 0.001 0.0191388 0.00996739 0
0.0055 0.001 0.021543 0.0096372 0
0.006 0.001 0.0183234 0.00839171 0
0.0065 0.001 0.0219814 0.00977841 0
0.007 0.001 0.0186774 0.0124992 0
0.0075 0.001 0.0190582 0.00971335 0
0.008 0.001 0.0182495 0.00880547 0
0.0085 0.001 0.0198552 0.0110073 0
0.009 0.001 0.0134803 0.00779776 0
0.0095 0.001 0.0255551 0.0109191 0
0.01 0.001 0.0186598 0.0112301 0
0.0105 0.001 0.0190345 0.00947054 0
0.011 0.0015 0.0211311 0.0105794 0
0.0115 0.0015 0.0175682 0.00879834 0
0.012 0.0015 0.0200253 0.00925161 0
0.0125 0.0015 0.0182954 0.00979619 0
0.013 0.0015 0.0200536 0.00919046 0
0.0135 0.0015 0.0199772 0.00869456 0
0.014 0.0015 0.0193423 0.0111844 0
0.0145 0.0015 0.0196267 0.0100387 0
0.015 0.0015 0.0191867 0.00783242 0
0.0155 0.0015 0.0232542 0.0111253 0
0.016 0.0015 0.0205354 0.00914992 0
0.0165 0.0015 0.0187501 0.0106059 0
0.017 0.0015 0.0192248 0.010605 0
0.0175 0.0015 0.0203037 0.010336 0
0.018 0.0015 0.0217977 0.0113823 0
0.0185 0.0015 0.0168795 0.00877255 0
0.019 0.0015 0.0211914 0.0111899 0
0.0195 0.0015 0.0181102 0.00820047 0
0.02 0.0015 0.0196455 0.0123375 0
0.0205 0.0015 0.0175314 0.0063133 0
0.021 0.0015 0.0192769 0.00754849 0
0.0215 0.0015 0.0205373 0.0101486 0
0.022 0.0015 0.0190939 0.010466 0
0.0225 0.0015 0.0146817 0.00821756 0
0.023 0.0015 0.023034 0.0107858 0
0.0235 0.0015 0.0231613 0.00987054 0
0.024 0.0015 0.0194776 0.00882524 0
0.0245 0.0015 0.0180562 0.00923303 0
0.025 0.0015 0.019689 0.0104962 0
0.0255 0.0015 0.0210245 0.0101225 0
0.026 0.0015 0.0175242 0.0100886 0
0.0265 0.0015 0.0201912 0.00995594 0
0.027 0.0015 0.0205114 0.0114127 0
0.0275 0.0015 0.0225019 0.00991408 0
0.028 0.0015 0.0170204 0.00969855 0
0.0285 0.0015 0.0201566 0.0099728 0
0.029 0.0015 0.0196253 0.00980852 0
0.0295 0.0015 0.0229819 0.00979664 0
0.03 0.0015 0.019163 0.012995 0
0.0305 0.0015 0.019649 0.0083397 0
0.031 0.0015 0.0257397 0.0136274 0
0.0315 0.0015 0.0170904 0.00775005 0
0.032 0.0015 0.0191964 0.00956024 0
0.0325 0.0015 0.0148414 0.00605168 0
0.033 0.0015 0.0231245 0.0116331 0
0.0335 0.0015 0.0188284 0.0117204 0
0.034 0.0015 0.019048 0.0112595 0
0.0345 0.0015 0.0201934 0.00798649 0
0.035 0.0015 0.0241998 0.0155608 0
0.0355 0.0015 0.019597 0.0105362 0
0.036 0.0015 0.0230826 0.00964046 0
0.0365 0.0015 0.0244784 0.0134385 0
0.037 0.0015 0.0158625 0.00799658 0
0.0375 0.0015 0.019908 0.0103572 0
0.038 0.0015 0.0238642 0.00979106 0
0.0385 0.0015 0.0203989 0.0103375 0
0.039 0.0015 0.0178713 0.0101458 0
0.0395 0.0015 0.0210931 0.0101305 0
0.04 0.0015 0.0172406 0.00960215 0
0.0405 0.0015 0.0232225 0.0115694 0
0.041 0.002 0.0202133 0.0104034 0
0.0415 0.002 0.0214472 0.0107184 0
0.042 0.002 0.0178105 0.0103476 0
0.0425 0.002 0.01914 0.0107275 0
0.043 0.002 0.0234271 0.0127618 0
0.0435 0.002 0.0206576 0.0101289 0
0.044 0.002 0.0208733 0.0105471 0
0.0445 0.002 0.0184487 0.0108381 0
0.045 0.002 0.0193527 0.00930349 0
0.0455 0.002 0.018567 0.0105549 0
0.046 0.002 0.0225485 0.0106222 0
0.0465 0.002 0.0194632 0.00871729 0
0.047 0.002 0.0203018 0.0110259 0
0.0475 0.002 0.0180872 0.00882426 0
0.048 0.002 0.0180297 0.00878681 0
0.0485 0.002 0.0178292 0.00778896 0
0.049 0.002 0.0166611 0.00960836 0
0.0495 0.002 0.0173553 0.00870006 0
0.05 0.002 0.0195455 0.0106388 0
0.0505 0.002 0.019988 0.0123481 0
0.051 0.002 0.0206215 0.0113243 0
0.0515 0.0025 0.0209329 0.00932014 0
0.052 0.0025 0.0232894 0.0102774 0
0.0525 0.0025 0.0212966 0.00980357 0
0.053 0.0025 0.0259348 0.0133418 0
0.0535 0.0025 0.0169653 0.00981816 0
0.054 0.0025 0.0176193 0.00808238 0
0.0545 0.0025 0.0207835 0.0105499 0
0.055 0.0025 0.0219277 0.00982726 0
0.0555 0.0025 0.0203751 0.00894433 0
0.056 0.0025 0.0162536 0.00950227 0
0.0565 0.0025 0.0220231 0.0121927 0
0.057 0.0025 0.0173487 0.00747816 0
0.0575 0.0025 0.024793 0.0105072 0
0.058 0.0025 0.0202094 0.00857972 0
0.0585 0.0025 0.018693 0.00800309 0
0.059 0.0025 0.019069 0.0100416 0
0.0595 0.0025 0.018122 0.00869986 0
0.06 0.0025 0.0220558 0.0109596 0
0.0605 0.0025 0.023262 0.0106148 0
0.061 0.0025 0.021448 0.0109054 0
0.0615 0.0025 0.0177077 0.0106639 0
0.062 0.0025 0.0176132 0.0108417 0
0.0625 0.0025 0.0201177 0.0118553 0
0.063 0.0025 0.0228628 0.0110029 0
0.0635 0.0025 0.0151569 0.00773782 0
0.064 0.0025 0.0190222 0.010194 0
0.0645 0.0025 0.0221535 0.0120503 0
0.065 0.0025 0.0206404 0.0098312 0
0.0655 0.0025 0.0188015 0.00946129 0
0.066 0.0025 0.0166642 0.00987652 0
0.0665 0.0025 0.0186143 0.00919969 0
0.067 0.0025 0.0194827 0.00862717 0
0.0675 0.0025 0.019124 0.00969901 0
0.068 0.0025 0.0200316 0.00950003 0
0.0685 0.0025 0.0208862 0.0110762 0
0.069 0.0025 0.0188725 0.0103261 0
0.0695 0.0025 0.0181892 0.00875994 0
0.07 0.0025 0.0182351 0.00877255 0
0.0705 0.0025 0.0189995 0.00767642 0
0.071 0.0025 0.0197284 0.011211 0
0.0715 0.0025 0.0219636 0.0100611 0
0.072 0.0025 0.0164052 0.00884609 0
0.0725 0.0025 0.0221913 0.00968128 0
0.073 0.0025 0.0162524 0.00973161 0
0.0735 0.0025 0.0162284 0.00867429 0
0.074 0.0025 0.0195904 0.00901246 0
0.0745 0.0025 0.0178579 0.00959218 0
0.075 0.0025 0.0197115 0.0114703 0
0.0755 0.0025 0.0206668 0.00898592 0
0.076 0.0025 0.0249013 0.0129739 0
0.0765 0.0025 0.0182744 0.0112071 0
0.077 0.0025 0.0170592 0.0105863 0
0.0775 0.0025 0.0209389 0.00927533 0
0.078 0.0025 0.0201205 0.0103682 0
0.0785 0.0025 0.019614 0.0082408 0
0.079 0.0025 0.0233379 0.01183 0
0.0795 0.0025 0.018062 0.0087458 0
0.08 0.0025 0.0208119 0.00902932 0
0.0805 0.0025 0.0199912 0.0105548 0
0.081 0.0025 0.0177569 0.00852871 0
0.0815 0.0025 0.0204821 0.00996374 0
0.082 0.0025 0.0192916 0.00961248 0
0.0825 0.0025 0.0194823 0.0104367 0
0.083 0.0025 0.0164639 0.00963403 0
0.0835 0.0025 0.0168637 0.0114242 0
0.084 0.0025 0.0183176 0.00937555 0
0.0845 0.0025 0.0204884 0.0122426 0
0.085 0.0025 0.016539 0.00774626 0
0.0855 0.0025 0.0201909 0.0104153 0
0.086 0.0025 0.0187647 0.00902219 0
0.0865 0.0025 0.0243321 0.0119506 0
0.087 0.0025 0.0238952 0.011171 0
0.0875 0.0025 0.0242269 0.0113326 0
0.088 0.0025 0.0181735 0.00823861 0
0.0885 0.0025 0.0187283 0.0100472 0
0.089 0.0025 0.0206938 0.0109346 0
0.0895 0.0025 0.0224252 0.00882622 0
0.09 0.0025 0.0219297 0.0108206 0
0.0905 0.0025 0.0200602 0.00911037 0
0.091 0.0025 0.019034 0.00985012 0
0.0915 0.0025 0.0196797 0.0101036 0
0.092 0.0025 0.0223347 0.0121854 0
0.0925 0.0025 0.0208208 0.00996572 0
0.093 0.0025 0.01623 0.00904243 0
0.0935 0.0025 0.0164179 0.00836583 0
0.094 0.0025 0.0222255 0.00965044 0
0.0945 0.0025 0.0219391 0.012264 0
0.095 0.0025 0.0208095 0.0103134 0
0.0955 0.0025 0.0238791 0.0110902 0
0.096 0.0025 0.0213899 0.0108703 0
0.0965 0.0025 0.0180874 0.0105968 0
0.097 0.0025 0.0193802 0.00924495 0
0.0975 0.0025 0.0205533 0.0100071 0
0.098 0.0025 0.0180613 0.00886673 0
0.0985 0.0025 0.0220492 0.0121184 0
0.099 0.0025 0.0181215 0.00919333 0
0.0995 0.0025 0.0167053 0.0076966 0
0.1 0.0025 0.0188324 0.00811576 0
0.1005 0.0025 0.0219092 0.00998785 0
0.101 0.0025 0.0178539 0.00750129 0
0.1015 0.0025 0.0232705 0.0116841 0
0.102 0.0025 0.0204198 0.00893035 0
0.1025 0.0025 0.0211218 0.0107746 0
0.103 0.0025 0.019133 0.0102262 0
0.1035 0.0025 0.0203155 0.00828129 0
0.104 0.0025 0.0199482 0.0108406 0
0.1045 0.0025 0.0180674 0.0100027 0
0.105 0.0025 0.0202968 0.0102029 0
0.1055 0.0025 0.020045 0.0076986 0
0.106 0.0025 0.0215647 0.0114504 0
0.1065 0.0025 0.020219 0.0104276 0
0.107 0.0025 0.0216878 0.00975167 0
0.1075 0.0025 0.0224356 0.0102006 0
0.108 0.0025 0.0208905 0.0106298 0
0.1085 0.0025 0.0148902 0.00676823 0
0.109 0.0025 0.0192509 0.00890637 0
0.1095 0.0025 0.0209623 0.0101815 0
0.11 0.0025 0.0176711 0.0105197 0
0.1105 0.0025 0.0192815 0.00809245 0
0.111 0.0025 0.0167176 0.009097 0
0.1115 0.0025 0.0181575 0.00756097 0
0.112 0.0025 0.0175675 0.00793027 0
0.1125 0.0025 0.0193032 0.00926493 0
0.113 0.0025 0.0199349 0.0112701 0
0.1135 0.0025 0.0222907 0.0103601 0
0.114 0.0025 0.0181176 0.0108353 0
0.1145 0.0025 0.0149393 0.00669393 0
0.115 0.0025 0.0217708 0.00976689 0
0.1155 0.0025 0.0185733 0.0112812 0
0.116 0.0025 0.0203657 0.010191 0
0.1165 0.0025 0.0207103 0.0106188 0
0.117 0.0025 0.023849 0.0129849 0
0.1175 0.0025 0.0182908 0.00855759 0
0.118 0.0025 0.0208899 0.00897803 0
0.1185 0.0025 0.0200936 0.00964005 0
0.119 0.0025 0.0166833 0.00894177 0
0.1195 0.0025 0.0198334 0.0109901 0
0.12 0.0025 0.0169661 0.00775206 0
0.1205 0.0025 0.0223474 0.0117647 0
0.121 0.0025 0.0207096 0.00917611 0
0.1215 0.0025 0.0197424 0.0119292 0
0.122 0.0025 0.0246731 0.0117326 0
0.1225 0.0025 0.0198876 0.0101031 0
0.123 0.0025 0.0190437 0.0103164 0
0.1235 0.0025 0.0187143 0.00882282 0
0.124 0.003 0.0215008 0.010986 0
0.1245 0.003 0.0209431 0.0111569 0
0.125 0.003 0.0205453 0.0101703 0
0.1255 0.003 0.0207919 0.0110336 0
0.126 0.003 0.0189323 0.00849035 0
0.1265 0.003 0.0202862 0.0101506 0
0.127 0.003 0.0224326 0.0101598 0
0.1275 0.003 0.0179564 0.00949048 0
0.128 0.003 0.0194311 0.00930526 0
0.1285 0.003 0.0160535 0.00795675 0
0.129 0.003 0.0192149 0.0108676 0
0.1295 0.003 0.0187774 0.0112853 0
0.13 0.003 0.0201964 0.00833262 0
0.1305 0.003 0.0218837 0.0113485 0
0.131 0.003 0.018823 0.01254 0
0.1315 0.003 0.0137181 0.00778735 0
0.132 0.003 0.0175979 0.00876604 0
0.1325 0.003 0.0205453 0.00921862 0
0.133 0.003 0.0190664 0.0111914 0
0.1335 0.003 0.0204094 0.00927925 0
0.134 0.003 0.0206011 0.00971375 0
0.1345 0.003 0.022739 0.0102509 0
0.135 0.003 0.019218 0.00932327 0
0.1355 0.003 0.0223675 0.0112081 0
0.136 0.003 0.0198377 0.0120315 0
0.1365 0.003 0.021707 0.0100483 0
0.137 0.003 0.0172521 0.00803985 0
0.1375 0.003 0.0157617 0.00981246 0
0.138 0.003 0.0207149 0.00898801 0
0.1385 0.003 0.0220979 0.0124873 0
0.139 0.003 0.0203643 0.0108711 0
0.1395 0.003 0.0221344 0.00931748 0
0.14 0.003 0.01865 0.0118481 0
0.1405 0.003 0.0219933 0.0107714 0
0.141 0.003 0.0149636 0.00697444 0
0.1415 0.003 0.0223472 0.00919503 0
0.142 0.0035 0.0198262 0.010423 0
