# Relevant parameters to reproduce this network:
# node_nr=1000	 k_max=100
# initial_seed=1557414222	 delta_t=0.1	 max_steps=3000	 in_between=0
# fg_m=1	 fg_alpha=1.1	 fg_t_min=0	 fg_t_max=1.2	 fg_t_number=1200	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=3000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.002 0.03471 0.0608948 0
0.001 0.002 0.0400379 0.0606218 0
0.002 0.002 0.0394737 0.061005 0
0.003 0.002 0.037812 0.0621115 0
0.004 0.002 0.0367937 0.0611863 0
0.005 0.002 0.0379482 0.0606137 0
0.006 0.002 0.0418308 0.0633618 0
0.007 0.002 0.0414288 0.0633336 0
0.008 0.002 0.0421062 0.0598634 0
0.009 0.002 0.0421924 0.0618893 0
0.01 0.003 0.0372457 0.0610922 0
0.011 0.003 0.0395312 0.0626084 0
0.012 0.003 0.0425483 0.0639009 0
0.013 0.003 0.0409128 0.064883 0
0.014 0.003 0.0399826 0.0607981 0
0.015 0.003 0.0370244 0.0634073 0
0.016 0.003 0.039885 0.0599168 0
0.017 0.003 0.0404052 0.0643034 0
0.018 0.003 0.0436771 0.0592886 0
0.019 0.003 0.0378308 0.0616452 0
0.02 0.003 0.0399277 0.0605197 0
0.021 0.003 0.0408469 0.0613748 0
0.022 0.003 0.0420844 0.0608398 0
0.023 0.003 0.0387587 0.0617785 0
0.024 0.003 0.0403382 0.0620002 0
0.025 0.003 0.0395844 0.0615688 0
0.026 0.003 0.0391239 0.0610369 0
0.027 0.003 0.0404219 0.0628501 0
0.028 0.003 0.039607 0.0613904 0
0.029 0.003 0.0386504 0.0597413 0
0.03 0.003 0.0398449 0.0616686 0
0.031 0.003 0.038554 0.0615047 0
0.032 0.003 0.0371238 0.0609992 0
0.033 0.003 0.0389731 0.0638973 0
0.034 0.003 0.0399277 0.0618652 0
0.035 0.003 0.0414866 0.062642 0
0.036 0.003 0.038945 0.0603878 0
