# Relevant parameters to reproduce this network:
# node_nr=1000	 k_max=100
# initial_seed=1557414222	 delta_t=0.1	 max_steps=3000	 in_between=0
# fg_m=1	 fg_alpha=1	 fg_t_min=0	 fg_t_max=1.2	 fg_t_number=1200	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=3000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.002 0.03471 0.0608948 0
0.001 0.002 0.0400379 0.0606218 0
0.002 0.002 0.0394737 0.061005 0
0.003 0.002 0.037812 0.0621115 0
0.004 0.002 0.0367937 0.0611863 0
0.005 0.002 0.0379482 0.0606137 0
0.006 0.002 0.0418308 0.0633618 0
0.007 0.002 0.0414288 0.0633336 0
0.008 0.002 0.0421062 0.0598634 0
0.009 0.002 0.0421924 0.0618893 0
0.01 0.003 0.0372457 0.0610922 0
0.011 0.003 0.0393942 0.0626763 0
0.012 0.003 0.042114 0.0640082 0
0.013 0.003 0.0408998 0.0647405 0
0.014 0.003 0.0400236 0.060885 0
0.015 0.003 0.0366599 0.0637192 0
0.016 0.003 0.0401253 0.0598295 0
0.017 0.003 0.0398758 0.0643953 0
0.018 0.003 0.043463 0.0594418 0
0.019 0.003 0.0379453 0.0621215 0
0.02 0.003 0.0397276 0.0607964 0
0.021 0.003 0.0406143 0.0612733 0
0.022 0.003 0.041912 0.0602583 0
0.023 0.003 0.0378983 0.0615912 0
0.024 0.003 0.0395382 0.0617819 0
0.025 0.003 0.0393336 0.0613829 0
0.026 0.003 0.0386822 0.0605344 0
0.027 0.003 0.0400052 0.0629536 0
0.028 0.003 0.0391783 0.0613671 0
0.029 0.003 0.0383607 0.0596962 0
0.03 0.003 0.0394443 0.0617675 0
0.031 0.003 0.0381351 0.061511 0
0.032 0.003 0.0368024 0.0612451 0
0.033 0.003 0.0386081 0.0637791 0
0.034 0.003 0.0400714 0.0617696 0
0.035 0.003 0.041599 0.0628528 0
0.036 0.003 0.0390009 0.0603147 0
0.037 0.003 0.0422736 0.0630946 0
