# Relevant parameters to reproduce this network:
# node_nr=100	 k_max=100
# initial_seed=1558026223	 delta_t=0.1	 max_steps=2500	 in_between=0
# fg_m=1	 fg_alpha=0.5	 fg_t_min=0	 fg_t_max=10	 fg_t_number=1000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=2500	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.02 0.165483 0.0141171 0
0.01 0.02 0.164931 0.00494983 0
0.02 0.02 0.149425 0.0176502 0
0.03 0.02 0.155116 0.0112361 0
0.04 0.02 0.169852 0.0217543 0
0.05 0.03 0.160843 0.0240796 0
0.06 0.03 0.15023 0.0290045 0
0.07 0.03 0.139723 0.0392248 0
0.08 0.03 0.154079 0.0525562 0
0.09 0.03 0.171858 0.0614927 0
0.1 0.03 0.16656 0.0524478 0
0.11 0.03 0.166298 0.052705 0
0.12 0.04 0.172969 0.0512016 0
0.13 0.04 0.165051 0.048684 0
0.14 0.05 0.165334 0.0520964 0
0.15 0.05 0.153636 0.0483302 0
0.16 0.05 0.144639 0.0495228 0
0.17 0.05 0.136954 0.051784 0
0.18 0.05 0.122937 0.0499328 0
0.19 0.05 0.135721 0.0604895 0
0.2 0.05 0.134535 0.0508929 0
0.21 0.05 0.12492 0.0260327 0
0.22 0.05 0.125109 0.0364608 0
0.23 0.05 0.127621 0.0237978 0
0.24 0.05 0.134371 0.0382102 0
0.25 0.06 0.153691 0.0603164 0
0.26 0.06 0.176026 0.0813772 0
0.27 0.06 0.183035 0.0858181 0
0.28 0.07 0.167277 0.0785029 0
0.29 0.07 0.16602 0.0781098 0
0.3 0.08 0.160705 0.0766348 0
0.31 0.09 0.160053 0.0764433 0
0.32 0.09 0.154202 0.0770442 0
0.33 0.1 0.161304 0.0787498 0
0.34 0.1 0.170943 0.081703 0
0.35 0.1 0.171923 0.0839488 0
0.36 0.11 0.173286 0.0801872 0
0.37 0.11 0.167595 0.0813772 0
0.38 0.12 0.179429 0.0868197 0
0.39 0.12 0.18263 0.0871938 0
0.4 0.12 0.15934 0.0764526 0
0.41 0.14 0.163488 0.0773853 0
0.42 0.15 0.166647 0.0768536 0
0.43 0.16 0.173041 0.077056 0
0.44 0.16 0.17273 0.0772602 0
0.45 0.16 0.172795 0.0767517 0
0.46 0.16 0.183004 0.0796314 0
0.47 0.17 0.184328 0.0808931 0
0.48 0.17 0.179806 0.0777872 0
0.49 0.18 0.178892 0.0773201 0
0.5 0.18 0.18238 0.081496 0
0.51 0.19 0.193611 0.0835033 0
0.52 0.19 0.192395 0.0841552 0
0.53 0.19 0.19513 0.0868239 0
0.54 0.19 0.194819 0.0839338 0
0.55 0.19 0.201032 0.0879949 0
0.56 0.2 0.198821 0.0893133 0
0.57 0.22 0.215939 0.089869 0
0.58 0.22 0.22142 0.0937723 0
0.59 0.23 0.229774 0.0962938 0
0.6 0.24 0.24004 0.0940242 0
0.61 0.24 0.24536 0.105911 0
0.62 0.26 0.258305 0.10744 0
0.63 0.26 0.254401 0.110029 0
0.64 0.26 0.249831 0.10322 0
0.65 0.26 0.254949 0.106259 0
0.66 0.38 0.304195 0.0856135 0
0.67 0.43 0.316793 0.0698885 0
0.68 0.43 0.32251 0.0887661 0
0.69 0.43 0.319423 0.0835334 0
0.7 0.47 0.342897 0.0777995 0
0.71 0.47 0.345429 0.0916209 0
0.72 0.48 0.351508 0.0924458 0
0.73 0.49 0.354243 0.0882749 0
0.74 0.49 0.356865 0.0979036 0
0.75 0.5 0.361524 0.101188 0
0.76 0.5 0.248277 0.0944522 0
0.77 0.5 0.237972 0.0959241 0
0.78 0.5 0.237444 0.097922 0
0.79 0.52 0.242457 0.0959246 0
0.8 0.52 0.269914 0.102753 0
0.81 0.57 0.248052 0.0989523 0
0.82 0.65 0.233384 0.100951 0
0.83 0.66 0.246516 0.100951 0
0.84 0.66 0.289392 0.1085 0
0.85 0.66 0.286162 0.10839 0
0.86 0.66 0.272786 0.104932 0
0.87 0.66 0.279784 0.0997484 0
0.88 0.67 0.263235 0.0972358 0
0.89 0.67 0.263212 0.102834 0
0.9 0.67 0.289053 0.0987991 0
0.91 0.67 0.30556 0.0973342 0
0.92 0.68 0.306423 0.0963622 0
