# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=500
# initial_seed=10	 delta_t=0.05	 max_steps=4000	 in_between=0
# fg_m=1	 fg_alpha=5	 fg_t_min=0	 fg_t_max=4	 fg_t_number=8000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=4000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0210161 0.0114224 0
0.0005 0.001 0.0209806 0.0111876 0
0.001 0.001 0.0219139 0.0099964 0
0.0015 0.001 0.0180663 0.00965149 0
0.002 0.001 0.0219523 0.0118723 0
0.0025 0.001 0.0184434 0.00921603 0
0.003 0.001 0.020831 0.00888678 0
0.0035 0.001 0.021945 0.0107108 0
0.004 0.001 0.0190563 0.0102253 0
0.0045 0.001 0.0200241 0.00942837 0
0.005 0.001 0.0196562 0.010064 0
0.0055 0.001 0.0226727 0.0100539 0
0.006 0.001 0.0208527 0.00883538 0
0.0065 0.001 0.0232373 0.0103327 0
0.007 0.001 0.0209804 0.00953966 0
0.0075 0.001 0.0222747 0.0119688 0
0.008 0.001 0.0180824 0.0112357 0
0.0085 0.001 0.0212696 0.0114694 0
0.009 0.001 0.0195538 0.0099126 0
0.0095 0.001 0.0216201 0.0113443 0
0.01 0.001 0.0208375 0.0090418 0
0.0105 0.001 0.0209635 0.0113287 0
0.011 0.001 0.0179699 0.00859925 0
0.0115 0.001 0.0194936 0.0103513 0
0.012 0.001 0.0193779 0.0103165 0
0.0125 0.001 0.0191627 0.00934413 0
0.013 0.001 0.016442 0.0088749 0
0.0135 0.001 0.0206866 0.00964425 0
0.014 0.001 0.0218382 0.0102396 0
0.0145 0.001 0.018403 0.00955789 0
0.015 0.001 0.0184107 0.0101689 0
0.0155 0.001 0.0163557 0.00943539 0
0.016 0.001 0.018425 0.0100342 0
0.0165 0.001 0.0205345 0.0106916 0
0.017 0.001 0.0181227 0.00857125 0
0.0175 0.001 0.0200967 0.0105633 0
0.018 0.001 0.016415 0.00929765 0
0.0185 0.001 0.0193829 0.010993 0
0.019 0.001 0.0202536 0.0103133 0
0.0195 0.001 0.0166276 0.00770709 0
0.02 0.001 0.0220892 0.0117218 0
0.0205 0.001 0.018363 0.0101232 0
0.021 0.001 0.0191985 0.00981994 0
0.0215 0.001 0.021951 0.0101662 0
0.022 0.001 0.0214271 0.010944 0
0.0225 0.001 0.0189501 0.00815883 0
0.023 0.001 0.0190595 0.0108948 0
0.0235 0.001 0.0235907 0.0130792 0
0.024 0.001 0.0198952 0.00990508 0
0.0245 0.001 0.0174015 0.00815267 0
0.025 0.001 0.019688 0.0113884 0
0.0255 0.001 0.0188046 0.00821359 0
0.026 0.001 0.0172907 0.00990724 0
0.0265 0.001 0.023541 0.0110302 0
0.027 0.001 0.0198657 0.00899236 0
0.0275 0.001 0.0176374 0.00913179 0
0.028 0.001 0.0194196 0.0126591 0
0.0285 0.001 0.0183121 0.00932593 0
0.029 0.001 0.0224413 0.0107153 0
0.0295 0.001 0.0196877 0.0101441 0
0.03 0.001 0.0194749 0.0112061 0
0.0305 0.001 0.0187564 0.00852724 0
0.031 0.001 0.0188174 0.00973508 0
0.0315 0.001 0.0212999 0.0103349 0
0.032 0.001 0.0186692 0.00885773 0
0.0325 0.001 0.0154891 0.00899458 0
0.033 0.001 0.0214061 0.0113802 0
0.0335 0.001 0.0202916 0.0118836 0
