# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=100
# initial_seed=10	 delta_t=0.01	 max_steps=10000	 in_between=0
# fg_m=1	 fg_alpha=5	 fg_t_min=0	 fg_t_max=3	 fg_t_number=6000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=10000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0159423 0.00878372 0
0.0005 0.001 0.0221298 0.0105534 0
0.001 0.001 0.0190827 0.0104543 0
0.0015 0.001 0.0181563 0.0124282 0
0.002 0.001 0.0235361 0.0119592 0
0.0025 0.001 0.0184685 0.00972382 0
0.003 0.001 0.0197101 0.0110156 0
0.0035 0.001 0.0194614 0.0120866 0
0.004 0.001 0.0176463 0.00967976 0
0.0045 0.001 0.0215903 0.0109105 0
0.005 0.001 0.0212991 0.0112771 0
0.0055 0.001 0.0199847 0.00999426 0
0.006 0.001 0.0191784 0.012966 0
0.0065 0.001 0.0205038 0.00979367 0
0.007 0.001 0.0239106 0.0129844 0
0.0075 0.001 0.0186434 0.00861462 0
0.008 0.001 0.0226364 0.00937839 0
0.0085 0.001 0.0203406 0.011471 0
0.009 0.001 0.0202055 0.00804746 0
0.0095 0.001 0.0179773 0.00857415 0
0.01 0.001 0.0216957 0.0104875 0
0.0105 0.001 0.0191355 0.0141669 0
0.011 0.001 0.0173397 0.00829785 0
0.0115 0.001 0.0173665 0.0106018 0
0.012 0.001 0.0141576 0.00670722 0
0.0125 0.001 0.0209507 0.0110635 0
0.013 0.001 0.0208529 0.00998574 0
0.0135 0.001 0.0150083 0.00908714 0
0.014 0.001 0.0202479 0.0121308 0
0.0145 0.001 0.0232195 0.010903 0
0.015 0.0015 0.0192169 0.0101674 0
0.0155 0.0015 0.0193834 0.0101261 0
0.016 0.0015 0.0182437 0.010923 0
0.0165 0.0015 0.0223439 0.0121199 0
0.017 0.0015 0.017087 0.00859216 0
0.0175 0.0015 0.01842 0.00814175 0
0.018 0.0015 0.0207695 0.00971087 0
0.0185 0.0015 0.0173515 0.00984568 0
0.019 0.0015 0.0180601 0.0108977 0
0.0195 0.0015 0.0171418 0.00834076 0
0.02 0.0015 0.0209759 0.00981067 0
0.0205 0.0015 0.0206301 0.00867755 0
0.021 0.0015 0.019158 0.0104805 0
0.0215 0.0015 0.0183891 0.00904873 0
0.022 0.0015 0.0206847 0.00839663 0
0.0225 0.0015 0.0183122 0.00939296 0
0.023 0.0015 0.0211342 0.00957302 0
0.0235 0.0015 0.0209157 0.00975829 0
0.024 0.0015 0.0175875 0.00803771 0
0.0245 0.0015 0.0205889 0.00974233 0
0.025 0.0015 0.0176837 0.0108966 0
0.0255 0.0015 0.0198862 0.0107619 0
0.026 0.0015 0.0187254 0.0103967 0
0.0265 0.0015 0.0201045 0.0106553 0
0.027 0.0015 0.0197396 0.011555 0
0.0275 0.0015 0.0185679 0.00775912 0
0.028 0.0015 0.0158219 0.00866608 0
0.0285 0.0015 0.0192603 0.00980947 0
0.029 0.0015 0.0162354 0.0100051 0
0.0295 0.0015 0.0202406 0.00958858 0
0.03 0.0015 0.0206278 0.0133588 0
0.0305 0.0015 0.017699 0.00862506 0
0.031 0.0015 0.0204989 0.00871866 0
0.0315 0.0015 0.0202412 0.00787399 0
0.032 0.0015 0.0189231 0.00856353 0
0.0325 0.0015 0.0195951 0.00881319 0
0.033 0.0015 0.0173498 0.0105435 0
0.0335 0.0015 0.0172782 0.00895307 0
0.034 0.0015 0.0148859 0.00514583 0
0.0345 0.0015 0.0206309 0.00933367 0
0.035 0.0015 0.0231034 0.0108023 0
0.0355 0.0015 0.0205497 0.0091943 0
0.036 0.0015 0.0202202 0.00797716 0
0.0365 0.0015 0.0179792 0.00906741 0
0.037 0.0015 0.014739 0.00808631 0
0.0375 0.0015 0.0175737 0.0106255 0
0.038 0.0015 0.0202924 0.00818566 0
0.0385 0.0015 0.0221539 0.00909815 0
0.039 0.0015 0.0175081 0.00962968 0
0.0395 0.0015 0.0188857 0.0100337 0
0.04 0.0015 0.0211906 0.0103108 0
0.0405 0.0015 0.0190182 0.0110186 0
0.041 0.0015 0.0213612 0.0102982 0
0.0415 0.0015 0.022531 0.0121653 0
0.042 0.0015 0.0190677 0.0101403 0
0.0425 0.0015 0.018251 0.00929331 0
0.043 0.0015 0.0185473 0.00907564 0
0.0435 0.0015 0.0210261 0.00887874 0
0.044 0.0015 0.0211699 0.00906642 0
0.0445 0.0015 0.0229937 0.0104946 0
0.045 0.0015 0.0225209 0.0117727 0
0.0455 0.0015 0.0137599 0.00671452 0
