# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=100
# initial_seed=10	 delta_t=1	 max_steps=450	 in_between=0
# fg_m=1	 fg_alpha=5	 fg_t_min=0	 fg_t_max=4	 fg_t_number=8000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=450	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0191145 0.0112895 0
0.0005 0.001 0.0194295 0.0106044 0
0.001 0.001 0.0211629 0.0117753 0
0.0015 0.001 0.0209889 0.0108591 0
0.002 0.001 0.0193581 0.0107642 0
0.0025 0.001 0.0195084 0.00989422 0
0.003 0.001 0.019205 0.0111098 0
0.0035 0.001 0.0190037 0.0100807 0
0.004 0.001 0.0192994 0.00966967 0
0.0045 0.001 0.0194302 0.00994299 0
0.005 0.001 0.0200272 0.00986325 0
0.0055 0.001 0.0192117 0.010885 0
0.006 0.001 0.0187619 0.00988833 0
0.0065 0.001 0.0194056 0.00885568 0
0.007 0.001 0.0197193 0.00944907 0
0.0075 0.001 0.0188035 0.00976776 0
0.008 0.001 0.0185771 0.00939073 0
0.0085 0.001 0.0205412 0.0103012 0
0.009 0.001 0.0203438 0.0105504 0
0.0095 0.001 0.0210292 0.0098061 0
0.01 0.001 0.0213469 0.0122945 0
0.0105 0.001 0.0173614 0.0080197 0
0.011 0.001 0.020868 0.0114568 0
0.0115 0.001 0.0220161 0.0117868 0
0.012 0.001 0.0200654 0.0109005 0
0.0125 0.001 0.0202495 0.010197 0
0.013 0.001 0.0187842 0.0102957 0
0.0135 0.001 0.0216916 0.0105111 0
0.014 0.001 0.0205356 0.0105746 0
0.0145 0.001 0.0186156 0.0108179 0
0.015 0.0015 0.0196938 0.0103727 0
0.0155 0.0015 0.0196842 0.00969347 0
0.016 0.0015 0.0185015 0.00891925 0
0.0165 0.0015 0.019736 0.0101697 0
0.017 0.0015 0.0213128 0.011024 0
0.0175 0.0015 0.0203328 0.0115639 0
0.018 0.0015 0.0203077 0.0110785 0
0.0185 0.0015 0.0189192 0.00994228 0
0.019 0.0015 0.0210879 0.0105686 0
0.0195 0.0015 0.01903 0.00892581 0
0.02 0.0015 0.0217744 0.0108231 0
0.0205 0.0015 0.0195066 0.0106058 0
0.021 0.0015 0.0191803 0.0102468 0
0.0215 0.0015 0.0203097 0.0107678 0
0.022 0.0015 0.0197004 0.0100192 0
0.0225 0.0015 0.0209802 0.0105333 0
0.023 0.0015 0.0179555 0.00997354 0
0.0235 0.0015 0.0202041 0.0102498 0
0.024 0.0015 0.0199341 0.00932853 0
0.0245 0.0015 0.0198662 0.0098296 0
0.025 0.0015 0.0214393 0.0104145 0
0.0255 0.0015 0.02014 0.0109663 0
0.026 0.0015 0.0209222 0.0101555 0
0.0265 0.0015 0.0201678 0.010852 0
0.027 0.0015 0.0200169 0.0112005 0
0.0275 0.0015 0.0178424 0.0107997 0
0.028 0.0015 0.0184811 0.00984658 0
0.0285 0.0015 0.0197905 0.0103281 0
0.029 0.0015 0.0203876 0.0101686 0
0.0295 0.0015 0.0213955 0.0101991 0
0.03 0.0015 0.0180195 0.00955978 0
0.0305 0.0015 0.0207594 0.00958575 0
0.031 0.0015 0.0185388 0.00953039 0
0.0315 0.0015 0.0226507 0.0122748 0
0.032 0.0015 0.0203426 0.0105593 0
0.0325 0.0015 0.020117 0.0115537 0
0.033 0.0015 0.017746 0.00874644 0
0.0335 0.0015 0.0196681 0.0102603 0
0.034 0.0015 0.0196521 0.0109001 0
0.0345 0.0015 0.0182392 0.008536 0
0.035 0.0015 0.0186064 0.0105415 0
0.0355 0.0015 0.0219846 0.0110875 0
0.036 0.0015 0.0181486 0.0087566 0
0.0365 0.0015 0.0191007 0.0104287 0
0.037 0.0015 0.0176043 0.00804485 0
0.0375 0.0015 0.0201236 0.011434 0
0.038 0.0015 0.0195118 0.00949547 0
0.0385 0.0015 0.0185491 0.0101467 0
0.039 0.0015 0.0214273 0.0103336 0
0.0395 0.0015 0.0186445 0.00988333 0
0.04 0.0015 0.0205098 0.0103673 0
0.0405 0.0015 0.0217961 0.0114524 0
0.041 0.0015 0.0200784 0.0102254 0
0.0415 0.0015 0.0208762 0.0106889 0
0.042 0.0015 0.0202668 0.00933298 0
0.0425 0.0015 0.0196552 0.00997781 0
0.043 0.0015 0.0206004 0.00972405 0
0.0435 0.0015 0.0174326 0.0100373 0
0.044 0.0015 0.0191292 0.00976016 0
0.0445 0.0015 0.0200718 0.0109812 0
0.045 0.0015 0.0207281 0.0120134 0
0.0455 0.0015 0.0176168 0.0095542 0
0.046 0.0015 0.0204338 0.0120407 0
0.0465 0.0015 0.0204932 0.0110117 0
0.047 0.0015 0.0184755 0.00962773 0
0.0475 0.0015 0.0216261 0.0111766 0
0.048 0.0015 0.0214936 0.0122029 0
0.0485 0.0015 0.0206 0.0106099 0
0.049 0.0015 0.0200777 0.0115373 0
0.0495 0.0015 0.0198855 0.00984167 0
0.05 0.0015 0.0186351 0.00969346 0
0.0505 0.0015 0.0208631 0.0103696 0
0.051 0.0015 0.0220548 0.0098242 0
0.0515 0.0015 0.0194587 0.00988214 0
0.052 0.0015 0.0205466 0.0109011 0
0.0525 0.0015 0.0195714 0.0102382 0
0.053 0.0015 0.0194805 0.010819 0
0.0535 0.0015 0.0205202 0.0106963 0
0.054 0.0015 0.018122 0.00915605 0
0.0545 0.0015 0.0198469 0.011349 0
0.055 0.0015 0.0195385 0.00999264 0
0.0555 0.0015 0.0167642 0.00913964 0
0.056 0.0015 0.0196291 0.00959325 0
0.0565 0.0015 0.017719 0.00973888 0
0.057 0.0015 0.0186168 0.00953275 0
0.0575 0.0015 0.021245 0.0110214 0
0.058 0.0015 0.0204057 0.0117383 0
0.0585 0.0015 0.0179978 0.00919334 0
0.059 0.0015 0.019051 0.00993624 0
0.0595 0.0015 0.0200836 0.0101601 0
0.06 0.0015 0.0202726 0.0104968 0
0.0605 0.0015 0.0201693 0.0109464 0
0.061 0.0015 0.0195913 0.00968306 0
0.0615 0.0015 0.0191251 0.0105965 0
0.062 0.0015 0.0190984 0.00974805 0
0.0625 0.0015 0.0224766 0.0109335 0
0.063 0.0015 0.0198846 0.0096198 0
0.0635 0.0015 0.0204915 0.0111321 0
0.064 0.0015 0.0194153 0.00998194 0
0.0645 0.0015 0.0189838 0.0103327 0
0.065 0.0015 0.0203125 0.0109622 0
0.0655 0.0015 0.0224207 0.00993243 0
0.066 0.0015 0.0234483 0.011179 0
0.0665 0.0015 0.021816 0.0100995 0
0.067 0.0015 0.0191226 0.0107993 0
0.0675 0.0015 0.0193875 0.00964824 0
0.068 0.0015 0.0204428 0.0111812 0
0.0685 0.0015 0.0196592 0.00979586 0
0.069 0.0015 0.0197932 0.00951894 0
0.0695 0.0015 0.0214072 0.0100371 0
