# Relevant parameters to reproduce this network:
# node_nr=20	 k_max=500
# initial_seed=1557414222	 delta_t=0.1	 max_steps=400	 in_between=10
# fg_m=1	 fg_alpha=10	 fg_t_min=0	 fg_t_max=3	 fg_t_number=60	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=400	 fg_weff_in_between=10
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.1 0.233306 0.128498 0
0.05 0.15 0.20083 0.10642 0
0.1 0.2 0.217435 0.0881184 0
0.15 0.2 0.269389 0.102743 0
0.2 0.2 0.24433 0.109544 0
0.25 0.25 0.237582 0.114012 0
0.3 0.25 0.219395 0.106029 0
0.35 0.35 0.187482 0.0992507 0
0.4 0.35 0.200677 0.0701072 0
0.45 0.5 0.282515 0.110024 0
0.5 0.5 0.286151 0.104489 0
0.55 0.5 0.529194 0.0598954 0
0.6 0.55 0.491286 0.089527 0
0.65 0.55 0.479172 0.12336 0
0.7 0.55 0.443707 0.153699 0
0.75 0.7 0.490014 0.104091 0
0.8 0.75 0.505676 0.0790125 0
0.85 0.75 0.527316 0.100838 0
0.9 0.75 0.407129 0.137592 0
0.95 0.75 0.46167 0.135776 0
1 0.75 0.433495 0.149581 0
1.05 0.75 0.441146 0.146877 0
1.1 0.75 0.475995 0.165808 0
1.15 0.75 0.533272 0.137355 0
1.2 0.95 0.489952 0.127877 0
1.25 0.95 0.527362 0.103316 0
1.3 0.95 0.521606 0.100749 0
1.35 0.95 0.594764 0.0831886 0
1.4 0.95 0.531546 0.0925453 0
1.45 0.95 0.422948 0.00196638 0
1.5 0.95 0.706911 0.00145068 0
1.55 0.95 0.693818 0.00133326 0
1.6 0.95 0.728563 0.000993108 0
1.65 0.95 0.722793 0.000569123 0
1.7 1 0.771176 8.6958e-06 0
1.75 1 0.783624 2.13127e-07 0
1.8 1 0.785376 3.98826e-08 0
1.85 1 0.808778 3.79604e-07 0
1.9 1 0.903525 5.16939e-08 0
1.95 1 0.903381 -nan 0
2 1 0.908352 2.0487e-08 0
2.05 1 0.909937 5.73019e-08 0
2.1 1 0.914353 -nan 0
2.15 1 0.916981 4.79972e-08 0
2.2 1 0.935478 -nan 0
2.25 1 0.93656 5.41867e-08 0
2.3 1 0.94301 -nan 0
2.35 1 0.94301 -nan 0
2.4 1 0.947433 -nan 0
2.45 1 0.954213 6.83116e-08 0
2.5 1 0.961785 -nan 0
2.55 1 0.969875 5.44046e-08 0
2.6 1 0.969942 -nan 0
2.65 1 0.97171 1.69148e-08 0
2.7 1 0.972499 -nan 0
2.75 1 0.973713 5.33286e-08 0
2.8 1 0.974661 -nan 0
2.85 1 0.975277 2.31511e-08 0
2.9 1 0.975269 -nan 0
2.95 1 0.97527 -nan 0
3 1 0.981722 -nan 0
3 0 0.981722 -nan 0
2.95 0 0.97527 3.97321e-08 0
2.9 0 0.975269 -nan 0
2.85 0 0.975277 4.84846e-08 0
2.8 0 0.974661 5.64755e-08 0
2.75 0 0.973713 5.36164e-08 0
2.7 0 0.972499 6.39094e-08 0
2.65 0 0.97171 5.29523e-08 0
2.6 0 0.969942 -nan 0
2.55 0 0.969875 -nan 0
2.5 0 0.961785 4.30024e-08 0
2.45 0 0.954213 5.9186e-08 0
2.4 0 0.947433 5.22601e-08 0
2.35 0 0.94301 -nan 0
2.3 0 0.93656 3.07732e-08 0
2.25 0 0.935478 3.42409e-08 0
2.2 0 0.916981 2.49696e-06 0
2.15 0 0.914353 6.04436e-08 0
2.1 0 0.909937 1.25861e-07 0
2.05 0 0.908352 9.29836e-08 0
2 0 0.903381 1.67318e-07 0
1.95 0 0.903525 -nan 0
1.9 0 0.808856 0.000182079 0
1.85 0 0.785404 6.23115e-05 0
1.8 0 0.783626 2.69467e-06 0
1.75 0 0.77119 2.28175e-05 0
1.7 0 0.766901 0.00158098 0
1.65 0 0.758044 0.00155897 0
1.6 0 0.705703 0.00184629 0
1.55 0 0.698401 0.00142052 0
1.5 0 0.41227 0.00690145 0
1.45 0 0.504779 0.095638 0
1.4 0 0.590426 0.083958 0
1.35 0 0.530918 0.13714 0
1.3 0 0.531024 0.100832 0
1.25 0 0.479892 0.143323 0
1.2 0 0.519692 0.132618 0
1.15 0 0.462775 0.166137 0
1.1 0 0.437918 0.111938 0
1.05 0 0.441765 0.159661 0
1 0 0.459115 0.134169 0
0.95 0 0.467575 0.15993 0
0.9 0 0.495737 0.132145 0
0.85 0 0.502275 0.0839374 0
0.8 0 0.505826 0.120712 0
0.75 0 0.465238 0.160257 0
0.7 0 0.489139 0.125313 0
0.65 0 0.442806 0.0838524 0
0.6 0 0.523288 0.120817 0
0.55 0 0.516366 0.10583 0
0.5 0 0.325489 0.0769023 0
0.45 0 0.214765 0.148401 0
0.4 0 0.239536 0.10023 0
0.35 0 0.31435 0.111057 0
0.3 0 0.28721 0.128413 0
0.25 0 0.248028 0.117183 0
0.2 0 0.23671 0.133133 0
0.15 0 0.235577 0.124592 0
0.1 0 0.200338 0.103342 0
0.05 0 0.171422 0.0769646 0
2.28983e-15 0 0.197998 0.097683 0
