# Relevant parameters to reproduce this network:
# node_nr=500	 k_max=500
# initial_seed=10	 delta_t=1	 max_steps=100	 in_between=0
# fg_m=1	 fg_alpha=10	 fg_t_min=0	 fg_t_max=4	 fg_t_number=2000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=100	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.004 0.0387764 0.0200982 0
0.002 0.004 0.0397749 0.0192672 0
0.004 0.004 0.0442831 0.0241732 0
0.006 0.004 0.0441861 0.0204803 0
0.008 0.006 0.036606 0.017276 0
0.01 0.006 0.0420394 0.0216595 0
0.012 0.006 0.0390007 0.0179122 0
0.014 0.006 0.0418757 0.0288003 0
0.016 0.006 0.040408 0.0165102 0
0.018 0.006 0.0414084 0.0253233 0
0.02 0.006 0.033346 0.017716 0
0.022 0.006 0.0427844 0.0228157 0
0.024 0.006 0.0383292 0.0255302 0
0.026 0.006 0.0440932 0.0231152 0
0.028 0.006 0.0406013 0.0226506 0
0.03 0.006 0.0379057 0.0154727 0
0.032 0.006 0.0415983 0.0200964 0
0.034 0.006 0.0359064 0.0218547 0
0.036 0.006 0.0373705 0.0170801 0
0.038 0.006 0.0405544 0.0228234 0
0.04 0.006 0.0513224 0.0196184 0
0.042 0.006 0.0375684 0.0212683 0
0.044 0.006 0.03557 0.017754 0
0.046 0.006 0.0432843 0.0235383 0
0.048 0.006 0.0394113 0.017995 0
0.05 0.006 0.0287238 0.0126091 0
0.052 0.006 0.0417314 0.0154286 0
0.054 0.006 0.0406391 0.0224688 0
0.056 0.008 0.0412072 0.0178244 0
0.058 0.008 0.0412679 0.0182377 0
0.06 0.008 0.0372553 0.0193614 0
0.062 0.008 0.0386717 0.0215001 0
0.064 0.008 0.0428646 0.0201221 0
0.066 0.008 0.0399062 0.0209994 0
0.068 0.008 0.0340529 0.0185577 0
0.07 0.008 0.0399804 0.0170469 0
0.072 0.01 0.0383735 0.0207557 0
0.074 0.01 0.0470462 0.0202694 0
0.076 0.01 0.0344281 0.0214557 0
0.078 0.01 0.0351193 0.0161921 0
0.08 0.01 0.0428138 0.0193744 0
0.082 0.01 0.0305348 0.0146307 0
0.084 0.01 0.0432448 0.0170134 0
0.086 0.01 0.0392017 0.0226415 0
0.088 0.01 0.0364992 0.0225387 0
0.09 0.01 0.0385315 0.0210725 0
0.092 0.01 0.039788 0.0166049 0
0.094 0.012 0.0437145 0.0212654 0
0.096 0.012 0.0430382 0.0177494 0
0.098 0.012 0.0436231 0.0214678 0
0.1 0.012 0.0328498 0.0168347 0
0.102 0.012 0.0484443 0.0207704 0
0.104 0.012 0.041002 0.0200616 0
0.106 0.012 0.030944 0.014631 0
0.108 0.012 0.0346709 0.0174291 0
0.11 0.012 0.0370914 0.0219981 0
0.112 0.014 0.0381703 0.0172265 0
0.114 0.014 0.0348713 0.0179359 0
0.116 0.016 0.0397247 0.0199704 0
0.118 0.016 0.0376794 0.0213752 0
0.12 0.016 0.0370265 0.0229257 0
0.122 0.016 0.0386439 0.0223998 0
0.124 0.018 0.0359644 0.0181006 0
0.126 0.018 0.0376782 0.01968 0
0.128 0.018 0.0362678 0.0169713 0
0.13 0.018 0.0445418 0.0237622 0
0.132 0.018 0.0394598 0.0194339 0
0.134 0.018 0.0439085 0.018996 0
0.136 0.018 0.0440039 0.0196245 0
0.138 0.018 0.0461786 0.0214652 0
0.14 0.018 0.032528 0.015735 0
0.142 0.018 0.0356464 0.0202535 0
0.144 0.018 0.0416767 0.0230708 0
0.146 0.018 0.0510269 0.0205624 0
0.148 0.018 0.050756 0.0210366 0
0.15 0.018 0.0341637 0.0150747 0
0.152 0.018 0.0357867 0.0171475 0
0.154 0.018 0.0466674 0.0217716 0
0.156 0.018 0.0449739 0.0229041 0
0.158 0.018 0.0392795 0.020152 0
0.16 0.018 0.0466996 0.0202853 0
0.162 0.02 0.0449162 0.0285517 0
0.164 0.02 0.045673 0.0208933 0
0.166 0.02 0.0363259 0.0167887 0
0.168 0.02 0.0375569 0.0211468 0
0.17 0.02 0.0337477 0.0165549 0
0.172 0.02 0.0426025 0.0196593 0
0.174 0.02 0.0374009 0.0150868 0
0.176 0.02 0.0423443 0.0172517 0
0.178 0.022 0.0323649 0.0179704 0
0.18 0.026 0.0371588 0.0198106 0
0.182 0.026 0.0318569 0.0174464 0
0.184 0.026 0.0479539 0.0213646 0
0.186 0.026 0.0349809 0.021863 0
0.188 0.026 0.0389555 0.0184728 0
0.19 0.026 0.0475516 0.0263558 0
0.192 0.026 0.0308806 0.015007 0
0.194 0.026 0.035709 0.0192612 0
0.196 0.026 0.0398179 0.0187858 0
0.198 0.026 0.0407132 0.0245359 0
0.2 0.026 0.042902 0.0229346 0
0.202 0.026 0.0387026 0.0198426 0
0.204 0.03 0.0391683 0.0197676 0
0.206 0.03 0.0325153 0.0183437 0
0.208 0.03 0.03513 0.0236233 0
0.21 0.044 0.0417329 0.0186385 0
0.212 0.044 0.0449707 0.0226852 0
0.214 0.044 0.0501707 0.0243108 0
0.216 0.044 0.040435 0.0187808 0
0.218 0.058 0.0366405 0.0178413 0
0.22 0.058 0.0424058 0.0223038 0
0.222 0.058 0.0325837 0.0212422 0
0.224 0.058 0.0374415 0.0180732 0
0.226 0.058 0.045959 0.0222444 0
0.228 0.058 0.0340119 0.0201786 0
0.23 0.086 0.0400595 0.0244483 0
0.232 0.088 0.0424411 0.0188758 0
0.234 0.094 0.0463729 0.0214182 0
0.236 0.094 0.041899 0.0220275 0
0.238 0.094 0.0350955 0.0200118 0
0.24 0.094 0.0308817 0.0146637 0
0.242 0.094 0.033229 0.0130318 0
0.244 0.094 0.0427143 0.0244706 0
0.246 0.094 0.0451407 0.0208002 0
0.248 0.098 0.032667 0.0174887 0
0.25 0.098 0.0301989 0.0148546 0
0.252 0.098 0.0373971 0.0225333 0
0.254 0.1 0.0300653 0.0197156 0
0.256 0.116 0.0470034 0.0178683 0
0.258 0.118 0.0389286 0.019525 0
0.26 0.12 0.0323886 0.0171086 0
0.262 0.12 0.0339649 0.0191905 0
0.264 0.12 0.0403397 0.0190576 0
0.266 0.15 0.0382075 0.020688 0
0.268 0.15 0.0327308 0.0130143 0
0.27 0.15 0.0400804 0.0254021 0
0.272 0.154 0.0395299 0.0220535 0
0.274 0.162 0.0350835 0.0184174 0
0.276 0.164 0.0425329 0.0215003 0
0.278 0.164 0.0261708 0.0126339 0
0.28 0.166 0.0453718 0.0191269 0
0.282 0.168 0.0413368 0.0208948 0
0.284 0.184 0.0347937 0.0136131 0
0.286 0.186 0.0351953 0.0153796 0
0.288 0.186 0.0358677 0.0193108 0
0.29 0.186 0.0370731 0.0245106 0
0.292 0.186 0.0300574 0.0179753 0
0.294 0.186 0.0410191 0.0221116 0
0.296 0.188 0.0334507 0.0149027 0
0.298 0.224 0.0449624 0.0204057 0
0.3 0.224 0.0504883 0.0239086 0
0.302 0.224 0.0363621 0.0165588 0
0.304 0.226 0.0388625 0.0176434 0
0.306 0.226 0.029211 0.0151227 0
0.308 0.23 0.0314909 0.0153208 0
0.31 0.232 0.0392918 0.0203816 0
0.312 0.232 0.0390406 0.0179328 0
0.314 0.236 0.0519808 0.0270287 0
0.316 0.238 0.0434587 0.0249436 0
0.318 0.242 0.0371281 0.0209529 0
0.32 0.242 0.0327655 0.0162714 0
0.322 0.244 0.038371 0.0181579 0
0.324 0.244 0.0365794 0.0210396 0
0.326 0.256 0.036729 0.0220711 0
0.328 0.262 0.0359166 0.016202 0
0.33 0.262 0.0342162 0.0169811 0
0.332 0.262 0.0529477 0.0224037 0
0.334 0.262 0.0314185 0.0188385 0
0.336 0.264 0.0363917 0.0207746 0
0.338 0.264 0.0337007 0.0150834 0
0.34 0.266 0.0386669 0.0230639 0
0.342 0.266 0.0349194 0.0145356 0
0.344 0.266 0.0391537 0.0181294 0
0.346 0.266 0.0403127 0.0212162 0
0.348 0.266 0.0415842 0.0179985 0
0.35 0.276 0.0413834 0.0201743 0
0.352 0.286 0.0425893 0.0220703 0
0.354 0.288 0.0438156 0.0241921 0
0.356 0.288 0.0453738 0.0303499 0
0.358 0.29 0.0332668 0.0154455 0
0.36 0.292 0.0494725 0.0271134 0
0.362 0.294 0.0517256 0.0265941 0
0.364 0.294 0.0337146 0.0176031 0
0.366 0.294 0.0319792 0.0130928 0
0.368 0.294 0.0415548 0.017869 0
0.37 0.294 0.037609 0.014221 0
0.372 0.294 0.040974 0.0179302 0
0.374 0.294 0.0266556 0.00975363 0
0.376 0.296 0.0458207 0.0158853 0
0.378 0.296 0.0407309 0.0217712 0
0.38 0.304 0.0451933 0.0194235 0
