# Relevant parameters to reproduce this network:
# node_nr=500	 k_max=500
# initial_seed=1557222	 delta_t=0.05	 max_steps=5000	 in_between=0
# fg_m=1	 fg_alpha=10	 fg_t_min=0	 fg_t_max=3	 fg_t_number=1500	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=5000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.004 0.0375309 0.0203529 0
0.002 0.004 0.0432083 0.0223807 0
0.004 0.004 0.0387753 0.0196827 0
0.006 0.004 0.0441539 0.0237427 0
0.008 0.004 0.0438427 0.020447 0
0.01 0.004 0.0362446 0.0179868 0
0.012 0.004 0.0392889 0.0238111 0
0.014 0.004 0.0402817 0.0209257 0
0.016 0.004 0.0397723 0.020418 0
0.018 0.004 0.0382113 0.0185467 0
0.02 0.004 0.0392446 0.0198029 0
0.022 0.004 0.0391608 0.0193906 0
0.024 0.004 0.0410397 0.0254615 0
0.026 0.004 0.0363779 0.0190208 0
0.028 0.004 0.0378557 0.0183277 0
0.03 0.004 0.0439241 0.0211508 0
0.032 0.004 0.0402028 0.0184689 0
0.034 0.004 0.0417922 0.0200025 0
0.036 0.004 0.0368859 0.0186128 0
0.038 0.004 0.0390179 0.0207405 0
0.04 0.004 0.0345889 0.0192072 0
0.042 0.004 0.0370849 0.0232849 0
0.044 0.006 0.046251 0.0210479 0
0.046 0.006 0.0401554 0.0212978 0
0.048 0.006 0.0384656 0.0194059 0
0.05 0.008 0.0411574 0.0189572 0
0.052 0.01 0.0375404 0.0185368 0
0.054 0.01 0.0366453 0.0205422 0
0.056 0.01 0.0483489 0.0221633 0
0.058 0.01 0.0377768 0.019804 0
0.06 0.01 0.0375235 0.0219262 0
0.062 0.01 0.0424715 0.0241025 0
0.064 0.01 0.0380061 0.0214086 0
0.066 0.01 0.0383718 0.0214322 0
0.068 0.01 0.0376232 0.0228359 0
0.07 0.01 0.0402367 0.0210904 0
0.072 0.01 0.042224 0.0205184 0
0.074 0.01 0.0355649 0.0197732 0
0.076 0.01 0.0377018 0.0194092 0
0.078 0.01 0.0379812 0.018188 0
0.08 0.01 0.0406992 0.0206929 0
0.082 0.01 0.0443056 0.0193806 0
0.084 0.01 0.0431331 0.0232345 0
0.086 0.01 0.0352988 0.0168986 0
0.088 0.01 0.0442302 0.0225731 0
0.09 0.012 0.037555 0.0195944 0
0.092 0.012 0.0363826 0.0186485 0
0.094 0.012 0.0430958 0.0196468 0
0.096 0.012 0.0428789 0.0235352 0
0.098 0.012 0.0434768 0.0213191 0
0.1 0.012 0.0360547 0.0161781 0
0.102 0.012 0.0371028 0.0199232 0
0.104 0.012 0.0377034 0.0221494 0
0.106 0.012 0.0350804 0.0193475 0
0.108 0.02 0.0341332 0.0173036 0
0.11 0.02 0.037929 0.0177345 0
0.112 0.02 0.0365698 0.0189678 0
0.114 0.02 0.040755 0.0207135 0
0.116 0.02 0.0437147 0.0231901 0
0.118 0.02 0.0397975 0.0239611 0
0.12 0.02 0.0401012 0.0219314 0
0.122 0.02 0.0365436 0.0200435 0
0.124 0.02 0.0457293 0.0242568 0
0.126 0.02 0.0448343 0.0211959 0
0.128 0.02 0.0438823 0.0194482 0
0.13 0.02 0.0390023 0.0214698 0
0.132 0.02 0.0419634 0.0212276 0
0.134 0.02 0.041241 0.0229654 0
0.136 0.02 0.0368296 0.0208527 0
0.138 0.02 0.0394802 0.0210021 0
0.14 0.02 0.0448405 0.0208317 0
0.142 0.02 0.0392428 0.0171993 0
0.144 0.02 0.0356875 0.0185441 0
0.146 0.02 0.0403101 0.020506 0
0.148 0.022 0.0404989 0.0258191 0
0.15 0.022 0.0391502 0.0253081 0
0.152 0.022 0.0383911 0.0211158 0
0.154 0.022 0.037481 0.0186808 0
0.156 0.022 0.039805 0.0221514 0
0.158 0.022 0.0398288 0.0207801 0
0.16 0.022 0.0443414 0.0228767 0
0.162 0.022 0.0323464 0.0196597 0
0.164 0.022 0.0370168 0.019285 0
0.166 0.022 0.0434846 0.0189239 0
0.168 0.022 0.0381477 0.0197147 0
0.17 0.024 0.0352972 0.0174148 0
0.172 0.024 0.0405568 0.0204384 0
0.174 0.024 0.0355053 0.0187854 0
0.176 0.026 0.0384381 0.0200014 0
0.178 0.026 0.0363091 0.020192 0
0.18 0.026 0.0394115 0.0193913 0
0.182 0.026 0.0442334 0.0224489 0
0.184 0.026 0.0410276 0.0197524 0
0.186 0.026 0.0355685 0.0193719 0
0.188 0.026 0.0417214 0.0203914 0
0.19 0.026 0.0393021 0.0239361 0
0.192 0.026 0.0463024 0.0234 0
0.194 0.026 0.0385647 0.0213694 0
0.196 0.026 0.0440917 0.0204686 0
0.198 0.028 0.0384802 0.0221016 0
0.2 0.028 0.0388472 0.0186896 0
0.202 0.052 0.0431914 0.0229169 0
0.204 0.052 0.0420468 0.0256717 0
0.206 0.056 0.040568 0.0197092 0
0.208 0.056 0.0375967 0.0188429 0
0.21 0.058 0.0379706 0.021003 0
0.212 0.068 0.0377288 0.0184629 0
0.214 0.068 0.0419862 0.0206314 0
0.216 0.068 0.0407989 0.0189027 0
0.218 0.068 0.0413849 0.0203288 0
0.22 0.068 0.040791 0.0235863 0
0.222 0.068 0.0374699 0.0202804 0
0.224 0.068 0.0464534 0.0208569 0
0.226 0.084 0.0418933 0.0198087 0
0.228 0.086 0.0393899 0.0199077 0
0.23 0.086 0.0408726 0.0236969 0
0.232 0.088 0.0427146 0.0228062 0
0.234 0.088 0.0355019 0.0202942 0
0.236 0.088 0.0424774 0.0201431 0
0.238 0.088 0.0427819 0.0270319 0
0.24 0.088 0.0416981 0.0221094 0
0.242 0.088 0.0365986 0.0163681 0
0.244 0.088 0.040142 0.0217773 0
0.246 0.128 0.0356054 0.0176941 0
0.248 0.128 0.0432224 0.0225804 0
0.25 0.128 0.0408706 0.0204729 0
0.252 0.13 0.0375822 0.0198842 0
0.254 0.13 0.0421965 0.0200371 0
0.256 0.13 0.0432988 0.0234243 0
0.258 0.13 0.0424815 0.0206848 0
0.26 0.132 0.0345289 0.0176186 0
0.262 0.132 0.0358187 0.0185231 0
0.264 0.134 0.0420961 0.0202226 0
0.266 0.136 0.0425231 0.0224564 0
0.268 0.136 0.0392899 0.0212974 0
0.27 0.136 0.0459932 0.0224041 0
0.272 0.144 0.0379939 0.0204574 0
0.274 0.146 0.0374402 0.0195984 0
0.276 0.148 0.0359877 0.0206071 0
0.278 0.148 0.0461721 0.0257117 0
0.28 0.148 0.0447683 0.0201555 0
0.282 0.15 0.0366046 0.0199949 0
0.284 0.156 0.0385718 0.0186429 0
0.286 0.156 0.0367844 0.0202395 0
0.288 0.156 0.0395961 0.0215786 0
0.29 0.156 0.0347758 0.0194102 0
0.292 0.156 0.0359994 0.0158645 0
0.294 0.172 0.0375909 0.0174661 0
0.296 0.174 0.0387674 0.0194613 0
0.298 0.174 0.0406853 0.019605 0
0.3 0.174 0.0455164 0.0206621 0
0.302 0.174 0.0394661 0.0211834 0
0.304 0.176 0.0448434 0.0208817 0
0.306 0.18 0.0395191 0.0202667 0
0.308 0.18 0.0427016 0.0188669 0
0.31 0.18 0.0393777 0.0245269 0
0.312 0.184 0.0398232 0.0184277 0
0.314 0.188 0.0365597 0.0181005 0
0.316 0.188 0.0384141 0.0214448 0
0.318 0.188 0.0370691 0.0215513 0
0.32 0.194 0.0427846 0.0237383 0
0.322 0.194 0.0447023 0.0221388 0
0.324 0.214 0.0340078 0.0187795 0
0.326 0.218 0.0442482 0.0241326 0
0.328 0.218 0.0452001 0.022127 0
