# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=100
# initial_seed=10	 delta_t=0.05	 max_steps=5000	 in_between=0
# fg_m=1	 fg_alpha=20	 fg_t_min=0	 fg_t_max=5	 fg_t_number=10000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=5000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0202732 0.0118218 0
0.0005 0.001 0.0198269 0.0107095 0
0.001 0.001 0.0213608 0.0116829 0
0.0015 0.001 0.0208338 0.00931268 0
0.002 0.001 0.0178758 0.00889012 0
0.0025 0.001 0.0200019 0.0122629 0
0.003 0.001 0.0195678 0.010982 0
0.0035 0.001 0.0174594 0.00930114 0
0.004 0.001 0.0197082 0.00996754 0
0.0045 0.001 0.0203678 0.00977024 0
0.005 0.001 0.0200373 0.011196 0
0.0055 0.001 0.0194187 0.00998005 0
0.006 0.001 0.0198467 0.00841456 0
0.0065 0.001 0.0164466 0.00865177 0
0.007 0.001 0.0171638 0.00901655 0
0.0075 0.001 0.0188914 0.0102739 0
0.008 0.001 0.0210247 0.0104368 0
0.0085 0.001 0.020494 0.00887135 0
0.009 0.001 0.0226219 0.0123389 0
0.0095 0.001 0.019107 0.00957882 0
0.01 0.001 0.0193495 0.00928631 0
0.0105 0.0015 0.0206357 0.00986842 0
0.011 0.002 0.0217385 0.0101164 0
0.0115 0.002 0.0205995 0.0105323 0
0.012 0.002 0.0206521 0.0105978 0
0.0125 0.002 0.022397 0.0110918 0
0.013 0.002 0.0196814 0.0111986 0
0.0135 0.002 0.0180325 0.0100705 0
0.014 0.002 0.0198134 0.00948908 0
0.0145 0.002 0.0184215 0.00903008 0
0.015 0.002 0.0212932 0.0110722 0
0.0155 0.0025 0.0223133 0.0108968 0
0.016 0.0025 0.0199666 0.0115722 0
0.0165 0.0025 0.0190046 0.00986525 0
0.017 0.0025 0.0211991 0.0109117 0
0.0175 0.0025 0.0181434 0.00932238 0
0.018 0.0025 0.0195459 0.00942496 0
0.0185 0.0025 0.020564 0.0106395 0
0.019 0.0025 0.02056 0.0111826 0
0.0195 0.0025 0.018378 0.00978868 0
0.02 0.003 0.0196107 0.00948539 0
0.0205 0.003 0.0203197 0.00937523 0
0.021 0.003 0.0231846 0.0115383 0
0.0215 0.003 0.0212088 0.00980879 0
0.022 0.003 0.0201898 0.0099378 0
0.0225 0.003 0.0214814 0.0116911 0
0.023 0.003 0.0193518 0.0108032 0
0.0235 0.003 0.0197185 0.00886234 0
0.024 0.003 0.0201463 0.0105797 0
0.0245 0.003 0.0173482 0.00983656 0
0.025 0.003 0.0200346 0.0109299 0
0.0255 0.003 0.0211666 0.0107413 0
0.026 0.003 0.0211175 0.0104468 0
0.0265 0.003 0.0220838 0.0102582 0
0.027 0.003 0.0176249 0.00858297 0
0.0275 0.003 0.019315 0.0097657 0
0.028 0.003 0.0245423 0.0118358 0
0.0285 0.003 0.0230598 0.0113834 0
0.029 0.003 0.0195709 0.0089547 0
0.0295 0.003 0.0173138 0.00867016 0
0.03 0.003 0.0167906 0.00959337 0
0.0305 0.003 0.0197356 0.00976657 0
0.031 0.003 0.018818 0.0105043 0
0.0315 0.003 0.0198875 0.0107066 0
0.032 0.003 0.0221027 0.010912 0
0.0325 0.003 0.0201178 0.00933057 0
0.033 0.003 0.017028 0.00799167 0
0.0335 0.003 0.0191059 0.0111462 0
0.034 0.003 0.0177815 0.00973751 0
0.0345 0.0035 0.0188442 0.0108046 0
0.035 0.0035 0.0183183 0.00923703 0
0.0355 0.0035 0.0169082 0.00966745 0
0.036 0.0035 0.0219686 0.0109055 0
0.0365 0.0035 0.0201468 0.0111131 0
0.037 0.0035 0.0217333 0.0108837 0
0.0375 0.0035 0.0210333 0.00988432 0
0.038 0.0035 0.0196571 0.00927659 0
0.0385 0.0035 0.0196656 0.00993453 0
0.039 0.0035 0.0178939 0.0109083 0
0.0395 0.0035 0.0196691 0.00956337 0
0.04 0.0035 0.0225445 0.0100618 0
0.0405 0.0035 0.0200401 0.0115584 0
0.041 0.0035 0.0178616 0.00968163 0
0.0415 0.0035 0.0210908 0.0103959 0
0.042 0.004 0.0161754 0.00891862 0
0.0425 0.004 0.0220456 0.0105895 0
0.043 0.004 0.0213886 0.0120824 0
0.0435 0.004 0.0221594 0.0106618 0
0.044 0.004 0.0180139 0.0120832 0
0.0445 0.004 0.0226836 0.0119797 0
0.045 0.0045 0.0180024 0.00958905 0
0.0455 0.0045 0.0185558 0.00976901 0
0.046 0.0045 0.0190682 0.00941614 0
