# Relevant parameters to reproduce this network:
# node_nr=1000	 k_max=100
# initial_seed=10	 delta_t=0.05	 max_steps=5000	 in_between=0
# fg_m=1	 fg_alpha=0	 fg_t_min=0	 fg_t_max=5	 fg_t_number=5000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=5000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.002 0.0258635 0.0136996 0
0.001 0.002 0.0295866 0.0161595 0
0.002 0.002 0.0295137 0.0152413 0
0.003 0.002 0.0276315 0.014177 0
0.004 0.002 0.028779 0.0181118 0
0.005 0.002 0.0264106 0.0134901 0
0.006 0.002 0.0330754 0.0141753 0
0.007 0.002 0.0301916 0.0154346 0
0.008 0.002 0.029896 0.013568 0
0.009 0.002 0.0274233 0.0155241 0
0.01 0.002 0.0298824 0.0183508 0
0.011 0.002 0.02671 0.0126172 0
0.012 0.003 0.0237622 0.0131989 0
0.013 0.003 0.028038 0.0150521 0
0.014 0.003 0.0289066 0.0146136 0
0.015 0.003 0.0304443 0.0160307 0
0.016 0.003 0.027034 0.0139678 0
0.017 0.003 0.030853 0.0179737 0
0.018 0.003 0.0256382 0.0130402 0
0.019 0.003 0.0285184 0.0156855 0
0.02 0.003 0.0316909 0.0163423 0
0.021 0.003 0.0299069 0.0138654 0
0.022 0.003 0.0293456 0.0161977 0
0.023 0.003 0.0304286 0.0151835 0
0.024 0.003 0.0295721 0.0146955 0
0.025 0.003 0.030427 0.0119905 0
0.026 0.003 0.029476 0.015579 0
0.027 0.003 0.0312194 0.015559 0
0.028 0.003 0.0259087 0.0116937 0
0.029 0.003 0.0301144 0.0138046 0
0.03 0.003 0.0309229 0.0159272 0
0.031 0.003 0.0277918 0.0144456 0
0.032 0.003 0.0286157 0.0143805 0
0.033 0.003 0.029584 0.0121855 0
0.034 0.003 0.0280087 0.0158769 0
0.035 0.003 0.0276724 0.0161761 0
0.036 0.003 0.028151 0.0126154 0
0.037 0.003 0.0336612 0.0140679 0
0.038 0.003 0.0292346 0.0148063 0
0.039 0.003 0.0283185 0.01218 0
0.04 0.004 0.0243471 0.0127735 0
0.041 0.004 0.0309982 0.0153015 0
0.042 0.004 0.0284956 0.0152163 0
0.043 0.004 0.0245321 0.0116536 0
0.044 0.004 0.0260869 0.0140761 0
0.045 0.004 0.0285623 0.0138475 0
0.046 0.004 0.0272998 0.0139494 0
0.047 0.004 0.0279912 0.0157294 0
0.048 0.004 0.0321335 0.0174081 0
0.049 0.004 0.0290658 0.0131271 0
0.05 0.004 0.022031 0.0130204 0
0.051 0.004 0.030328 0.0146068 0
0.052 0.004 0.0288565 0.0145113 0
0.053 0.004 0.0319362 0.0151024 0
0.054 0.004 0.0318924 0.0148798 0
0.055 0.004 0.0299811 0.0141208 0
0.056 0.004 0.0273392 0.013147 0
0.057 0.004 0.0294243 0.0139341 0
0.058 0.004 0.0320164 0.0179519 0
0.059 0.004 0.0295123 0.0143461 0
0.06 0.004 0.0257668 0.0122297 0
0.061 0.004 0.030186 0.0163215 0
0.062 0.004 0.0251608 0.0130323 0
0.063 0.004 0.0271539 0.0144752 0
0.064 0.004 0.0308801 0.0149674 0
0.065 0.004 0.0290925 0.0163964 0
0.066 0.004 0.0279692 0.0167676 0
0.067 0.004 0.0262979 0.014086 0
0.068 0.004 0.0244784 0.0138909 0
0.069 0.004 0.027382 0.0147802 0
0.07 0.004 0.0306978 0.0162163 0
0.071 0.004 0.030828 0.0160615 0
0.072 0.004 0.027782 0.013083 0
0.073 0.004 0.0283017 0.0139909 0
0.074 0.004 0.0253787 0.0128139 0
0.075 0.004 0.0256464 0.0115924 0
0.076 0.004 0.0279215 0.0140579 0
0.077 0.004 0.0282648 0.0135584 0
0.078 0.004 0.0302989 0.0164373 0
0.079 0.004 0.0292627 0.015266 0
0.08 0.004 0.0295244 0.0144723 0
0.081 0.004 0.0274779 0.0153922 0
0.082 0.004 0.0272078 0.0160868 0
0.083 0.004 0.0283917 0.0138119 0
0.084 0.004 0.0275827 0.016218 0
0.085 0.004 0.0258549 0.0133437 0
0.086 0.004 0.0286433 0.0156546 0
0.087 0.004 0.0244673 0.0141369 0
0.088 0.004 0.0257502 0.0132384 0
0.089 0.004 0.0328493 0.0148397 0
0.09 0.004 0.029223 0.013773 0
0.091 0.004 0.0354815 0.0159729 0
0.092 0.004 0.0293779 0.0148511 0
0.093 0.004 0.027724 0.0141786 0
0.094 0.004 0.0317523 0.0145509 0
0.095 0.004 0.0283186 0.0151829 0
0.096 0.004 0.0265713 0.0141183 0
0.097 0.004 0.0288399 0.0141741 0
0.098 0.004 0.028212 0.0118789 0
0.099 0.004 0.0270227 0.0136762 0
0.1 0.004 0.0302387 0.0144835 0
0.101 0.005 0.0313414 0.0182235 0
0.102 0.005 0.0292158 0.0138189 0
0.103 0.005 0.0311496 0.0156389 0
0.104 0.005 0.0335158 0.0173507 0
0.105 0.005 0.0263201 0.013166 0
0.106 0.005 0.0313713 0.0160428 0
0.107 0.005 0.0217507 0.0109149 0
0.108 0.005 0.0322812 0.0200899 0
0.109 0.005 0.0274897 0.0142609 0
0.11 0.005 0.0238523 0.0129072 0
0.111 0.005 0.0263156 0.0155883 0
0.112 0.005 0.0285123 0.0148955 0
0.113 0.005 0.0253848 0.0157486 0
0.114 0.005 0.026025 0.0153465 0
0.115 0.005 0.0258497 0.0122268 0
0.116 0.005 0.0298783 0.0175273 0
0.117 0.005 0.0324543 0.0156863 0
0.118 0.005 0.0282768 0.0157688 0
0.119 0.005 0.0263685 0.0114613 0
0.12 0.005 0.0276467 0.013407 0
0.121 0.005 0.0272826 0.014083 0
0.122 0.006 0.0275581 0.0124923 0
0.123 0.006 0.0283076 0.0156157 0
0.124 0.006 0.0257662 0.0140191 0
0.125 0.006 0.0283707 0.0150842 0
0.126 0.006 0.0271686 0.0129597 0
0.127 0.006 0.0271731 0.0148783 0
0.128 0.006 0.0302347 0.0153265 0
0.129 0.006 0.0288653 0.0159739 0
0.13 0.006 0.0325839 0.0157206 0
0.131 0.006 0.0272892 0.0133141 0
0.132 0.006 0.0285352 0.0159129 0
0.133 0.006 0.027181 0.0122184 0
0.134 0.006 0.0289361 0.0128879 0
0.135 0.006 0.0320704 0.0176593 0
0.136 0.006 0.0271566 0.0140313 0
0.137 0.006 0.0259132 0.0140273 0
0.138 0.006 0.0347162 0.0177409 0
0.139 0.006 0.0295308 0.0142651 0
0.14 0.006 0.0261382 0.0155813 0
0.141 0.006 0.0262468 0.0133866 0
0.142 0.006 0.0333874 0.0159808 0
0.143 0.006 0.0319299 0.014148 0
0.144 0.006 0.0288819 0.0138335 0
0.145 0.006 0.0265611 0.0132037 0
0.146 0.006 0.0281382 0.0149752 0
0.147 0.006 0.0293375 0.0139827 0
0.148 0.006 0.0303322 0.0151209 0
0.149 0.007 0.0269671 0.0130713 0
0.15 0.007 0.0315239 0.0150791 0
0.151 0.007 0.028993 0.0132775 0
0.152 0.007 0.027398 0.0131124 0
0.153 0.007 0.0286103 0.0143781 0
0.154 0.007 0.0274731 0.0140523 0
0.155 0.007 0.0271443 0.0137681 0
0.156 0.007 0.03114 0.0164991 0
0.157 0.007 0.0268116 0.0133073 0
0.158 0.007 0.025933 0.0128578 0
0.159 0.007 0.0280501 0.0147958 0
0.16 0.007 0.0280033 0.0147065 0
0.161 0.007 0.0314958 0.0162158 0
0.162 0.007 0.0302118 0.0134115 0
0.163 0.007 0.0259054 0.0145344 0
0.164 0.007 0.0296275 0.0178727 0
0.165 0.007 0.0314162 0.014959 0
0.166 0.007 0.0340409 0.0182718 0
0.167 0.007 0.0247176 0.0130184 0
0.168 0.007 0.0262292 0.016027 0
0.169 0.007 0.0266735 0.0144783 0
0.17 0.009 0.0314558 0.0137086 0
0.171 0.009 0.0269278 0.0137669 0
0.172 0.009 0.0296093 0.0155524 0
0.173 0.009 0.0232171 0.0115603 0
0.174 0.009 0.0268422 0.012887 0
0.175 0.009 0.0287888 0.0153441 0
0.176 0.009 0.0285567 0.0157006 0
0.177 0.009 0.0271917 0.0139565 0
0.178 0.009 0.0286702 0.0146034 0
0.179 0.009 0.0247845 0.0144642 0
0.18 0.009 0.0318435 0.0131959 0
0.181 0.009 0.0281892 0.0135449 0
0.182 0.009 0.0293855 0.0151483 0
0.183 0.009 0.0300081 0.0152016 0
0.184 0.009 0.0302518 0.0136189 0
0.185 0.009 0.0286317 0.0160459 0
0.186 0.009 0.0230813 0.0114141 0
0.187 0.009 0.0284992 0.0134327 0
0.188 0.009 0.0275561 0.0126542 0
0.189 0.009 0.0283295 0.0166444 0
0.19 0.009 0.0260227 0.0144339 0
0.191 0.009 0.0263249 0.0142975 0
0.192 0.009 0.0284878 0.0136552 0
0.193 0.009 0.0295345 0.017421 0
0.194 0.009 0.0308143 0.0158111 0
0.195 0.009 0.0305783 0.0164915 0
0.196 0.009 0.0284642 0.0142083 0
0.197 0.009 0.0289125 0.0156154 0
0.198 0.009 0.0267667 0.0147128 0
0.199 0.009 0.0278867 0.0140469 0
0.2 0.009 0.02685 0.0138522 0
0.201 0.009 0.0295632 0.0152725 0
0.202 0.009 0.0326063 0.0146979 0
0.203 0.009 0.0294515 0.0172083 0
0.204 0.009 0.0284606 0.0121087 0
0.205 0.009 0.0307759 0.0158198 0
0.206 0.009 0.0296101 0.0158248 0
0.207 0.009 0.0287438 0.0154002 0
0.208 0.009 0.0281242 0.014869 0
0.209 0.009 0.033444 0.0176627 0
0.21 0.009 0.0263557 0.0130811 0
0.211 0.009 0.0282094 0.0106505 0
0.212 0.009 0.0331966 0.0182433 0
0.213 0.009 0.025428 0.014581 0
0.214 0.009 0.0279807 0.0151836 0
0.215 0.009 0.032581 0.0174951 0
0.216 0.009 0.0306239 0.0172405 0
0.217 0.009 0.030243 0.0175893 0
0.218 0.009 0.0261057 0.0143169 0
0.219 0.009 0.0279282 0.0156533 0
0.22 0.009 0.0279476 0.0173475 0
0.221 0.009 0.0302513 0.0135509 0
0.222 0.009 0.0301149 0.0176264 0
0.223 0.011 0.0288527 0.0163836 0
0.224 0.011 0.0299958 0.0162154 0
0.225 0.011 0.0285507 0.0161941 0
0.226 0.011 0.0290021 0.0145615 0
0.227 0.011 0.02761 0.013936 0
0.228 0.011 0.0285812 0.015337 0
0.229 0.011 0.0310098 0.0160241 0
