# Relevant parameters to reproduce this network:
# node_nr=200	 k_max=20
# initial_seed=1557414222	 delta_t=0.1	 max_steps=3000	 in_between=0
# fg_m=1	 fg_alpha=-0.5	 fg_t_min=0	 fg_t_max=5	 fg_t_number=1000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=3000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.01 0.0560622 0.0297688 0
0.005 0.01 0.0607496 0.0330984 0
0.01 0.01 0.0555211 0.0295838 0
0.015 0.01 0.0649418 0.0340055 0
0.02 0.01 0.0617487 0.031854 0
0.025 0.01 0.0616282 0.0343318 0
0.03 0.01 0.0623826 0.0321345 0
0.035 0.01 0.0698835 0.0335235 0
0.04 0.01 0.0670482 0.0333716 0
0.045 0.01 0.060917 0.0272667 0
0.05 0.01 0.0660097 0.031955 0
0.055 0.01 0.0694458 0.0346072 0
0.06 0.01 0.060113 0.0313862 0
0.065 0.01 0.0651639 0.0321503 0
0.07 0.01 0.0627492 0.0293662 0
0.075 0.01 0.0637653 0.0324617 0
0.08 0.01 0.0535096 0.0304647 0
0.085 0.01 0.0599458 0.031067 0
0.09 0.01 0.0607713 0.0318146 0
0.095 0.01 0.057132 0.0310391 0
0.1 0.01 0.0678017 0.0356279 0
0.105 0.01 0.0674198 0.0318848 0
0.11 0.015 0.0709696 0.0381861 0
0.115 0.015 0.0653907 0.029195 0
0.12 0.015 0.073981 0.0344777 0
0.125 0.015 0.0701295 0.034841 0
0.13 0.015 0.0690816 0.0354457 0
0.135 0.015 0.0725352 0.0370479 0
0.14 0.015 0.0700294 0.0313325 0
0.145 0.015 0.0684846 0.0423075 0
0.15 0.015 0.0619299 0.036262 0
0.155 0.015 0.0699644 0.0377148 0
0.16 0.02 0.0711046 0.0339364 0
0.165 0.02 0.0601959 0.029806 0
0.17 0.02 0.0667839 0.0318127 0
0.175 0.02 0.0653297 0.0299324 0
0.18 0.02 0.0746166 0.0405082 0
0.185 0.02 0.0687669 0.0375878 0
0.19 0.02 0.0711641 0.0344621 0
0.195 0.02 0.0646021 0.0374935 0
0.2 0.035 0.0670391 0.0354253 0
0.205 0.035 0.0632179 0.032305 0
0.21 0.05 0.0615124 0.0301488 0
0.215 0.05 0.0784218 0.0384027 0
0.22 0.05 0.0648425 0.0370837 0
0.225 0.05 0.0624793 0.0371995 0
0.23 0.06 0.0807295 0.0400768 0
0.235 0.06 0.0588565 0.0355985 0
0.24 0.06 0.074252 0.0401697 0
0.245 0.06 0.0669515 0.0359648 0
0.25 0.06 0.0648519 0.0338846 0
0.255 0.06 0.0656854 0.0378692 0
0.26 0.06 0.0768204 0.0357508 0
0.265 0.06 0.0670983 0.0292188 0
0.27 0.065 0.0625139 0.031168 0
0.275 0.065 0.0603153 0.0299374 0
0.28 0.07 0.0672544 0.0318319 0
0.285 0.07 0.0728078 0.0404721 0
0.29 0.07 0.0668191 0.0334458 0
0.295 0.07 0.0681967 0.0361342 0
0.3 0.07 0.079814 0.0429995 0
0.305 0.07 0.072391 0.0317281 0
0.31 0.07 0.0745936 0.0379888 0
0.315 0.07 0.0651002 0.0309696 0
0.32 0.075 0.0756039 0.0384742 0
0.325 0.075 0.0714401 0.0395945 0
0.33 0.075 0.0727258 0.036753 0
0.335 0.075 0.0775753 0.0401619 0
0.34 0.075 0.0682894 0.0389076 0
0.345 0.08 0.0626645 0.0324173 0
0.35 0.095 0.0655615 0.0317531 0
0.355 0.11 0.0606854 0.0334275 0
0.36 0.11 0.0650125 0.0306721 0
0.365 0.11 0.0696773 0.0355476 0
0.37 0.115 0.0780341 0.0367445 0
