# Relevant parameters to reproduce this network:
# node_nr=200	 k_max=20
# initial_seed=1557414222	 delta_t=0.1	 max_steps=3000	 in_between=0
# fg_m=1	 fg_alpha=-0.5	 fg_t_min=0	 fg_t_max=1.5	 fg_t_number=300	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=3000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.01 0.0567762 0.0302041 0
0.005 0.01 0.0610547 0.0320046 0
0.01 0.01 0.0570763 0.0296461 0
0.015 0.01 0.0667993 0.0358768 0
0.02 0.01 0.0657944 0.0328146 0
0.025 0.01 0.0621581 0.0346024 0
0.03 0.01 0.0660571 0.0344802 0
0.035 0.01 0.0727153 0.0380067 0
0.04 0.01 0.0693666 0.032598 0
0.045 0.01 0.0630154 0.0289418 0
0.05 0.01 0.0658293 0.0340684 0
0.055 0.01 0.0698396 0.0364189 0
0.06 0.01 0.0621696 0.033011 0
0.065 0.01 0.0704827 0.0318857 0
0.07 0.01 0.0681798 0.0328442 0
0.075 0.01 0.0632928 0.0321096 0
0.08 0.01 0.0601332 0.0377445 0
0.085 0.01 0.073796 0.0379619 0
0.09 0.01 0.067491 0.0389997 0
0.095 0.01 0.0710012 0.0320572 0
0.1 0.01 0.0732347 0.0368085 0
0.105 0.01 0.072416 0.0409303 0
0.11 0.015 0.0726852 0.0362051 0
0.115 0.015 0.0702858 0.0376012 0
0.12 0.015 0.0707024 0.035473 0
0.125 0.015 0.0666921 0.0359784 0
0.13 0.015 0.0658891 0.0332786 0
0.135 0.015 0.0792419 0.0378578 0
0.14 0.015 0.0744044 0.0437011 0
0.145 0.015 0.0776809 0.0425302 0
0.15 0.015 0.0744872 0.0379869 0
0.155 0.015 0.0761889 0.040787 0
0.16 0.02 0.0723809 0.036777 0
0.165 0.02 0.0778764 0.0349511 0
0.17 0.02 0.079591 0.0371053 0
0.175 0.02 0.076501 0.0415978 0
0.18 0.02 0.0805475 0.0415727 0
0.185 0.02 0.0828935 0.0379198 0
0.19 0.02 0.0835159 0.0405892 0
0.195 0.02 0.075517 0.0420862 0
0.2 0.035 0.0778214 0.0394553 0
0.205 0.035 0.0804798 0.0397325 0
0.21 0.05 0.0860452 0.0455337 0
0.215 0.05 0.0866186 0.0387984 0
0.22 0.05 0.0907199 0.0469288 0
0.225 0.05 0.0787111 0.033677 0
0.23 0.06 0.0919565 0.0456033 0
0.235 0.06 0.0801913 0.0476979 0
0.24 0.06 0.0911781 0.0430383 0
0.245 0.06 0.0950479 0.0414149 0
0.25 0.06 0.0969149 0.0383942 0
0.255 0.06 0.098744 0.0394691 0
0.26 0.06 0.0838995 0.0461344 0
0.265 0.06 0.0899706 0.050015 0
0.27 0.065 0.0978656 0.0527383 0
0.275 0.065 0.0890119 0.0487237 0
0.28 0.07 0.0840703 0.0435088 0
0.285 0.07 0.089948 0.0435353 0
0.29 0.07 0.0868935 0.0395946 0
0.295 0.07 0.0894489 0.0450756 0
0.3 0.07 0.0913957 0.0489056 0
0.305 0.07 0.119248 0.0546793 0
0.31 0.07 0.106532 0.0487705 0
0.315 0.07 0.0875129 0.0528003 0
0.32 0.075 0.117393 0.0586227 0
0.325 0.075 0.10214 0.0524108 0
0.33 0.075 0.0956466 0.0473416 0
0.335 0.075 0.0934427 0.046964 0
0.34 0.075 0.100069 0.0535375 0
0.345 0.08 0.105026 0.0482174 0
0.35 0.095 0.122105 0.0580205 0
0.355 0.11 0.113133 0.0572327 0
0.36 0.11 0.116213 0.0517614 0
0.365 0.11 0.129609 0.0510093 0
0.37 0.115 0.120226 0.0549885 0
0.375 0.115 0.123751 0.0528091 0
0.38 0.135 0.12007 0.0522746 0
0.385 0.135 0.130593 0.0492105 0
0.39 0.135 0.131485 0.0580445 0
0.395 0.135 0.132611 0.0608424 0
0.4 0.135 0.132274 0.0653545 0
0.405 0.135 0.143507 0.0538576 0
0.41 0.135 0.132591 0.0597975 0
0.415 0.135 0.132323 0.0677521 0
0.42 0.145 0.134147 0.0550245 0
0.425 0.15 0.123493 0.0526222 0
0.43 0.16 0.142705 0.0540487 0
0.435 0.16 0.120149 0.0525821 0
0.44 0.18 0.154804 0.0557835 0
0.445 0.18 0.179319 0.0465437 0
0.45 0.18 0.166511 0.0662114 0
0.455 0.195 0.119558 0.054842 0
0.46 0.195 0.136245 0.0638917 0
0.465 0.2 0.126857 0.0490413 0
0.47 0.2 0.125892 0.0524852 0
0.475 0.2 0.136341 0.0560372 0
0.48 0.2 0.145093 0.0530274 0
0.485 0.205 0.124736 0.0581042 0
0.49 0.22 0.129432 0.0592935 0
0.495 0.22 0.154955 0.0662819 0
0.5 0.225 0.097868 0.0477051 0
0.505 0.225 0.123191 0.0687401 0
0.51 0.225 0.108413 0.0450458 0
0.515 0.23 0.0977196 0.0414302 0
0.52 0.235 0.107996 0.0498843 0
0.525 0.235 0.117581 0.0544428 0
0.53 0.235 0.103292 0.0440682 0
0.535 0.255 0.0883154 0.0374628 0
0.54 0.255 0.126821 0.0480513 0
0.545 0.255 0.121105 0.0493643 0
0.55 0.255 0.0918504 0.0500152 0
0.555 0.27 0.106107 0.0585954 0
0.56 0.275 0.138244 0.0597746 0
0.565 0.28 0.111564 0.0611799 0
0.57 0.28 0.111658 0.0560521 0
0.575 0.28 0.0986203 0.0463448 0
0.58 0.35 0.119997 0.0459206 0
0.585 0.36 0.0631768 0.0344087 0
0.59 0.375 0.109422 0.0458364 0
0.595 0.38 0.124753 0.0548159 0
0.6 0.38 0.143167 0.0394782 0
0.605 0.38 0.15137 0.0541287 0
0.61 0.38 0.127836 0.045711 0
0.615 0.395 0.134961 0.0562649 0
0.62 0.4 0.120179 0.0454149 0
0.625 0.4 0.12327 0.0474834 0
0.63 0.4 0.0993638 0.0528827 0
0.635 0.4 0.0798422 0.0467635 0
0.64 0.4 0.0953485 0.0496232 0
