# Relevant parameters to reproduce this network:
# node_nr=200	 k_max=20
# initial_seed=1557414222	 delta_t=0.01	 max_steps=3000	 in_between=10
# fg_m=1	 fg_alpha=-0.5	 fg_t_min=0	 fg_t_max=1.2	 fg_t_number=240	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=3000	 fg_weff_in_between=10
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.01 0.0577073 0.0271575 0
0.005 0.01 0.0575511 0.0301396 0
0.01 0.01 0.0603356 0.0354132 0
0.015 0.01 0.0627396 0.0339956 0
0.02 0.01 0.0701364 0.0354028 0
0.025 0.01 0.0645113 0.0361279 0
0.03 0.01 0.0612582 0.0310826 0
0.035 0.01 0.0610541 0.0315164 0
0.04 0.01 0.0587129 0.0348155 0
0.045 0.01 0.0673802 0.0345392 0
0.05 0.01 0.0622186 0.0326414 0
0.055 0.01 0.0685686 0.030823 0
0.06 0.01 0.0721547 0.0371848 0
0.065 0.01 0.059692 0.0303008 0
0.07 0.01 0.0639982 0.0335881 0
0.075 0.01 0.0689724 0.034682 0
0.08 0.01 0.0649114 0.0314446 0
0.085 0.01 0.0638906 0.0320324 0
0.09 0.01 0.0658302 0.0313684 0
0.095 0.01 0.067482 0.0343282 0
0.1 0.01 0.0665807 0.0346524 0
0.105 0.01 0.0683736 0.0353099 0
0.11 0.015 0.079436 0.0392246 0
0.115 0.015 0.0735384 0.0395273 0
0.12 0.015 0.068229 0.0376092 0
0.125 0.015 0.071723 0.0434472 0
0.13 0.015 0.0794961 0.0352343 0
0.135 0.015 0.072651 0.0361789 0
0.14 0.015 0.068193 0.0322871 0
0.145 0.015 0.0765036 0.0334613 0
0.15 0.015 0.0677547 0.0380748 0
0.155 0.015 0.0662591 0.0389191 0
0.16 0.02 0.0760926 0.0366195 0
0.165 0.02 0.0829971 0.0396476 0
0.17 0.02 0.079644 0.0384252 0
0.175 0.02 0.0730128 0.0347874 0
0.18 0.02 0.0796993 0.0364986 0
0.185 0.02 0.0775492 0.0378407 0
0.19 0.02 0.0823897 0.0358345 0
0.195 0.02 0.0793636 0.0448537 0
0.2 0.035 0.0668854 0.0420123 0
0.205 0.035 0.0777285 0.0395581 0
0.21 0.05 0.0846605 0.0354186 0
0.215 0.05 0.0782317 0.0389504 0
0.22 0.05 0.0843064 0.0428202 0
0.225 0.05 0.0795299 0.0357438 0
0.23 0.06 0.0931845 0.0476671 0
0.235 0.06 0.100505 0.050998 0
0.24 0.06 0.0961034 0.0410447 0
0.245 0.06 0.0938494 0.0434609 0
0.25 0.06 0.0919704 0.0540629 0
0.255 0.06 0.0995351 0.0450343 0
0.26 0.06 0.0865868 0.0444197 0
0.265 0.06 0.100942 0.0453283 0
0.27 0.065 0.10652 0.0448027 0
0.275 0.065 0.112899 0.0492868 0
0.28 0.07 0.0993974 0.0457628 0
0.285 0.07 0.10268 0.0505864 0
0.29 0.07 0.112442 0.0556401 0
0.295 0.07 0.101714 0.0435582 0
0.3 0.07 0.104085 0.0487355 0
0.305 0.07 0.107819 0.0484464 0
0.31 0.07 0.113691 0.0527623 0
0.315 0.07 0.13105 0.0490868 0
0.32 0.075 0.120114 0.0577604 0
0.325 0.075 0.113094 0.0474432 0
0.33 0.075 0.0995438 0.0436022 0
0.335 0.075 0.0939135 0.0494519 0
0.34 0.075 0.10706 0.0468171 0
0.345 0.08 0.104051 0.0509587 0
0.35 0.095 0.101185 0.0504012 0
0.355 0.11 0.127962 0.050052 0
0.36 0.11 0.138357 0.0560297 0
0.365 0.11 0.135739 0.0540109 0
0.37 0.115 0.12281 0.056751 0
0.375 0.115 0.135699 0.0600916 0
0.38 0.135 0.138732 0.05821 0
0.385 0.135 0.130218 0.0461486 0
0.39 0.135 0.151452 0.0605118 0
0.395 0.135 0.157259 0.0639313 0
0.4 0.135 0.154159 0.0551451 0
0.405 0.135 0.143757 0.0611483 0
0.41 0.135 0.123981 0.0620673 0
0.415 0.135 0.128647 0.0460248 0
0.42 0.145 0.136722 0.0575017 0
0.425 0.15 0.15831 0.0701034 0
0.43 0.16 0.162829 0.064869 0
0.435 0.16 0.172453 0.0683519 0
0.44 0.18 0.196682 0.0542814 0
0.445 0.18 0.187327 0.0633587 0
0.45 0.18 0.179103 0.0674535 0
0.455 0.195 0.198842 0.0614026 0
0.46 0.195 0.15807 0.0589028 0
0.465 0.2 0.1913 0.0526245 0
0.47 0.2 0.175516 0.063148 0
0.475 0.2 0.173514 0.0641396 0
0.48 0.2 0.172814 0.0614546 0
0.485 0.205 0.187209 0.0550203 0
0.49 0.22 0.18869 0.0707311 0
0.495 0.22 0.168797 0.0459451 0
0.5 0.225 0.219374 0.0651912 0
0.505 0.225 0.168417 0.0622159 0
0.51 0.225 0.219734 0.065171 0
0.515 0.23 0.184267 0.0716497 0
0.52 0.235 0.175585 0.0637813 0
0.525 0.235 0.206395 0.0791086 0
0.53 0.235 0.181919 0.0728791 0
0.535 0.255 0.226692 0.065559 0
