# Relevant parameters to reproduce this network:
# node_nr=200	 k_max=20
# initial_seed=1557414222	 delta_t=0.1	 max_steps=3000	 in_between=0
# fg_m=1	 fg_alpha=-1	 fg_t_min=0	 fg_t_max=5	 fg_t_number=1000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=3000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.01 0.0560622 0.0297688 0
0.005 0.01 0.0607496 0.0330984 0
0.01 0.01 0.0555211 0.0295838 0
0.015 0.01 0.0649418 0.0340055 0
0.02 0.01 0.0617487 0.031854 0
0.025 0.01 0.0616282 0.0343318 0
0.03 0.01 0.0623826 0.0321345 0
0.035 0.01 0.0698835 0.0335235 0
0.04 0.01 0.0670482 0.0333716 0
0.045 0.01 0.060917 0.0272667 0
0.05 0.01 0.0660097 0.031955 0
0.055 0.01 0.0694458 0.0346072 0
0.06 0.01 0.060113 0.0313862 0
0.065 0.01 0.0651639 0.0321503 0
0.07 0.01 0.0627492 0.0293662 0
0.075 0.01 0.0637653 0.0324617 0
0.08 0.01 0.0535096 0.0304647 0
0.085 0.01 0.0599458 0.031067 0
0.09 0.01 0.0607713 0.0318146 0
0.095 0.01 0.0567208 0.0315512 0
0.1 0.015 0.0703529 0.0355746 0
0.105 0.015 0.0681899 0.0317513 0
0.11 0.015 0.0700869 0.0373483 0
0.115 0.015 0.0704321 0.0292158 0
0.12 0.015 0.0744176 0.0371138 0
0.125 0.015 0.0745796 0.0346156 0
0.13 0.015 0.0690643 0.0348184 0
0.135 0.015 0.0804462 0.0383599 0
0.14 0.015 0.0675618 0.0315946 0
0.145 0.015 0.071442 0.0399737 0
0.15 0.015 0.0606623 0.0371694 0
0.155 0.015 0.0704574 0.0358009 0
0.16 0.02 0.0718141 0.0318418 0
0.165 0.02 0.0644069 0.0360009 0
0.17 0.02 0.0642706 0.0335019 0
0.175 0.02 0.0632628 0.0288208 0
0.18 0.02 0.0732959 0.0377319 0
0.185 0.02 0.0653294 0.0371263 0
0.19 0.02 0.0650628 0.0338018 0
0.195 0.02 0.0650525 0.0347066 0
0.2 0.035 0.0678543 0.0332198 0
0.205 0.035 0.0636985 0.0311798 0
0.21 0.045 0.0590786 0.0311303 0
0.215 0.045 0.0778026 0.0405967 0
0.22 0.045 0.0610576 0.037449 0
0.225 0.045 0.0676956 0.0350966 0
0.23 0.045 0.0831658 0.0445759 0
0.235 0.045 0.060591 0.0322165 0
0.24 0.045 0.0701943 0.0372296 0
0.245 0.045 0.0653375 0.0310616 0
0.25 0.045 0.06826 0.034179 0
0.255 0.045 0.0671244 0.0356417 0
0.26 0.045 0.0744498 0.0329243 0
0.265 0.045 0.0676461 0.0328229 0
0.27 0.045 0.0628228 0.0366451 0
0.275 0.045 0.0632198 0.0314904 0
0.28 0.05 0.0635107 0.0314941 0
0.285 0.05 0.0721562 0.0380665 0
0.29 0.05 0.0678844 0.0312285 0
0.295 0.05 0.0697845 0.0382907 0
0.3 0.05 0.0707146 0.0367954 0
0.305 0.05 0.0678234 0.035281 0
0.31 0.05 0.0737352 0.0309327 0
0.315 0.05 0.065209 0.0337821 0
0.32 0.055 0.0749825 0.0375055 0
0.325 0.055 0.0685518 0.0354435 0
0.33 0.065 0.073906 0.0413152 0
0.335 0.065 0.0733714 0.0385634 0
0.34 0.065 0.069786 0.0356567 0
0.345 0.07 0.0752649 0.041198 0
0.35 0.085 0.0668307 0.036884 0
0.355 0.1 0.0631454 0.0336347 0
0.36 0.1 0.0733683 0.0347826 0
0.365 0.1 0.0716778 0.0328407 0
0.37 0.105 0.080714 0.0404379 0
