# Relevant parameters to reproduce this network:
# node_nr=200	 k_max=20
# initial_seed=1557414222	 delta_t=0.1	 max_steps=3000	 in_between=0
# fg_m=1	 fg_alpha=-1	 fg_t_min=0	 fg_t_max=1.5	 fg_t_number=300	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=3000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.01 0.0567762 0.0302041 0
0.005 0.01 0.0610547 0.0320046 0
0.01 0.01 0.0570763 0.0296461 0
0.015 0.01 0.0667993 0.0358768 0
0.02 0.01 0.0657944 0.0328146 0
0.025 0.01 0.0621581 0.0346024 0
0.03 0.01 0.0660571 0.0344802 0
0.035 0.01 0.0727153 0.0380067 0
0.04 0.01 0.0693666 0.032598 0
0.045 0.01 0.0630154 0.0289418 0
0.05 0.01 0.0658293 0.0340684 0
0.055 0.01 0.0698396 0.0364189 0
0.06 0.01 0.0621696 0.033011 0
0.065 0.01 0.0704827 0.0318857 0
0.07 0.01 0.0681798 0.0328442 0
0.075 0.01 0.0632928 0.0321096 0
0.08 0.01 0.0601332 0.0377445 0
0.085 0.01 0.073796 0.0379619 0
0.09 0.01 0.067491 0.0389997 0
0.095 0.01 0.0697698 0.0320483 0
0.1 0.015 0.0715742 0.0350143 0
0.105 0.015 0.0753111 0.0407922 0
0.11 0.015 0.0761615 0.0362994 0
0.115 0.015 0.0718911 0.0343466 0
0.12 0.015 0.0767077 0.0358229 0
0.125 0.015 0.0723076 0.0329736 0
0.13 0.015 0.0701539 0.0337336 0
0.135 0.015 0.078201 0.0365092 0
0.14 0.015 0.0722278 0.038022 0
0.145 0.015 0.0780071 0.042368 0
0.15 0.015 0.0711489 0.0367802 0
0.155 0.015 0.0729867 0.0369158 0
0.16 0.02 0.0740552 0.0380256 0
0.165 0.02 0.0730939 0.0323018 0
0.17 0.02 0.0747469 0.0409359 0
0.175 0.02 0.0732184 0.0354467 0
0.18 0.02 0.0773264 0.0399377 0
0.185 0.02 0.0813382 0.0423201 0
0.19 0.02 0.0870746 0.0380463 0
0.195 0.02 0.071217 0.0353508 0
0.2 0.035 0.0874395 0.041633 0
0.205 0.035 0.0840301 0.0447081 0
0.21 0.045 0.0757929 0.0369591 0
0.215 0.045 0.0871531 0.0415435 0
0.22 0.045 0.0842033 0.0457925 0
0.225 0.045 0.0797795 0.0400894 0
0.23 0.045 0.0964666 0.0514961 0
0.235 0.045 0.0880973 0.046851 0
0.24 0.045 0.0891788 0.035277 0
0.245 0.045 0.0863994 0.0416909 0
0.25 0.045 0.0887502 0.0476225 0
0.255 0.045 0.0834651 0.0426254 0
0.26 0.045 0.0873296 0.0422732 0
0.265 0.045 0.0818737 0.0431026 0
0.27 0.045 0.0844265 0.0415552 0
0.275 0.045 0.0701205 0.0425517 0
0.28 0.05 0.0791079 0.0426186 0
0.285 0.05 0.0913095 0.0423671 0
0.29 0.05 0.0938606 0.0399962 0
0.295 0.05 0.0832227 0.0480042 0
0.3 0.05 0.0918329 0.0471438 0
0.305 0.05 0.0918132 0.0506624 0
0.31 0.05 0.0803199 0.0422427 0
0.315 0.05 0.091669 0.0518921 0
0.32 0.055 0.0958801 0.0533634 0
0.325 0.055 0.0941106 0.0492838 0
0.33 0.065 0.0989233 0.0590834 0
0.335 0.065 0.104492 0.0439105 0
0.34 0.065 0.106277 0.0463152 0
0.345 0.07 0.103877 0.0400594 0
0.35 0.085 0.110758 0.0554313 0
0.355 0.1 0.0985693 0.0552881 0
0.36 0.1 0.119744 0.0573822 0
0.365 0.1 0.117355 0.0498767 0
0.37 0.105 0.118665 0.0574887 0
0.375 0.105 0.116011 0.0443371 0
0.38 0.135 0.137093 0.0658333 0
0.385 0.135 0.134967 0.0541256 0
0.39 0.145 0.149863 0.0617367 0
0.395 0.145 0.149259 0.0565628 0
0.4 0.145 0.144601 0.0574289 0
0.405 0.145 0.153539 0.0620572 0
0.41 0.145 0.146876 0.0612796 0
0.415 0.145 0.141132 0.058913 0
0.42 0.19 0.11179 0.0514234 0
0.425 0.195 0.108032 0.0461671 0
0.43 0.195 0.124528 0.0513786 0
0.435 0.195 0.106947 0.0544868 0
0.44 0.215 0.13455 0.0717802 0
0.445 0.235 0.14071 0.061288 0
0.45 0.235 0.15334 0.0575862 0
0.455 0.255 0.174323 0.0580686 0
0.46 0.255 0.143515 0.0612518 0
0.465 0.26 0.171882 0.0618257 0
0.47 0.26 0.165474 0.0580951 0
0.475 0.265 0.168288 0.0505199 0
0.48 0.265 0.165755 0.0505779 0
0.485 0.27 0.154743 0.043386 0
0.49 0.285 0.180907 0.0523852 0
0.495 0.305 0.17305 0.0552697 0
0.5 0.31 0.17113 0.0517987 0
0.505 0.31 0.156957 0.0430311 0
0.51 0.315 0.133658 0.0382813 0
0.515 0.32 0.115839 0.0548211 0
0.52 0.33 0.162989 0.0573596 0
0.525 0.34 0.156947 0.0506486 0
0.53 0.345 0.15835 0.054215 0
0.535 0.365 0.187472 0.0560761 0
0.54 0.365 0.148376 0.0490407 0
0.545 0.365 0.158821 0.055439 0
0.55 0.365 0.180875 0.055251 0
0.555 0.38 0.188111 0.0538046 0
0.56 0.385 0.158254 0.0552426 0
0.565 0.39 0.169802 0.0596757 0
0.57 0.395 0.190304 0.0488404 0
0.575 0.405 0.212486 0.0497185 0
0.58 0.405 0.239219 0.0579176 0
0.585 0.42 0.20182 0.0576079 0
0.59 0.44 0.162361 0.0508205 0
0.595 0.445 0.145936 0.0498938 0
0.6 0.45 0.14508 0.0543427 0
0.605 0.45 0.162888 0.054383 0
0.61 0.455 0.14532 0.0551372 0
0.615 0.47 0.17234 0.059234 0
0.62 0.47 0.204706 0.0551274 0
0.625 0.47 0.185452 0.0617698 0
0.63 0.485 0.197795 0.0818403 0
0.635 0.485 0.208564 0.0868818 0
0.64 0.485 0.16674 0.0630497 0
