# Relevant parameters to reproduce this network:
# node_nr=200	 k_max=20
# initial_seed=1557414222	 delta_t=0.1	 max_steps=3000	 in_between=0
# fg_m=1	 fg_alpha=-3	 fg_t_min=0	 fg_t_max=2	 fg_t_number=400	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=3000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.01 0.0567662 0.0301903 0
0.005 0.01 0.0610465 0.0320075 0
0.01 0.01 0.0570558 0.0296614 0
0.015 0.01 0.0667656 0.0358626 0
0.02 0.01 0.0657663 0.0327963 0
0.025 0.01 0.0621178 0.0345888 0
0.03 0.01 0.066015 0.0344566 0
0.035 0.01 0.0726676 0.0379787 0
0.04 0.01 0.0692992 0.0325858 0
0.045 0.01 0.0629623 0.0289122 0
0.05 0.01 0.0657955 0.0340447 0
0.055 0.01 0.069799 0.0363861 0
0.06 0.01 0.0621487 0.0329836 0
0.065 0.01 0.0704229 0.031885 0
0.07 0.01 0.0681209 0.0328076 0
0.075 0.01 0.0632222 0.0320585 0
0.08 0.01 0.0602121 0.0354986 0
0.085 0.01 0.075334 0.0392514 0
0.09 0.01 0.0669321 0.0390406 0
0.095 0.01 0.0703715 0.0320719 0
0.1 0.01 0.0756519 0.0345001 0
0.105 0.015 0.0738016 0.0375629 0
0.11 0.015 0.075116 0.0370517 0
0.115 0.015 0.0706637 0.0336752 0
0.12 0.015 0.0744849 0.0368151 0
0.125 0.015 0.0730291 0.0366855 0
0.13 0.015 0.0668152 0.0315742 0
0.135 0.015 0.0804485 0.0355462 0
0.14 0.015 0.0762138 0.0430288 0
0.145 0.015 0.0760769 0.0484913 0
0.15 0.015 0.0709576 0.0371264 0
0.155 0.025 0.0750472 0.0424793 0
0.16 0.025 0.0800392 0.037213 0
0.165 0.025 0.0668855 0.0343315 0
0.17 0.025 0.0801868 0.0406167 0
0.175 0.025 0.0799611 0.0408714 0
0.18 0.025 0.0851013 0.0362596 0
0.185 0.025 0.077883 0.0400184 0
0.19 0.025 0.0851246 0.0424091 0
0.195 0.025 0.076007 0.0357168 0
0.2 0.045 0.085182 0.0408709 0
0.205 0.045 0.0805207 0.0403806 0
0.21 0.045 0.0865655 0.0413228 0
0.215 0.045 0.0854805 0.0483326 0
0.22 0.045 0.0845258 0.0488341 0
0.225 0.045 0.0879264 0.0444649 0
0.23 0.045 0.0906184 0.0410678 0
0.235 0.045 0.0712141 0.0389616 0
0.24 0.045 0.079841 0.0362431 0
0.245 0.045 0.088519 0.0424019 0
